score_quantile,n,start_date,end_date,realized_future_gd_mean_63d,realized_future_gd_median_63d,win_rate
Q1,434,2017-07-12,2025-12-10,0.00025134673732085975,0.0025747039845801997,0.5184331797235023
Q2,434,2017-07-13,2026-01-13,0.006557939391727594,0.01540907495090155,0.5898617511520737
Q3,434,2017-07-07,2026-02-13,0.02828009351292936,0.03353365537741945,0.716589861751152
Q4,434,2017-06-28,2026-02-05,0.023869448999983472,0.033954237489028996,0.6497695852534562
Q5,434,2017-07-03,2023-04-26,0.030766950399038092,0.043210614964891245,0.7142857142857143
