display_name,method,config_id,year,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2017,129,2017-06-28,2017-12-29,0.1182205756170931,0.24393551192450147,0.06356040685564883,3.467501397477259,4.952788196019586,-0.02353890327561481,10.363078902542037,0.0,0.0,1.118220575617093
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2018,251,2018-01-02,2018-12-31,-0.056476710101605265,-0.056695214676542816,0.15081744968456143,-0.3112448501717656,-0.459524758227494,-0.17535993578362696,-0.3233076838400413,0.0,0.0,0.9435232898983947
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2019,252,2019-01-02,2019-12-31,0.2507520003806547,0.2507520003806547,0.11931535295686324,1.9358573501036427,2.672425127339281,-0.07879631993917302,3.1822806011019704,0.0,0.0,1.2507520003806547
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2020,253,2020-01-02,2020-12-31,0.06625245727437434,0.06598213491540128,0.34875716319841094,0.35919804563648594,0.22505982608879951,-0.3671295816808847,0.1797243758274812,0.0,0.0,1.0662524572743743
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2021,252,2021-01-04,2021-12-31,0.30832484638478674,0.30832484638478674,0.12953883917565825,2.1405279400804407,3.4959550495671072,-0.051824807556396846,5.949367897782566,0.0,0.0,1.3083248463847867
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2022,251,2022-01-03,2022-12-30,-0.01867084893047699,-0.01874453323017855,0.19840834057470974,0.0038798943286023958,-0.14761577044615684,-0.1731594918303001,-0.10825010533380741,0.0,0.0,0.981329151069523
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2023,250,2023-01-03,2023-12-29,0.10598830040307083,0.10687999178484242,0.12655013648440908,0.8658272392919589,1.4218075733894198,-0.0952592798046763,1.1219903405105909,0.0,0.0,1.1059883004030708
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2024,252,2024-01-02,2024-12-31,0.15545438288364322,0.15545438288364322,0.1069070596138467,1.4054622607415046,2.1807564012255023,-0.06986662497900364,2.225016349800215,0.0,0.0,1.1554543828836432
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2025,250,2025-01-02,2025-12-31,0.1220509829101486,0.12308516659548663,0.15462081185268922,0.8281403211637284,1.0212298329494522,-0.1516343510956446,0.8117235026636521,0.0,0.0,1.1220509829101486
100% D Buy & Hold,100% D Buy & Hold,100% D Buy & Hold,2026,93,2026-01-02,2026-05-15,0.08932893594330782,0.26092429198379663,0.1016112129201257,2.333482897838194,4.101900257930411,-0.05893785850706046,4.4271084595403005,0.0,0.0,1.0893289359433078
