method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,selection_score
old_best_plus_bond_credit_incremental,old_plus_credit_lc0.10_li0.50,0,2233,2017-06-28,2026-05-15,4.140911723921981,0.2029367008950398,0.19136892713567347,1.0617611630179182,1.2965460728702283,-0.318660963980974,0.6368420479238754,4.1023152434017565,0.43719128577818117,5.140911723921981,
old_best_plus_bond_credit_incremental,old_plus_credit_lc0.10_li0.50,5,2233,2017-06-28,2026-05-15,4.048345910325042,0.2004725946507484,0.19137211142378463,1.0510253323900194,1.280664688969765,-0.31891940037006394,0.6285995596947892,4.1023152434017565,0.43719128577818117,5.048345910325042,
old_best_plus_bond_credit_incremental,old_plus_credit_lc0.10_li0.50,10,2233,2017-06-28,2026-05-15,3.957445537458679,0.19801350117751948,0.19137535992414276,1.0402895099796317,1.2648181352381607,-0.31917774348739336,0.6203863058056254,4.1023152434017565,0.43719128577818117,4.957445537458679,0.8476670870113494
old_best_plus_bond_credit_incremental,old_plus_credit_lc0.10_li0.50,20,2233,2017-06-28,2026-05-15,3.780521885206065,0.19311031205568563,0.1913820495484561,1.0188179331044964,1.233874103489968,-0.3196941500345959,0.6040470619646562,4.1023152434017565,0.43719128577818117,4.780521885206065,
