date,Bond/Credit Smooth Score Best,Bond/Credit Core Only,Old Best + Bond/Credit Incremental,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,100% D Buy & Hold,SPY Buy & Hold
2017-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-29,0.9881390437625722,0.9881519147032171,0.9882443449242696,0.9885805496277569,0.9882853859471783,0.9844522898504267,0.9921184820439298,0.9916605044776097
2017-06-30,0.9895289414214328,0.989544488205622,0.9896175901824998,0.9900643902869117,0.989724678673357,0.9852408198252209,0.9942135617131848,0.9933037548268027
2017-07-03,0.9884575922507282,0.988496408912832,0.9885245261959283,0.9902651050792738,0.9890341860471774,0.9790716166184107,0.9990517001237752,0.9954810615373618
2017-07-05,0.9920011398228298,0.9920242752485278,0.9921310231753544,0.9927422150896035,0.992300841714309,0.9858601263698796,0.998724140597166,0.997206474407315
2017-07-06,0.9823333689883037,0.9823519661825104,0.9824083587329454,0.9827907972426329,0.9825702803181249,0.9769280283996694,0.9881856919158405,0.9883329225188439
2017-07-07,0.990271680735147,0.990263464835363,0.9900738950510655,0.9896605973443984,0.9902554664913968,0.9873250216434459,0.993127102940785,0.9944951113306751
2017-07-10,0.9922882353279951,0.9922148728828507,0.9917322155122259,0.9901787340318644,0.9919322769729412,0.9926166183016203,0.9911677559724577,0.9956043053137874
2017-07-11,0.9928298764516119,0.9927214040449113,0.9920668194353055,0.990085342013769,0.9923503968553353,0.994485780697459,0.9901369171218003,0.994905923915616
2017-07-12,1.00183701289443,1.0016577175919381,1.0007608120843212,0.9978686655387865,1.001122136198579,1.0061006185995987,0.9960772178518877,1.0021362254548942
2017-07-13,1.0041485118914968,1.0039751212518604,1.0030779344161596,1.0002925348656968,1.003469441844067,1.0081937126072336,0.9986759304570407,1.0039848820965578
2017-07-14,1.0100792921512196,1.0098699774154185,1.0087505848596843,1.0056296237742288,1.0093515188933446,1.0155404016155467,1.0031065548147802,1.0085859830752413
2017-07-17,1.0107164779613256,1.0105181763270172,1.00944466869106,1.0064422156997361,1.010019926602376,1.0157649598266343,1.0042132903997487,1.0086270643309065
2017-07-18,1.0110737270719043,1.0107814272623215,1.0089518418552952,1.0051681197154059,1.0103799468675594,1.0202740059580642,1.0004714238683072,1.0091200394366073
2017-07-19,1.0167876750777893,1.0164920478682726,1.014605348253401,1.0107907920646209,1.0161121697510727,1.0261907836058402,1.0060215024911119,1.014542765589887
2017-07-20,1.0174176706344855,1.0171194006151099,1.0151740949293313,1.011357037664608,1.016766562274619,1.0270226170798675,1.0065018062439346,1.0148714156587828
