display_name,static_g_weight,final_wealth,cagr,ann_vol,sharpe,max_drawdown,calmar,annual_turnover,avg_g_weight
Target Bond/Credit Smooth Score,,4.24770637950714,0.17730478137939287,0.1949327677545019,0.9354004213186131,-0.34503078153182676,0.5138810531402912,1.702790570133882,0.49616313427469455
Vol-Matched Static G/D (52% G),0.52,4.112746486556473,0.173022725103404,0.19473168441213728,0.9174444093258234,-0.33476630827054454,0.5168462919618961,0.0,0.52
DD-Matched Static G/D (34% G),0.34,3.6320110080227885,0.15668232459135378,0.18452807755386827,0.8816467676811345,-0.3450130100959662,0.4541345398765462,0.0,0.33999999999999997
Best Sharpe Static G/D (89% G),0.89,5.203282051336985,0.204574900355867,0.2246360023408057,0.9414179729444471,-0.3206627254044555,0.6379753059786865,0.0,0.8899999999999999
Best CAGR Static under Target DD (100% G),1.0,5.550778639891888,0.21339533785367792,0.2353288428289731,0.9401054485499574,-0.3434553386295507,0.6213190300234207,0.0,1.0
