method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,selection_score
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.03,0,2233,2017-06-28,2026-05-15,3.21011895766451,0.1761244617987534,0.19362795231529814,0.9352295291892833,1.1098459092147033,-0.34339587847598385,0.512890435902745,1.2780339654164299,0.4976550032259544,4.21011895766451,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.03,5,2233,2017-06-28,2026-05-15,3.186358112196525,0.17537349220861365,0.1936282784737774,0.9319277283325669,1.1051091629398742,-0.34343612642387755,0.5106436938790861,1.2780339654164299,0.4976550032259544,4.186358112196525,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.03,10,2233,2017-06-28,2026-05-15,3.1627312745537317,0.17462299918008894,0.19362860920877725,0.92862591665072,1.1003754212628438,-0.3434763720155647,0.5083988693469019,1.2780339654164299,0.4976550032259544,4.162731274553732,0.7355611601513241
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.03,20,2233,2017-06-28,2026-05-15,3.1158766059395573,0.17312344160582516,0.19362928440824453,0.9220222617487851,1.090916945899612,-0.3435568561308441,0.5039149663771835,1.2780339654164299,0.4976550032259544,4.115876605939557,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.05,0,2233,2017-06-28,2026-05-15,3.2555939901994497,0.17755129121715596,0.19363914076487013,0.9414543099679635,1.1178139916964356,-0.3454011769077724,0.5140436775771756,1.8964299266409301,0.497630746296184,4.25559399019945,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.05,5,2233,2017-06-28,2026-05-15,3.2200059089446382,0.17643583495166948,0.193639446989589,0.9365560143228989,1.1107925739592903,-0.34543763983844367,0.5107603069375591,1.8964299266409301,0.497630746296184,4.220005908944638,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.05,10,2233,2017-06-28,2026-05-15,3.184715224288672,0.17532142852662358,0.19363976467630561,0.931657679023271,1.1039505684562771,-0.3454741008344867,0.5074806710637286,1.8964299266409301,0.497630746296184,4.184715224288672,0.708827238335435
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.05,20,2233,2017-06-28,2026-05-15,3.1150161317207488,0.17309576127190995,0.19364043443550452,0.9218608929415213,1.0902810901772153,-0.34554701702307544,0.5009325873021521,1.8964299266409301,0.497630746296184,4.115016131720749,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.10,0,2233,2017-06-28,2026-05-15,3.314615908896494,0.17938313300062614,0.19378714496989655,0.9489072885910814,1.1286478781661966,-0.3471353283839327,0.5167527426140501,3.031585387187761,0.4977535857733415,4.314615908896494,
bond_credit_smooth_score,bc_a0.50_lc0.25_lg0.10_li0.10_tilt0.20_tau0.75_eta0.10,5,2233,2017-06-28,2026-05-15,3.2570882496830533,0.17759794532107742,0.19378678812345917,0.9410870749734062,1.1176074569844756,-0.3471592273659816,0.5115748950951847,3.031585387187761,0.4977535857733415,4.257088249683053,
