date,Bond/Credit Smooth Score Best,Vol-Matched Static G/D (52% G),DD-Matched Static G/D (34% G),Best Sharpe Static G/D (89% G),Best CAGR Static under Target DD (100% G)
2017-06-28,1.0,1.0,1.0,1.0,1.0
2017-06-29,0.9881390437625722,0.9881320621033082,0.9895119766981387,0.985295570991712,0.9844522898504267
2017-06-30,0.9895289414214328,0.9895452278549511,0.9911605746140458,0.9862268376961638,0.9852408198252209
2017-07-03,0.9884575922507282,0.9886346288909817,0.9922338085593064,0.9812586719112623,0.9790716166184107
2017-07-05,0.9920011398228298,0.9920435440732959,0.9943582168945038,0.9872785519066454,0.9858601263698796
2017-07-06,0.9823333689883037,0.9823451024450999,0.984370154769998,0.9781716027751497,0.9769280283996694
2017-07-07,0.990271680735147,0.9901393761753693,0.9911808003042376,0.9879747526483412,0.9873250216434459
2017-07-10,0.9922882353279951,0.9919611927345896,0.9916963346382476,0.9924729628733965,0.9926166183016203
2017-07-11,0.9928298764516119,0.9924373166501884,0.9916505441818276,0.9940227350566853,0.994485780697459
2017-07-12,1.00183701289443,1.0013225605381615,0.9995149224297146,1.0050111251461649,1.0061006185995987
2017-07-13,1.0041485118914968,1.0036597512394867,1.0019429858072735,1.0071603838290943,1.0081937126072336
2017-07-14,1.0100792921512196,1.0096001621338504,1.0073591517387204,1.0141837447005277,1.0155404016155467
2017-07-17,1.0107164779613256,1.0102509213913553,1.008168428608658,1.0145064198055864,1.0157649598266343
2017-07-18,1.0110737270719043,1.0107760026485821,1.0072106803215084,1.0180986744140292,1.0202740059580642
2017-07-19,1.0167876750777893,1.0165155615665604,1.0128843538815997,1.023974644165702,1.0261907836058402
2017-07-20,1.0174176706344855,1.0171769874166732,1.0134826729257873,1.0247671534142393,1.0270226170798675
2017-07-21,1.016079264788953,1.0159157985072758,1.011990822570622,1.0239854905648964,1.0263849134183496
2017-07-24,1.0160155437624416,1.0161353103224868,1.0113218044207253,1.026053052547715,1.0290075082909205
2017-07-25,1.0182901537355653,1.0180247903302972,1.0143697078192908,1.0255264188713915,1.0277534873380307
2017-07-26,1.0188195475948945,1.0188048611536982,1.0144755953256746,1.0277074809330755,1.0303549886542742
2017-07-27,1.0177875790707205,1.0172144218841155,1.014340799238245,1.0230860349311965,1.0248223481240746
2017-07-28,1.0158563404644212,1.0153961096973894,1.0122467409213745,1.0218395751479254,1.0237471972894996
2017-07-31,1.0153770080716693,1.0145534041394344,1.0125905838977922,1.0185348151596627,1.0197045320134395
2017-08-01,1.0176663092433347,1.0169654197352045,1.0146080491460148,1.0217624288967615,1.0231757887403112
2017-08-02,1.0176481040011571,1.0171304663394445,1.0142029197757745,1.0231077548537062,1.0248741230938156
2017-08-03,1.0161876545612607,1.0154919486657372,1.0131469857053097,1.0202613399917684,1.021665937020134
2017-08-04,1.017478109359541,1.0168646124072238,1.0142564122269149,1.0221787876435178,1.0237462909036907
2017-08-07,1.0206195795202857,1.0202279265530134,1.0169729123088564,1.0268817548884082,1.028850122557346
2017-08-08,1.0187124938122307,1.0182763471495455,1.015182697385774,1.0245954455320274,1.0264635169064256
2017-08-09,1.0178684302641894,1.017510343412881,1.0142208125737244,1.0242358940348537,1.0262257831324202
2017-08-10,1.0026741023015318,1.0017902211718623,0.9998924672132414,1.0056282387654036,1.006752804563688
2017-08-11,1.0052764835338546,1.0048211697659828,1.001770920300785,1.0110415374382522,1.0128777589597724
2017-08-14,1.0164705530690163,1.0163247743807269,1.0124470508833945,1.024260569588912,1.0266105073197795
2017-08-15,1.0161548195071473,1.016195336976322,1.0119130511728778,1.0249724521409769,1.0275750202911906
2017-08-16,1.0181880972393276,1.0183470607020686,1.0138245895206357,1.027623967718034,1.0303766932590412
2017-08-17,1.0016509967944363,1.0014571272596877,0.9977440215834905,1.0090501120578554,1.011296982426332
2017-08-18,0.9990307079793743,0.999083325913857,0.9949088682952111,1.0076356901211951,1.010170629657481
2017-08-21,0.9997432732502722,0.9996991211485138,0.9957193482260362,1.0078460957989477,1.0102591691438125
2017-08-22,1.010444212228883,1.0109076430924553,1.0059876778611765,1.0210092778311555,1.0240091530823423
2017-08-23,1.0077730925476283,1.0081743645456023,1.0033894759219357,1.0179946355233722,1.0209099026938808
2017-08-24,1.0067476647629312,1.0070316843684135,1.0024590609691122,1.0164094609900747,1.0191915780603602
2017-08-25,1.0090796552328511,1.0088336218857252,1.0050897256139288,1.0164839251882698,1.0187462648244934
2017-08-28,1.0092784980448666,1.0094596337398538,1.0050858331490236,1.0184193365416112,1.0210747165821001
2017-08-29,1.009953502987852,1.0107262194617885,1.0055090552624697,1.0214423123522713,1.0246257549733693
2017-08-30,1.0154753777570196,1.0168995349459653,1.0107658203029783,1.029528415038987,1.0332879784306401
2017-08-31,1.0213501745643316,1.0232677712051677,1.0164581239996133,1.037310523525578,1.041496782207694
2017-09-01,1.0235691343977478,1.0249595376416842,1.018839001876269,1.0375563236874676,1.0413050274452746
2017-09-05,1.015578442317686,1.0170140863253032,1.0108806865489703,1.0296394709710361,1.033397239975432
2017-09-06,1.0193986817357044,1.0205066784432637,1.0147706310094826,1.0322993842172024,1.0358054670358339
2017-09-07,1.0203439619054029,1.0220588314828967,1.0155943288072486,1.0353744758197194,1.0393399555909826
2017-09-08,1.017341713348403,1.0182579434902734,1.0127576042139121,1.0295539564267957,1.0329091912615334
2017-09-11,1.0281829816779269,1.0294110387917994,1.023502667654549,1.0415575280708667,1.0451686464791141
2017-09-12,1.0324089438620914,1.0331163278847577,1.0277981575913533,1.044027459803983,1.047265556800558
2017-09-13,1.033386924676408,1.0337765792982043,1.0288379468665658,1.0438951075096121,1.0468943446922292
2017-09-14,1.0328159962227252,1.032594129381581,1.028421258346214,1.0411157636817951,1.0436343499331986
2017-09-15,1.0354213816303022,1.0351212097287787,1.031061182535656,1.0434076280350042,1.045855445176016
2017-09-18,1.0372712168370875,1.0366895629591302,1.0330468395941366,1.044107677338844,1.0462946454225561
2017-09-19,1.0389095186504442,1.038404719517705,1.0346782254026636,1.0459966250589667,1.0482356692072845
2017-09-20,1.037394749712365,1.0367182963132413,1.033349811966346,1.0435664894387522,1.0455824281119388
2017-09-21,1.0338624258555584,1.0329514274959033,1.0301369021981213,1.0386501933829282,1.0403216649420592
2017-09-22,1.0354217737693998,1.0343181668727248,1.0320210560237388,1.0389443910822778,1.0402947138970822
2017-09-25,1.0309919084020995,1.0292802770078575,1.0288299117346338,1.0300855669543258,1.0302936538022065
2017-09-26,1.032554561450018,1.0309433830020722,1.0302130791558455,1.0323246080654933,1.0327040188464929
2017-09-27,1.0385609076738307,1.037169708717584,1.035488429149729,1.040508980696531,1.041471254571921
2017-09-28,1.0391833963861905,1.0378323496867907,1.036028897925559,1.0414238857464342,1.0424614376714025
2017-09-29,1.0429385694849913,1.0416938043136779,1.0390149385027774,1.0470936712702024,1.0486710426603059
2017-10-02,1.0465547755508875,1.0452966219252702,1.0431817442361135,1.049527648817063,1.0507551096477283
2017-10-03,1.049115046619397,1.0478733413091048,1.0458528097709316,1.0519089030216129,1.0530778652239956
2017-10-04,1.049866506844706,1.0486439500338276,1.0466568007481794,1.0526103910450888,1.0537586772730392
2017-10-05,1.0566293899647259,1.0553400898740568,1.0525449873000379,1.060975867190101,1.062622571734611
2017-10-06,1.0560666331269812,1.054688320312646,1.051133862970978,1.061897592487353,1.064015285811247
2017-10-09,1.055555722153327,1.054125901659585,1.0501985145763728,1.0621096931626268,1.0644596763788834
2017-10-10,1.0576831097481305,1.0563641843971159,1.0528773136291045,1.0634318162836698,1.065506699302553
2017-10-11,1.059677336431923,1.0582037810420033,1.054062875487168,1.0666289957092312,1.0691108437478
2017-10-12,1.0587048403971775,1.057220879705534,1.0530017532519136,1.0658089733544993,1.068339781470838
2017-10-13,1.0612097999967478,1.0595931778101226,1.05491920543655,1.0691271776332414,1.0719420053032966
2017-10-16,1.0633775382887949,1.0616901015892428,1.0567832066681335,1.0717089333226972,1.0746694529407246
2017-10-17,1.0641942864522957,1.0625527182118284,1.0577714141915113,1.072309574060189,1.0751912262756675
2017-10-18,1.0663526089721131,1.0648825594501579,1.0605654412527192,1.0736716887418167,1.0762621483912316
2017-10-19,1.0654271564579705,1.0642728191564805,1.0607786601459788,1.0713495166364122,1.0734255436679323
2017-10-20,1.0708363763669342,1.0697867625828792,1.0665377447332096,1.0763536186588596,1.0782765530595007
2017-10-23,1.0670950938070898,1.066373968396501,1.0639024346362682,1.071328506426345,1.0727685084923628
2017-10-24,1.0688394877203826,1.068049278235071,1.0653972014702329,1.0733772694385935,1.0749288839586792
2017-10-25,1.0634118113092148,1.0624006358061704,1.0592551096225336,1.0687514062520445,1.0706092324031649
2017-10-26,1.06472923442607,1.0637692842283064,1.0607095223123584,1.0699419581074603,1.0717463775951426
2017-10-27,1.0798535348867973,1.0768946000345763,1.0698873411177245,1.0912500832714513,1.0955045871756035
