date,Best Tilt 20%,Best Tilt 30%,Best Tilt 40%,Best Tilt 50%
2017-06-27,1.0,1.0,1.0,1.0
2017-06-27,0.9898670424310126,1.0,1.0,1.0
2017-06-28,0.9988761853783554,1.0090938459687295,1.0091068523788274,1.0091284630965258
2017-06-28,1.007967323839405,1.0090938459687295,1.0091068523788274,1.0091284630965258
2017-06-29,0.9960118675225885,0.9971355902308093,0.997127225347913,0.9971089962366596
2017-06-29,0.9841982143499445,0.9971355902308093,0.997127225347913,0.9971089962366596
2017-06-30,0.9855825689128114,0.9985414328585123,0.9985256983699645,0.9984940198011342
2017-06-30,0.9869688706825801,0.9985414328585123,0.9985256983699645,0.9984940198011342
2017-07-03,0.9859002932647248,0.9974841254021247,0.9974124634591038,0.9972766729738282
2017-07-03,0.9848328727807223,0.9974841254021247,0.9974124634591038,0.9972766729738282
2017-07-05,0.9883634260008374,1.0010438142877414,1.0010155120024273,1.000956400600275
2017-07-05,0.9919066359938778,1.0010438142877414,1.0010155120024273,1.000956400600275
2017-07-06,0.9822397861677303,0.9912842170702627,0.9912659109140679,0.9912239784808025
2017-07-06,0.9726671468067316,0.9912842170702627,0.9912659109140679,0.9912239784808025
2017-07-07,0.9805273450663272,0.9992855020724245,0.9993047294964268,0.9993338588407253
2017-07-07,0.988451062194513,0.9992855020724245,0.9993047294964268,0.9993338588407253
2017-07-10,0.9924808553839417,1.0013165371539419,1.0013849125085499,1.001511117645727
2017-07-10,0.9904639093434834,1.0013165371539419,1.0013849125085499,1.001511117645727
2017-07-11,0.9930226016493305,1.001865781073584,1.0019529759276982,1.0021157470211255
2017-07-11,0.9935646436272408,1.001865781073584,1.0019529759276982,1.0021157470211255
2017-07-12,1.0025784460139044,1.0109631999088866,1.0110869780924345,1.011320589854341
2017-07-12,1.0116740232845547,1.0109631999088866,1.0110869780924345,1.011320589854341
2017-07-13,1.014008218827425,1.0132975747259816,1.0134163657289483,1.0136401927313963
2017-07-13,1.0163477999675403,1.0132975747259816,1.0134163657289483,1.0136401927313963
2017-07-14,1.028388919658797,1.019296893634528,1.019426341192841,1.0196688974570252
2017-07-14,1.0223506326139844,1.019296893634528,1.019426341192841,1.0196688974570252
2017-07-17,1.0290376556857292,1.0199376581901956,1.0200610784023134,1.0202936977429289
2017-07-17,1.0296868009531976,1.0199376581901956,1.0200610784023134,1.0202936977429289
2017-07-18,1.0300507553378704,1.0203529012699115,1.020476674021088,1.0207223901499516
2017-07-18,1.0304148383663154,1.0203529012699115,1.020476674021088,1.0207223901499516
2017-07-19,1.0362380900771164,1.0261228405389742,1.0262414286369832,1.0264823437528798
2017-07-19,1.0420942511164952,1.0261228405389742,1.0262414286369832,1.0264823437528798
2017-07-20,1.0433860018925172,1.0267625025034248,1.0268750383387668,1.0271092740383148
