date,portfolio,dependent_return,window,n_obs,alpha_daily,alpha_annualized,r2,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_mom
2018-01-25,G,G excess return,252,252,-7.645123293540326e-05,-0.019082035406372766,0.9210525766700215,1.0848770065040123,-0.12340248789984404,-0.35028265648860535,-0.11169824292029631,-0.20027483564431092,0.16456729071966603
2018-01-26,G,G excess return,252,252,-7.493447282995088e-05,-0.01870700540786019,0.9224674422932337,1.0812270872542022,-0.12145257197276552,-0.3488850446893222,-0.11374914424763098,-0.2017678822242545,0.16470945917321292
2018-01-29,G,G excess return,252,252,-8.804575787285944e-05,-0.02194415348378087,0.9228034354172467,1.084693891450336,-0.12342088862795375,-0.3476209653232542,-0.11396065191578575,-0.2006033710581363,0.164695707895379
2018-01-30,G,G excess return,252,252,-7.804346502860429e-05,-0.01947557281297696,0.9230965441448854,1.0811568307510455,-0.12218780235120735,-0.3477698075306712,-0.11111067015901904,-0.20146808918427225,0.16511721348850897
2018-01-31,G,G excess return,252,252,-4.543044822520233e-05,-0.011383445661459768,0.921919609173387,1.0794884230518262,-0.12122195348239849,-0.3486921790973663,-0.11843228428514743,-0.2089159784734512,0.161231768877412
2018-02-01,G,G excess return,252,252,-7.19392676992811e-05,-0.01796599957274203,0.9236896860551153,1.0815958321035093,-0.12163525732507482,-0.3535875084538753,-0.11742427634305878,-0.20306898436755177,0.1595379925990158
2018-02-02,G,G excess return,252,252,-8.357595529933401e-05,-0.020841765575941862,0.9283762045945492,1.090703526083105,-0.1263427249597548,-0.35464422109970706,-0.12193442161114625,-0.2017521110869822,0.1563795125113706
2018-02-05,G,G excess return,252,252,-5.283080830767872e-05,-0.013225479889950154,0.9388111578642724,1.071149416334156,-0.11522653548187219,-0.3555991460046381,-0.12628939976529868,-0.19808607468343592,0.16263652050964256
2018-02-06,G,G excess return,252,252,-5.339651785887623e-05,-0.013366150732591286,0.9406147787908659,1.081989469910969,-0.12063187740162906,-0.3568551337711213,-0.12167289593656525,-0.1927894645499112,0.16607954647910425
2018-02-07,G,G excess return,252,252,-7.667266115253193e-05,-0.01913677320484508,0.940015924854716,1.0856649008235302,-0.1254992391251545,-0.3561504962103433,-0.1308446949212934,-0.20169287967992755,0.1620493641514935
2018-02-08,G,G excess return,252,252,-4.671831004388293e-05,-0.011704255163223154,0.9464388831321796,1.0650745998301567,-0.11283748918400739,-0.35058678025886353,-0.13060885061585642,-0.2075329942466074,0.1620576573174023
2018-02-09,G,G excess return,252,252,-2.6642755086787862e-05,-0.00669157475594262,0.9477429579805587,1.0717419555560486,-0.11342895031225807,-0.3470884291926291,-0.12909040879656805,-0.21299094154670528,0.16292984246097955
2018-02-12,G,G excess return,252,252,-3.234681720236257e-05,-0.008118396145933127,0.9487340083099892,1.0704394552209175,-0.11339608248690047,-0.3468901885606892,-0.12866485441764827,-0.21281046170854606,0.16362348878007688
2018-02-13,G,G excess return,252,252,-3.927397715440328e-05,-0.00984842013209375,0.9485003742783483,1.0702365383072479,-0.11354308557023635,-0.3463315770591719,-0.1308029082735348,-0.2153350224063681,0.16167914258818752
2018-02-14,G,G excess return,252,252,-2.817190626888515e-05,-0.007074279028984165,0.9493817510546855,1.0729273943021764,-0.11426771732806695,-0.34339921299674714,-0.13785465899948787,-0.22104235030131456,0.15969538147191698
2018-02-15,G,G excess return,252,252,-2.005770244331374e-05,-0.005041838754997974,0.9503638720847157,1.0759913749554844,-0.11380769494861581,-0.34595193320002404,-0.13515413364107504,-0.22167974256993275,0.15769405073111012
2018-02-16,G,G excess return,252,252,-3.072455268619997e-05,-0.007712808685662487,0.9505002020641296,1.0760839147636458,-0.11426441270620295,-0.34688232019575554,-0.1368107903725908,-0.21993399370656622,0.15841249736021576
2018-02-20,G,G excess return,252,252,-1.3876002285788972e-05,-0.003490670232468518,0.9498646147179823,1.0737470195035925,-0.11464877327375161,-0.34624903329092904,-0.14477394039956742,-0.2313941090689368,0.15602275381527608
2018-02-21,G,G excess return,252,252,-1.3932060664492857e-05,-0.003504747728513391,0.9498977474745042,1.0728273461475206,-0.11367055287273627,-0.3456472227882745,-0.1457328770077869,-0.23343133691145956,0.15627530937816617
2018-02-22,G,G excess return,252,252,-2.172660582071551e-05,-0.005460202751997101,0.9502330192664609,1.07250639287171,-0.11263145346800174,-0.34774955863017104,-0.1497302748616693,-0.22997078655856143,0.156974846245648
2018-02-23,G,G excess return,252,252,-1.4707634870387014e-05,-0.0036994912013367243,0.951297358799317,1.0745745988904725,-0.11484396295260102,-0.3463461290666233,-0.15265576389626867,-0.2356865363607753,0.15386703023076856
2018-02-26,G,G excess return,252,252,-9.465552564150887e-06,-0.0023824878952124484,0.9520058750882319,1.0752702873969253,-0.11350721575001006,-0.3503288084429934,-0.15069399700648722,-0.23613583811533254,0.15088709701249903
2018-02-27,G,G excess return,252,252,5.227745956768878e-06,0.0013182566750908897,0.952826064353438,1.073349046921999,-0.10933183337830535,-0.35221835216724406,-0.15595709925861415,-0.23824865383273092,0.1505560332306033
2018-02-28,G,G excess return,252,252,1.595817901442325e-05,0.00402952582000915,0.9529557859264922,1.0708766486167383,-0.11357845174235985,-0.3506936913963091,-0.15652077177121107,-0.2381173790912989,0.1529503044167819
2018-03-01,G,G excess return,252,252,1.720069912021473e-05,0.004343946601342408,0.9534387033491525,1.072521116121223,-0.11544054047920788,-0.34917054425990146,-0.15570128857900273,-0.23125577575458775,0.1579557574323699
2018-03-02,G,G excess return,252,252,1.5605095264123667e-05,0.0039401955634175145,0.9534413150906822,1.0721059415934124,-0.11740999103075932,-0.34877387893785994,-0.15346780360016357,-0.22942432254677475,0.15863128759785902
2018-03-05,G,G excess return,252,252,1.4695926430215371e-05,0.0037102121080834216,0.9537062243187182,1.0713448214509211,-0.11688339643970634,-0.3487488209932804,-0.15207542477240485,-0.2285320170129252,0.15988616398627625
2018-03-06,G,G excess return,252,252,1.0223045822707592e-05,0.002579515619263395,0.9537783841470265,1.0719017212601325,-0.11582304402567871,-0.3486829829973158,-0.15118999747479903,-0.2290942003376021,0.15967244792591562
2018-03-07,G,G excess return,252,252,5.002605458367559e-06,0.0012614483797708242,0.9539056093867838,1.072378218155258,-0.11496665143407739,-0.3492977928964001,-0.1510863835848355,-0.22771243020646462,0.15976420671641245
2018-03-08,G,G excess return,252,252,3.2626422723141352e-06,0.0008225225977214201,0.9539124929924169,1.0721442701237498,-0.11371990090115112,-0.34935915597635253,-0.15043235343399286,-0.23004499137851658,0.15871237612651082
2018-03-09,G,G excess return,252,252,1.3628031060174993e-05,0.0034401441862559334,0.9552403674141107,1.0714892809746996,-0.11622542327801175,-0.3502340374319864,-0.15906881752145768,-0.2340664999139317,0.1560065307283039
2018-03-12,G,G excess return,252,252,2.790685144807191e-05,0.007057214030699699,0.9544353288297358,1.0713318122976485,-0.1127702778035935,-0.3504170394903853,-0.16593615201533954,-0.24531477034007942,0.1493316541043355
2018-03-13,G,G excess return,252,252,2.1931555117768695e-05,0.005541991617462827,0.9545764617579243,1.072339737179906,-0.11317683140295713,-0.35083957614712385,-0.17023812537812788,-0.24591944160103624,0.14936025727219207
2018-03-14,G,G excess return,252,252,1.814718250101887e-05,0.004583520840087951,0.9546769879997079,1.072069562364685,-0.11274252709419251,-0.35190216349185155,-0.17357701376568443,-0.244459762480235,0.15014366198403334
2018-03-15,G,G excess return,252,252,3.2141253684024006e-05,0.008132355174026884,0.9546612093333273,1.0730072659805676,-0.11167595429291045,-0.35443726569082934,-0.1722340480994945,-0.2375021925515357,0.15161441956952038
2018-03-16,G,G excess return,252,252,2.210105967539514e-05,0.005584943464703951,0.9546269902711257,1.0726710956394652,-0.11378453085126305,-0.35504123769884505,-0.17210069751553544,-0.23508919002394435,0.15360790285711345
2018-03-19,G,G excess return,252,252,9.767717645722677e-06,0.002464484687470181,0.9555522123004497,1.0759069596226039,-0.11649063479947358,-0.35565442971422045,-0.17501478432138232,-0.2391890108242388,0.14982665989072172
