period,start_date,end_date,portfolio,window,n_days,avg_alpha_annualized,last_alpha_annualized,avg_r2,last_r2,avg_beta_mkt_rf,last_beta_mkt_rf,avg_beta_smb,last_beta_smb,avg_beta_hml,last_beta_hml,avg_beta_rmw,last_beta_rmw,avg_beta_cma,last_beta_cma,avg_beta_mom,last_beta_mom
covid_rebound_2020_2021,2020-03-23,2021-12-31,D,252,450,-0.03189464563292478,-0.02935194892075188,0.970217581690462,0.944926115767739,0.908802168037364,0.9283159951682579,0.01862955697840295,0.03794003978571504,0.21116250347943075,0.32183953496999207,0.0030388043781216308,0.06203551879734859,0.3029842459262251,0.09475615927739277,-0.0935075061207957,-0.13509616599567517
covid_rebound_2020_2021,2020-03-23,2021-12-31,D,504,450,-0.023720622750688168,-0.015924057307662443,0.9807378066340968,0.9757766646367328,0.92536481392734,0.9071009037239284,-0.02206287720478421,-0.018890759482941537,0.1790801600956577,0.24136334134888193,-0.006463561467861339,0.005457259317229938,0.3767934997832528,0.30007773351001044,-0.09133006196283994,-0.08442724765964345
covid_rebound_2020_2021,2020-03-23,2021-12-31,G,252,450,0.03587014104245301,0.08317284662382796,0.9753913671176678,0.9674928070983632,1.116001023832346,1.102783249238773,-0.14781634628207554,-0.170062043501208,-0.31101864377796307,-0.3877754925741527,0.15847449307222156,0.0978877664333034,-0.011154994897115576,0.21716364684438347,0.0060784846894532465,0.09254575898162425
covid_rebound_2020_2021,2020-03-23,2021-12-31,G,504,450,0.022166726989959824,0.04244457679098823,0.9798766665660631,0.9770458468952552,1.0971803742805544,1.1109417754332251,-0.12297210901037066,-0.09638805788335532,-0.29808682698442857,-0.3269546116391559,0.18494227161480056,0.14992748742677095,-0.16058998254291368,0.03684915488583366,-0.004241935423646859,0.013789106231127632
covid_rebound_2020_2021,2020-03-23,2021-12-31,G-D,252,450,0.07059483646930019,0.11591302725143526,0.8123857104880949,0.8740685097571627,0.20719885579498196,0.17446725407051494,-0.16644590326047856,-0.208002083286923,-0.5221811472573938,-0.7096150275441447,0.15543568869409993,0.03585224763595487,-0.3141392408233407,0.12240748756699069,0.09958599081024892,0.22764192497729904
covid_rebound_2020_2021,2020-03-23,2021-12-31,G-D,504,450,0.0470264090928135,0.05930925241524365,0.790627362241427,0.803766522246906,0.17181556035321432,0.2038408717092971,-0.10090923180558646,-0.07749729840041392,-0.4771669870800862,-0.5683179529880381,0.19140583308266185,0.14447022810954116,-0.5373834823261666,-0.26322857862417676,0.08708812653919307,0.09821635389077094
rate_hike_2022,2022-01-03,2022-12-30,D,252,251,0.005380855049023086,0.04657856882639755,0.9509359311692686,0.9660624429668161,0.8772276232434716,0.9064792701058857,0.07698324957453712,0.1387218831806703,0.3020782943582893,0.31233964282810545,0.08585422226112091,0.081355803565631,0.19276887241454976,0.17118723773696384,-0.06946812639075507,-0.030550189067810672
rate_hike_2022,2022-01-03,2022-12-30,D,504,251,0.0006540845122418117,0.01365389068723144,0.9564498284024929,0.9562006971669508,0.8747393150977374,0.8892670002193729,0.031954259603038035,0.03586144007284046,0.29145349518186536,0.32613105048507207,0.061729436699486114,0.071533065926359,0.18983645662802948,0.14959613077172387,-0.06536225498299482,-0.07497225332884831
rate_hike_2022,2022-01-03,2022-12-30,G,252,251,0.04203692490921163,-0.021434818533873967,0.9764262051437501,0.979574589296684,1.1445713076792667,1.1430791650026477,-0.17532338025624886,-0.2233265396095629,-0.33743037431058,-0.2906900814986886,0.07250886141232638,0.069710595141378,0.07121709580614403,0.03645995320231084,0.043820588423225025,-0.038789786990717785
rate_hike_2022,2022-01-03,2022-12-30,G,504,251,0.033800310998923576,0.02139608309311436,0.9731324930461025,0.9744388342794867,1.1474041615687582,1.1561152706518527,-0.13688342325684022,-0.15283154868776247,-0.3425772023627243,-0.3607593282122753,0.09329206441024053,0.08103201670626017,0.11077409114282326,0.10483614455036902,0.009751784935067162,0.015010022864182493
