date,portfolio,dependent_return,raw_return,factor_fitted_return,factor_adjusted_residual,factor_adjusted_cum_return
2016-12-21,G,G excess return,-0.0020364241551801276,-0.002670769252691484,0.0006343450975113563,0.0006343450975112574
2016-12-22,G,G excess return,-0.003055381104117183,-0.003261244629664127,0.0002058635255469442,0.0008403392115763353
2016-12-23,G,G excess return,0.0012920540366268885,0.0028409429180456316,-0.0015488888814187431,-0.0007098512619039266
2016-12-27,G,G excess return,0.00423270846999495,0.0027064877033606423,0.0015262207666343077,0.0008152861149932633
2016-12-28,G,G excess return,-0.008733801503173665,-0.009620163881604412,0.0008863623784307467,0.0017023711323640445
2016-12-29,G,G excess return,0.0002803793932471432,0.0006871883802629102,-0.00040680898701576695,0.0012948696054724262
2016-12-30,G,G excess return,-0.007618286360517801,-0.006653180884222131,-0.0009651054762956695,0.00032851444342929526
2017-01-03,G,G excess return,0.007787074196266719,0.008975020957851193,-0.001187946761584474,-0.0008598225758243982
2017-01-04,G,G excess return,0.005806199151290903,0.008031560969935542,-0.0022253618186446385,-0.0030832709781379863
2017-01-05,G,G excess return,0.0024682693371123944,0.0008594863328203976,0.0016087830042919968,-0.001479448287793339
2017-01-06,G,G excess return,0.008042399197036509,0.005100783947084474,0.0029416152499520355,0.0014578149945136953
2017-01-09,G,G excess return,0.0004576141012601731,-0.0003993260982488655,0.0008569401995090387,0.0023160044542951397
2017-01-10,G,G excess return,0.0006318170257466615,-0.00017066125983481416,0.0008024782855814757,0.0031203412831606325
2017-01-11,G,G excess return,0.002928937206160409,0.0019180701286146185,0.0010108670775457905,0.004134362610980213
2017-01-12,G,G excess return,-0.0015079280953556485,-8.32245716311103e-06,-0.0014996056381925374,0.0026285570593058694
2017-01-13,G,G excess return,0.003011583203962065,0.0029961755412709987,1.5407662691066353e-05,0.0026440052219174337
2017-01-17,G,G excess return,-0.0031752333297490275,-0.002756204863248439,-0.0004190284665005887,0.00222386884196335
2017-01-18,G,G excess return,0.002869649471187552,0.0021097997486661355,0.0007598497225214163,0.0029854083706073453
2017-01-19,G,G excess return,-0.0019020157203943678,-0.0033571840137235783,0.0014551682933292105,0.004444920935540164
2017-01-20,G,G excess return,0.003588594316813065,0.0032745855580647017,0.00031400875874836335,0.0047603254383941085
2017-01-23,G,G excess return,0.00029328647352586665,-0.0016163194175515543,0.001909605891077421,0.006679021674972141
2017-01-24,G,G excess return,0.006887497356651462,0.006099092457749406,0.0007884048989020565,0.007472692347282539
2017-01-25,G,G excess return,0.009194605211907713,0.00834418869271058,0.0008504165191971329,0.00832946376749466
2017-01-26,G,G excess return,-0.0009938215224353896,-0.0012985033971507748,0.0003046818747153852,0.008636683478846052
2017-01-27,G,G excess return,0.0016992222988573725,0.0008705828005900377,0.0008286394982673348,0.009472479674177858
2017-01-30,G,G excess return,-0.007342748848734137,-0.005256018297551846,-0.002086730551182291,0.00736598261026411
2017-01-31,G,G excess return,-0.0024909893486982694,0.00043815316483559346,-0.002929142513533863,0.004415264083912573
2017-02-01,G,G excess return,0.0056048924775784935,0.0009061362958914852,0.004698756181687008,0.009134766515007442
2017-02-02,G,G excess return,-0.0002578144425155138,0.000560525015651242,-0.0008183394581667558,0.008308951716960333
2017-02-03,G,G excess return,0.005620527394740416,0.0064191683040666515,-0.0007986409093262356,0.007503674938879268
2017-02-06,G,G excess return,0.00045310731493768407,-0.001662615551890899,0.002115722866828583,0.009635273502361263
2017-02-07,G,G excess return,0.0028697774076507977,0.0023699760729247676,0.0004998013347260301,0.010139890559644149
2017-02-08,G,G excess return,0.0021559973618594077,0.0029829151268536687,-0.000826917764994261,0.009304587939011011
2017-02-09,G,G excess return,0.0042354208166405895,0.007145115631454593,-0.0029096948148140036,0.006367819612916881
2017-02-10,G,G excess return,0.0031174039681972853,0.003122756906173258,-5.352937975972635e-06,0.006362432588397526
2017-02-13,G,G excess return,0.005013092577735101,0.005104487652241886,-9.139507450678461e-05,0.0062704560188902025
2017-02-14,G,G excess return,0.003407765670887386,0.00422735800450739,-0.0008195923336200036,0.005445724467588731
2017-02-15,G,G excess return,0.004824174841210294,0.007337443065262389,-0.0025132682240520954,0.0029187696772752236
2017-02-16,G,G excess return,0.0001306838768813101,-0.0011905498495697231,0.0013212337264510332,0.00424385978066355
2017-02-17,G,G excess return,0.0032280996204691716,0.004195850733240451,-0.0009677511127712795,0.0032720016678671193
2017-02-21,G,G excess return,0.005282844290993882,0.006503253084394726,-0.0012204087934008442,0.0020475996948587927
2017-02-22,G,G excess return,0.0006158084404627839,-0.000963442036715204,0.001579250477177988,0.0036300838448317663
2017-02-23,G,G excess return,-0.0018017643939404193,-0.0012475635190007629,-0.0005542008749396565,0.0030738711742492875
2017-02-24,G,G excess return,0.0021701485776853603,0.00489878358478389,-0.0027286350070985298,0.00033684869465733236
2017-02-27,G,G excess return,0.001157622669458469,0.0024155418072437183,-0.0012579191377852493,-0.0009214941715475211
2017-02-28,G,G excess return,-0.004055099528022965,-0.0033862363313549157,-0.0006688631966680495,-0.0015897410146782365
2017-03-01,G,G excess return,0.012739971375937565,0.013860597561035842,-0.0011206261850982766,-0.0027085856943679376
2017-03-02,G,G excess return,-0.005711258969360799,-0.004261736383898187,-0.0014495225854626124,-0.004154182123691896
2017-03-03,G,G excess return,0.0015439572232915477,0.0010707287821305755,0.00047322844116097214,-0.0036829195596614905
2017-03-06,G,G excess return,-0.0019455233641512137,-0.003476822402453984,0.00153129903830277,-0.0021572601725385887
2017-03-07,G,G excess return,-0.0011075534829471545,-0.0030282057196695487,0.0019206522367223942,-0.00024075128239187116
2017-03-08,G,G excess return,0.00042366038539547456,0.0011385271394913628,-0.0007148667540958881,-0.0009554459314000674
2017-03-09,G,G excess return,0.00029052360627936926,0.0016097545258571756,-0.0013192309195778065,-0.002273416397163164
2017-03-10,G,G excess return,0.00450781912926046,0.00539374744365532,-0.0008859283143948602,-0.0031573306276013735
2017-03-13,G,G excess return,0.0014112178233041117,0.0015623331700507603,-0.0001511153467466486,-0.0033079688532353657
2017-03-14,G,G excess return,-0.002586478386330482,-0.0033106105530435206,0.0007241321667130385,-0.0025862320931754335
2017-03-15,G,G excess return,0.007125849882907431,0.010072711535966072,-0.0029468616530586404,-0.005525472478052795
2017-03-16,G,G excess return,-0.00010370009082190101,-0.0018386000655516471,0.0017348999747297462,-0.0038001586453856318
2017-03-17,G,G excess return,0.0006234213271523181,-0.00035351694037012233,0.0009769382675224405,-0.002826932898266521
2017-03-20,G,G excess return,0.00047582016489018387,-0.000492339815857622,0.0009681599807478058,-0.001861509840819009
2017-03-21,G,G excess return,-0.013588175109062206,-0.013586201873843096,-1.973235219110414e-06,-0.0018634794028413726
2017-03-22,G,G excess return,0.005383859815438008,0.004308952842369365,0.0010749069730686435,-0.0007905754967769685
