date,Extreme Tilt 20%,Extreme Tilt 30%,Extreme Tilt 40%,Extreme Tilt 50%,Best Local Grid,50/50 G-D Buy & Hold,100% G Buy & Hold,100% D Buy & Hold,SPY Buy & Hold
2017-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-29,0.9883907557740484,0.9884434406874836,0.9884961256009187,0.9885488105143538,0.9885805496277569,0.9882853859471785,0.9844522898504267,0.9921184820439297,0.9916605044776095
2017-06-30,0.989846341905705,0.9899071748123582,0.989968008579331,0.9900288432066232,0.9900643902869117,0.9897246786733571,0.9852408198252207,0.9942135617131844,0.9933037548268023
2017-07-03,0.9894693860662156,0.9896870162766457,0.9899046666215617,0.9901223371013725,0.9902651050792738,0.9890341860471775,0.9790716166184106,0.9990517001237748,0.9954810615373615
2017-07-05,0.9924539435498799,0.9925304312243844,0.9926068767257098,0.9926832800456107,0.9927422150896035,0.9923008417143091,0.9858601263698796,0.9987241405971656,0.9972064744073145
2017-07-06,0.9826436297004146,0.9826802327223133,0.9827167879604803,0.9827532954117414,0.9827907972426329,0.982570280318125,0.9769280283996693,0.9881856919158403,0.9883329225188434
2017-07-07,0.9900353877712447,0.9899252597542131,0.9898150726568704,0.9897048264974648,0.9896605973443984,0.990255466491397,0.9873250216434458,0.9931271029407847,0.9944951113306746
2017-07-10,0.991290123068499,0.9909690276722325,0.9906479200546334,0.9903268002717089,0.9901787340318644,0.9919322769729412,0.9926166183016203,0.9911677559724572,0.995604305313787
2017-07-11,0.991520282257728,0.9911052977009903,0.9906903617183201,0.9902754743691929,0.990085342013769,0.9923503968553353,0.9944857806974589,0.9901369171217997,0.9949059239156156
2017-07-12,0.9999224992623702,0.9993229815590007,0.9987236644100265,0.9981245478487796,0.9978686655387865,1.0011221361985787,1.0061006185995987,0.9960772178518874,1.0021362254548938
2017-07-13,1.0022948086473642,1.0017077685022797,1.0011209127152083,1.000534241327931,1.0002925348656968,1.0034694418440668,1.0081937126072336,0.9986759304570403,1.0039848820965573
2017-07-14,1.0079628938618217,1.0072690413719718,1.006575495546036,1.0058822563688772,1.0056296237742288,1.0093515188933442,1.0155404016155467,1.0031065548147795,1.0085859830752408
2017-07-17,1.0086870961110277,1.0080210826353746,1.007355337020871,1.0066898592782503,1.0064422156997361,1.0100199266023755,1.0157649598266343,1.0042132903997483,1.0086270643309059
2017-07-18,1.0083983171690756,1.0074085463438889,1.0064194712048826,1.005431091504529,1.0051681197154059,1.010379946867559,1.0202740059580644,1.0004714238683068,1.0091200394366069
2017-07-19,1.0140867409307484,1.0130751244006535,1.0120642394139534,1.0110540856880461,1.0107907920646209,1.0161121697510722,1.0261907836058404,1.0060215024911114,1.0145427655898869
2017-07-20,1.0147032899981967,1.0136728071221681,1.0126430926579855,1.0116141462833514,1.011357037664608,1.0167665622746187,1.0270226170798678,1.0065018062439341,1.0148714156587824
2017-07-21,1.0132976555823796,1.0122079902432952,1.0111192153898536,1.0100313305624264,1.00978600679526,1.015479659556015,1.02638491341835,1.004578946416365,1.014008709223806
2017-07-24,1.0129650643539105,1.011649610800136,1.010335533944356,1.009022832730549,1.008832020494581,1.015600105781611,1.029007508290921,1.0022503762238888,1.0138443841917155
2017-07-25,1.01558061624231,1.0145623991237096,1.0135447812464928,1.0125277627783142,1.012263708136925,1.0176188475288512,1.0277534873380312,1.0074562011540358,1.01622709719946
2017-07-26,1.0159391895316339,1.014748317051656,1.0135583896541316,1.012369407201394,1.0121384465677565,1.0183237702848507,1.0303549886542747,1.0063018431679878,1.0164325034919302
2017-07-27,1.0152162022124132,1.0143766453811547,1.013537211018678,1.012697899966493,1.012465080722206,1.0168956799095208,1.024822348124075,1.0088828650334616,1.0155287158012887
2017-07-28,1.0132274174431848,1.0123181601625302,1.0114091431922212,1.0105003673461015,1.01026991487816,1.0150466496732735,1.0237471972895,1.0062723726744203,1.0142551967766569
2017-07-31,1.0129159860649333,1.0122057290523714,1.0114953553913113,1.0107848660373462,1.0105386715755538,1.0143361463185039,1.0197045320134397,1.0088373085584956,1.0138443841917157
2017-08-01,1.0151436509077416,1.0143633181446967,1.0135829646434982,1.0128025913853336,1.0125609801485442,1.016704250289631,1.0231757887403117,1.0101135781968404,1.0159395283862298
2017-08-02,1.0150943596934316,1.0142387735603116,1.0133832825337412,1.0125278875992605,1.0122992660304875,1.0168058133307183,1.024874123093816,1.0086387346979946,1.0164325034919304
2017-08-03,1.0135918009696445,1.0127716599562033,1.011951556250428,1.0111314908461133,1.010883336542286,1.0152321909385713,1.0216659370201344,1.0086741329550863,1.014542765589887
2017-08-04,1.0148854371963398,1.0140404936990812,1.0131956260300918,1.0123508351817394,1.0121100758825432,1.0165755476999447,1.0237462909036912,1.0092895917207847,1.0163092597155055
2017-08-07,1.0181238269772905,1.0172524948518464,1.016381278276378,1.015510178241036,1.015293770379105,1.0198668339107775,1.0288501225573465,1.0107932272528266,1.018157916357169
2017-08-08,1.0161725009515128,1.0152923335165212,1.014412299404372,1.0135323995997083,1.0133062074038224,1.017933231844538,1.0264635169064258,1.0093051484585942,1.0158162846098047
2017-08-09,1.015379894099299,1.0144973452833164,1.0136149350045767,1.0127326642457373,1.0125151928271234,1.0171454034053964,1.0262257831324204,1.0079766067891185,1.015487634540909
2017-08-10,0.9996793572897771,0.9987292784899539,0.9977794773000859,0.9968299546541444,0.9965270073125394,1.0015803439749709,1.0067528045636882,0.9962537967326784,1.0013967627963432
2017-08-11,1.0027388123892764,1.0018668902797836,1.0009950924439017,1.000123419886286,0.999893246192349,1.0044830254035295,1.0128777589597726,0.9959672060567382,1.0028756881087308
2017-08-14,1.014274910594523,1.0134651344924768,1.0126553584805629,1.0118455836020697,1.011663858891483,1.015894458890276,1.0266105073197798,1.005093112478765,1.012817352724649
2017-08-15,1.0141844589777584,1.0134166277408891,1.0126487296802131,1.0118807658390665,1.0117257263467225,1.0157199168020148,1.0275750202911904,1.0038034427686546,1.0126941089482238
2017-08-16,1.0163588287311494,1.0156156520366642,1.0148723685172862,1.0141289792134671,1.0139905190736975,1.0178448574794499,1.030376693259041,1.0052666043141703,1.014460603073842
2017-08-17,0.9993862268737544,0.9985568111149861,0.997727434709791,0.9968980987120712,0.9967003902229411,1.0010451722302653,1.011296982426332,0.9906971876231447,0.9986443184593234
2017-08-18,0.9970930637592282,0.9963295253733716,0.9955659199800038,0.9948022486383752,0.9946449262422983,0.9986199352666365,1.010170629657481,0.9870002632448757,0.9970832306308902
2017-08-21,0.9976519669854137,0.9968492148720743,0.9960464551658811,0.99524368893438,0.9950622583629697,0.9992574441577494,1.0102591691438125,0.9881739366154507,0.9978637745451069
2017-08-22,1.0090499441655574,1.0083939495985563,1.0077376962139073,1.0070811850882906,1.0069963687420111,1.0103611525375742,1.0240091530823425,0.9966856382711694,1.008298414262011
2017-08-23,1.0062914004469767,1.0056152836802628,1.0049389373283417,1.0042623624817542,1.0041623409491034,1.0076429408598333,1.020909902693881,0.994339351849065,1.0046832634947291
2017-08-24,1.0050845582631502,1.0043646098288717,1.0036444921351537,1.002924206301661,1.0027945602891934,1.0065239428709851,1.0191915780603606,0.9938045063478864,1.0023416317473648
2017-08-25,1.0066328883039428,1.0057402753502414,1.004847738882851,1.0039552801093214,1.0037043141491708,1.0084183388325054,1.0187462648244938,0.9979796402479619,1.0046832634947294
2017-08-28,1.0074461026597668,1.0066818572451828,1.0059174592612563,1.0051529099464294,1.0049890453617378,1.0089741308226614,1.0210747165821006,0.9967987301522631,1.0047243447551095
2017-08-29,1.008980336641459,1.0083965347887225,1.0078123043364362,1.0072276464430272,1.0071874123514792,1.0101466499145622,1.0246257549733697,0.9956488578256066,1.0058746199986017
2017-08-30,1.0154444542376775,1.015056848111942,1.0146685789687535,1.0142796477197138,1.014380919508572,1.0162176737949697,1.0332879784306408,0.9991993891919415,1.0106400460093756
2017-08-31,1.0220041965338,1.0217499255450038,1.02149488333615,1.0212390705589107,1.0214741119052813,1.022510422251578,1.0414967822076944,1.003636128648909,1.0167200723004468
2017-09-01,1.0234731400346997,1.0230690521004477,1.0226642664477563,1.022258784067368,1.0223506746627382,1.0242792187900702,1.041305027445275,1.0072932061415263,1.0181579163571697
2017-09-05,1.0155463208687288,1.0151522805006477,1.0147575423437238,1.014362107366894,1.0144611756432997,1.0163323043678714,1.0333972399754328,0.9993124485924982,1.0108454523018462
2017-09-06,1.0188963939492774,1.0184089976229458,1.0179209727972534,1.0174323206339002,1.0174428858066467,1.019869296460574,1.0358054670358343,1.0039391734436178,1.0142962780370373
2017-09-07,1.0206720749918043,1.0203368922141807,1.020000933145368,1.0196641986662318,1.0198248564788337,1.0213401081570366,1.0393399555909832,1.0034090984506816,1.0141730342606123
2017-09-08,1.0165362772602404,1.015980002106661,1.0154231002968692,1.014865573215318,1.0148280506013256,1.017646942064095,1.0329091912615342,1.0023608907296042,1.0129816777567402
2017-09-11,1.0277921543645903,1.027309889046626,1.026826902245177,1.0263431952120083,1.0263779792327667,1.0287545155483695,1.0451686464791148,1.0123454627893864,1.02378604880292
2017-09-12,1.0312622404130205,1.0306296158804542,1.0299964072793673,1.02936261617857,1.0292519036949845,1.0325257309991072,1.0472655568005587,1.0177365313214106,1.0272368745381113
2017-09-13,1.0317781940774657,1.03105240765255,1.030326150953458,1.0295994257072107,1.0294004280781908,1.0332283491956198,1.0468943446922299,1.0194823853557404,1.027729849643812
2017-09-14,1.0303246583337433,1.0294209853517635,1.0285170947993774,1.027612988645081,1.027248995492869,1.0321313437054418,1.043634349933199,1.020492198086078,1.0274011995702017
2017-09-15,1.0328002553245772,1.0318646234726914,1.030928825838042,1.0299928644125707,1.0296058009727502,1.0346710137040753,1.0458554451760163,1.023342415956255,1.0287824734030326
2017-09-18,1.0342137136989802,1.0331776371673476,1.0321415744900224,1.0311055277088939,1.030646702766357,1.0362859001455516,1.0462946454225563,1.0261070800581318,1.0309705817170731
2017-09-19,1.035945442875958,1.0349222752026124,1.033899092037577,1.032875895426836,1.0324243708633063,1.0379917235521434,1.0482356692072847,1.0275816432831624,1.032002708281723
2017-09-20,1.0341437459147529,1.03304322491871,1.0319428449283092,1.0308426079890611,1.0303467419212573,1.0363452027271136,1.045582428111939,1.0269225904120218,1.0323742738453738
2017-09-21,1.0302211017172165,1.0290121914453512,1.0278036614461292,1.026595513710541,1.0260497603656598,1.0326400550959045,1.0403216649420592,1.0247465484207496,1.029608174651924
2017-09-22,1.0314405175637393,1.0301294847001248,1.0288190690752264,1.0275092725701738,1.0269322730081376,1.03406442745966,1.0402947138970824,1.0276000648756947,1.0298145999676829
2017-09-25,1.0259764420276827,1.024350744701764,1.0227264795765343,1.0211036479432838,1.0205306105964294,1.0292321280818453,1.0302936538022067,1.0278749013131905,1.0277090617752314
2017-09-26,1.0276960529823274,1.026113947696288,1.024533130126553,1.0229536017610266,1.0223585707932452,1.0308641207182379,1.032704018846493,1.028729876048043,1.0283283377130783
2017-09-27,1.0340920415039647,1.0326469592551797,1.0312027202066694,1.0297593264091756,1.029070958345836,1.0369847273699828,1.0414712545719211,1.0322122489385896,1.0323329887822223
2017-09-28,1.0347557446947182,1.0333179563128623,1.0318809886760318,1.0304448438564737,1.0297325265723698,1.0376337753754212,1.0424614376714028,1.032522990706125,1.0335715406579165
2017-09-29,1.0386867625970282,1.0373320960370127,1.0359780069642084,1.0346244976703491,1.0337959621469757,1.041397818986106,1.048671042660306,1.0338635940371066,1.0372046261634091
2017-10-02,1.042223314678897,1.040804343650848,1.0393861079151905,1.037968609671372,1.0372109511618892,1.045063453785994,1.0507551096477286,1.03908718439345,1.0417046979762303
2017-10-03,1.044772021326099,1.0433338572857187,1.0418964731852167,1.0404598711959967,1.0397108670542607,1.0476506805117618,1.0530778652239958,1.041935084420749,1.0439340913534225
2017-10-04,1.0455256896333,1.0440772359290988,1.0426295882206515,1.0411827486601206,1.0404319696870457,1.0484250063907878,1.0537586772730394,1.0428016790346473,1.0451726432291162
2017-10-05,1.0521231202603718,1.0506702548857518,1.0492181874809585,1.047766920222714,1.0468740365386489,1.0550312361826832,1.0626225717346112,1.0471715447768506,1.0513654026123005
2017-10-06,1.0513617288686579,1.0498963946152922,1.0484318951253853,1.0469682325431955,1.0459444325090768,1.0542948930586777,1.0640152858112475,1.0443373662692614,1.0501681357997585
2017-10-09,1.0507171876373573,1.0492316610326522,1.04774702751839,1.0462632891870782,1.0451773809270448,1.0536909117171682,1.0644596763788838,1.0427046404634894,1.048516733297262
2017-10-10,1.053029369434526,1.0515561714823576,1.050083824445423,1.0486123304607577,1.0476002423822437,1.0559783095060824,1.0655066993025535,1.0462061128423281,1.0509938370486498
2017-10-11,1.0546802841070662,1.053149419890758,1.0516195629399918,1.0500907152604328,1.0489613916169847,1.0577450262810049,1.0691108437478003,1.0461679884387645,1.0526865246142985
2017-10-12,1.053662593799432,1.0521187588470158,1.0505759721636991,1.0490342357116742,1.0478902274638442,1.0567534006296335,1.0683397814708384,1.044960959326739,1.051158977301257
2017-10-13,1.0558739406025737,1.0542752167078144,1.0526776947540029,1.0510813765527804,1.04984877449561,1.0590749869332086,1.0719420053032969,1.0460289229863104,1.0523975291769512
2017-10-16,1.0578811767813578,1.0562507310560287,1.0546215764809699,1.0529937147730177,1.051713179781401,1.0611459347792591,1.0746694529407248,1.0474582828984826,1.0540076466162962
2017-10-17,1.0587794547282259,1.0571597775683326,1.0555413551655635,1.0539241892828386,1.052665270142926,1.0620225662318443,1.0751912262756678,1.0486803688081552,1.0545443524278397
2017-10-18,1.0612725070385094,1.059708271975162,1.0581451131919914,1.0565830326673604,1.0554185616688996,1.064404198058322,1.0762621483912316,1.0523392750232654,1.0556177640556412
2017-10-19,1.0609722540739799,1.0595163993453045,1.058061302157695,1.0566069648184369,1.0556300796687326,1.063886226895476,1.0734255436679323,1.0540886284237923,1.0561544698671848
2017-10-20,1.0665636985715088,1.0651327997065418,1.0637025727539502,1.062273020103378,1.0613659123477253,1.0694275024513422,1.0782765530595009,1.0603054952272937,1.061315102685719
2017-10-23,1.0634496347155438,1.0621243827018105,1.060799528139785,1.0594750736048446,1.058783407924194,1.0661013207726142,1.0727685084923628,1.0591261201650857,1.0575581619907708
2017-10-24,1.06505086083563,1.0636987100051833,1.0623470193520317,1.0609957914272925,1.0602303646592037,1.0677565327986855,1.0749288839586795,1.0602819830560208,1.0591682794301158
2017-10-25,1.0592014772639804,1.0577767387314694,1.0563526612034875,1.0549292471127185,1.0539872707632858,1.0620529275828996,1.070609232403165,1.0532154181163633,1.054090216737885
2017-10-26,1.0605967999094281,1.059180578751206,1.0577649914809129,1.056350040553995,1.0554324925415672,1.0634311340393585,1.0717463775951426,1.0548302240926684,1.0547507777388834
2017-10-27,1.0719793290252673,1.069914119568727,1.0678512449124309,1.0657907063958587,1.0633087171250988,1.076116746922924,1.0955045871756035,1.056613033815774,1.0639573466849992
2017-10-30,1.0689830728918508,1.0666952538902543,1.0644106438380183,1.0621292425748745,1.0590997896737975,1.0735683383203827,1.096800531430116,1.0503586552616908,1.0602004059947658
2017-10-31,1.071332327805041,1.0689735025396425,1.0666181758962827,1.0642663471189209,1.0610701035955012,1.0760604771623559,1.100483921623597,1.0517077526449998,1.0616453831862183
2017-11-01,1.0725746908718368,1.0702796737951796,1.0679878661596194,1.0656992678614652,1.0626682186703658,1.0771743536984382,1.1004179288238756,1.0539481564451996,1.063049075309805
2017-11-02,1.0720714698259903,1.0697788138694153,1.0674893603476985,1.0652031091687517,1.0621817972028582,1.0766663893473292,1.0998524812711192,1.0534957025053044,1.0634619259366078
2017-11-03,1.0762500721165125,1.073757801611828,1.071269562173243,1.0687853519959438,1.0652466473466153,1.0812467134787487,1.1080923473248823,1.0545666358803638,1.0670124413157973
2017-11-06,1.077796824069996,1.0752015181749348,1.0726107100706455,1.0700243968301255,1.066214554857928,1.0830009408789951,1.1117933026355946,1.0544663355697634,1.0686638438135796
2017-11-07,1.0773948653368874,1.074759874998972,1.072129576686391,1.0695039669633937,1.065587866943513,1.0826789357725048,1.1122323213455199,1.0534229117990332,1.0679207126909922
2017-11-08,1.0805021535054722,1.0777920892699024,1.0750870608567853,1.0723870639373987,1.0682714356455578,1.0859374067037704,1.1170202114350258,1.0552290237578241,1.069737255441381
2017-11-09,1.0760692463373105,1.073454648248918,1.0708446419331346,1.0682392242602883,1.064383477766136,1.081312230288986,1.1101510820067588,1.0527293982574262,1.0658564595616924
2017-11-10,1.076436562535805,1.0738212817013932,1.0712105931870313,1.0686044938646682,1.064762125090592,1.081680913615322,1.1103507614746586,1.053257922546541,1.0655261790611932
2017-11-13,1.0770417130595527,1.0744209965012912,1.071804894126578,1.0691934027547618,1.0653341779252619,1.0822970013878594,1.11108186598876,1.0537642085602015,1.0665170205626913
2017-11-14,1.0748617560835605,1.0722571540208015,1.0696571041594332,1.0670616034644207,1.0632444753572379,1.0800846288914117,1.1084579647105377,1.051944655353201,1.0640399168113033
2017-11-15,1.0690959682280645,1.0665492754166832,1.0640068973045422,1.0614688314321177,1.0578253553583796,1.0742023077225178,1.101252345968998,1.047324772501687,1.0587141437448764
2017-11-16,1.0805855850383213,1.0779662282696814,1.0753514485115447,1.0727412427285545,1.0688966200039969,1.0858380416858089,1.1143803402465564,1.0575288413928272,1.0677142873752332
2017-11-17,1.0779387294133775,1.0753831413294574,1.0728318408086692,1.0702848255531596,1.0667047549259312,1.0830627773962291,1.1095080746314565,1.0567467231889898,1.0645766226228466
2017-11-20,1.080552789758931,1.0780042172439963,1.0754598799951667,1.0729197758669733,1.0694150309320478,1.0856626491024741,1.1114739886963068,1.059947696887117,1.0663931653779506
2017-11-21,1.0884622185756083,1.0858260341766481,1.0831944415530415,1.0805674377312722,1.0766588734056923,1.09374837452938,1.1228825117261516,1.0648564707904629,1.0733703409468744
2017-11-22,1.0876420362489725,1.085005599863457,1.0823737626432617,1.079746521588733,1.0758495442059564,1.0929287184504821,1.1219175638050773,1.064175545176325,1.072420784508528
2017-11-24,1.0903160264388583,1.0876453754037625,1.0849794693814905,1.0823183050125773,1.0781673267059597,1.0956715769226537,1.1269572421405438,1.0647366419290585,1.0748978882599158
2017-11-27,1.0898252860353501,1.0871482401182657,1.0844759743196202,1.0818084851821024,1.077643699647711,1.0951937319918454,1.1265421591107114,1.0642001006117296,1.0743611824483723
2017-11-28,1.0980621259060037,1.0953313679299852,1.0926055907869106,1.0898847905520423,1.086076706445304,1.1035385999952467,1.1307866762299246,1.0764078939440869,1.0852604389554221
2017-11-29,1.0919320658230778,1.0890589245982272,1.0861915209278767,1.0833298487605338,1.0806684000582443,1.0976955850932912,1.1120511148499075,1.0828437480448796,1.0845998779544235
2017-11-30,1.100464800457197,1.0975826420447263,1.094706195277932,1.091835454270143,1.0890528266930934,1.10624627571502,1.1218344115601844,1.0901874031632868,1.0940954423378872
2017-12-01,1.0977516945984274,1.0948407309175867,1.0919356530254924,1.089036454489939,1.0864583436677953,1.1035913050083117,1.1172227735307694,1.0894360872225592,1.0918247639022578
2017-12-04,1.0927983214059878,1.0896992400780543,1.0866070859987265,1.0835218495226073,1.0818166827594702,1.099017304366247,1.1036951557213062,1.093596592345919,1.0905036419002607
