validation_label,validation_method,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,ann_excess_vs_expanding_wf,max_dd_diff_vs_expanding_wf
Smooth Score WF Expanding,walk_forward_expanding,1349,2020-12-31,2026-05-15,1.3324627708290557,0.17141193316958914,0.16814698268172132,1.025042443229908,1.424195492214978,-0.19805810807365865,0.8654628423787645,4.137875136506828,0.3910658963512944,2.3324627708290557,0.0,0.0
Smooth Score WF Rolling,walk_forward_rolling,1349,2020-12-31,2026-05-15,1.3413873751910095,0.1722479169841944,0.16804494430051636,1.0298170401424374,1.4366404725500497,-0.19207261156862,0.8967854166061411,3.7457163161233487,0.3924972949209755,2.3413873751910095,0.0008359838146052567,0.005985496505038657
50/50 G-D,benchmark_50_50_gd,1349,2020-12-31,2026-05-15,1.259106345314268,0.16444010587371105,0.17258942670514466,0.968554642809526,1.3250247864553175,-0.23776226939091905,0.6916156474068025,0.0,0.5,2.259106345314268,-0.006971827295878086,-0.0397041613172604
100% G,benchmark_100_g,1349,2020-12-31,2026-05-15,1.440525234706794,0.1813642768449586,0.22822487244818537,0.844424602783834,1.137073667079933,-0.3434553386295509,0.5280578184302942,0.0,1.0,2.440525234706794,0.009952343675369457,-0.14539723055589227
100% D,benchmark_100_d,1349,2020-12-31,2026-05-15,1.0184595522699502,0.14019539610349674,0.1440239013692415,0.9832109980461643,1.3831235543494975,-0.173159491830301,0.8096315981389598,0.0,0.0,2.01845955226995,-0.031216537066092398,0.024898616243357652
SPY,benchmark_spy,1349,2020-12-31,2026-05-15,1.1355628463346918,0.15227083383115048,0.16894318111151557,0.9234848947737961,1.2431956343865462,-0.244963349041885,0.6216065971775823,0.0,,2.135562846334692,-0.01914109933843866,-0.04690524096822635
