scheme,train_start,train_end,test_start,test_end,selected_config_id,train_selection_score,train_cagr,train_sharpe,train_max_drawdown,train_turnover
rolling,2022-04-04,2023-04-04,2023-04-05,2023-07-06,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.10,0.7847222222222222,0.011866586543700874,0.16949332874952477,-0.17519185212759625,8.856699342896757
rolling,2022-07-06,2023-07-06,2023-07-07,2023-10-04,local_a0.67_ls0.50_lc0.05_tilt0.40_tau1.50_eta0.03,0.8300925925925926,0.19175961609311054,0.9811012084069884,-0.17328202933616432,2.617357463146594
rolling,2022-10-04,2023-10-04,2023-10-05,2024-01-04,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.03,0.8990740740740742,0.2146089358994301,1.1948553442974734,-0.08206778024600081,1.4513360725253157
rolling,2023-01-04,2024-01-04,2024-01-05,2024-04-05,local_a0.50_ls0.50_lc0.15_tilt0.50_tau1.50_eta0.03,0.8430555555555556,0.274072174795815,1.8899187788575105,-0.09546312219215003,1.8481388541072317
rolling,2023-04-05,2024-04-05,2024-04-08,2024-07-08,local_a0.50_ls0.25_lc0.15_tilt0.20_tau1.50_eta0.03,0.788888888888889,0.27972706614452636,2.1977671436111605,-0.09651842545690503,0.9276110106584791
rolling,2023-07-07,2024-07-08,2024-07-09,2024-10-04,local_a0.50_ls0.25_lc0.25_tilt0.20_tau1.50_eta0.10,0.8402777777777777,0.2695100232744545,2.257070353906146,-0.09534130935119511,1.3895226558444156
rolling,2023-10-05,2024-10-04,2024-10-07,2025-01-06,local_a0.50_ls0.50_lc0.25_tilt0.50_tau1.50_eta0.05,0.8222222222222223,0.35010683009276256,2.4761582409570293,-0.07464265725755082,2.1223740689775115
rolling,2024-01-05,2025-01-06,2025-01-07,2025-04-08,local_a0.50_ls0.25_lc0.25_tilt0.50_tau0.75_eta0.10,0.775462962962963,0.27947355560793885,1.9753580967747553,-0.07300410086926468,7.065109397788516
rolling,2024-04-08,2025-04-08,2025-04-09,2025-07-10,local_a0.50_ls0.50_lc0.25_tilt0.20_tau1.50_eta0.03,0.9736111111111111,-0.05283481293244818,-0.2521947666824097,-0.19605922499062023,0.8139435927627309
rolling,2024-07-09,2025-07-10,2025-07-11,2025-10-08,local_a0.50_ls0.50_lc0.25_tilt0.40_tau0.75_eta0.03,0.9050925925925928,0.19363159816895137,0.9586056988581563,-0.1944237663238727,2.745543614862265
rolling,2024-10-07,2025-10-08,2025-10-09,2026-01-08,local_a0.50_ls0.50_lc0.25_tilt0.50_tau1.00_eta0.03,0.8925925925925926,0.1994228820824553,1.0279071054055955,-0.19451306067770335,2.5515485182181132
rolling,2025-01-07,2026-01-08,2026-01-09,2026-04-10,local_a0.50_ls0.50_lc0.15_tilt0.50_tau1.00_eta0.03,0.8930555555555555,0.20851947671319593,1.068413138512666,-0.19371239198554513,2.2180403462112968
rolling,2025-04-09,2026-04-10,2026-04-13,2026-05-15,local_a0.50_ls0.25_lc0.05_tilt0.50_tau0.75_eta0.10,0.8009259259259258,0.5027671944247867,2.350752353851655,-0.06896004621386442,8.047484404725472
