method,config_id,alpha,lambda_stress,lambda_crowded,max_tilt,tau_weight,eta
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.05,,,,0.2,1.0,0.05
smooth_tnx_only,tnx_tilt0.20_tau1.0_eta0.15,,,,0.2,1.0,0.15
smooth_tnx_only,tnx_tilt0.20_tau1.5_eta0.05,,,,0.2,1.5,0.05
smooth_tnx_only,tnx_tilt0.20_tau1.5_eta0.15,,,,0.2,1.5,0.15
smooth_core_only,core_a0.50_tilt0.10_tau1.0_eta0.05,0.5,,,0.1,1.0,0.05
smooth_core_only,core_a0.50_tilt0.10_tau1.0_eta0.15,0.5,,,0.1,1.0,0.15
smooth_core_only,core_a0.50_tilt0.10_tau1.5_eta0.05,0.5,,,0.1,1.5,0.05
smooth_core_only,core_a0.50_tilt0.10_tau1.5_eta0.15,0.5,,,0.1,1.5,0.15
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.05,0.5,,,0.2,1.0,0.05
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.15,0.5,,,0.2,1.0,0.15
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.05,0.5,,,0.2,1.5,0.05
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.15,0.5,,,0.2,1.5,0.15
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.05,0.67,,,0.1,1.0,0.05
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.15,0.67,,,0.1,1.0,0.15
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.05,0.67,,,0.1,1.5,0.05
smooth_core_only,core_a0.67_tilt0.10_tau1.5_eta0.15,0.67,,,0.1,1.5,0.15
smooth_core_only,core_a0.67_tilt0.20_tau1.0_eta0.05,0.67,,,0.2,1.0,0.05
smooth_core_only,core_a0.67_tilt0.20_tau1.0_eta0.15,0.67,,,0.2,1.0,0.15
smooth_core_only,core_a0.67_tilt0.20_tau1.5_eta0.05,0.67,,,0.2,1.5,0.05
smooth_core_only,core_a0.67_tilt0.20_tau1.5_eta0.15,0.67,,,0.2,1.5,0.15
