method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,selection_score
benchmark_100_d,benchmark_100_d,0,2360,2016-12-21,2026-05-15,1.922304166731109,0.1213211201353086,0.1712626265657151,0.7547822126969029,0.8572220455514697,-0.36712958168088505,0.3304585797195794,0.0,0.0,
benchmark_100_d,benchmark_100_d,5,2360,2016-12-21,2026-05-15,1.922304166731109,0.1213211201353086,0.1712626265657151,0.7547822126969029,0.8572220455514697,-0.36712958168088505,0.3304585797195794,0.0,0.0,
benchmark_100_d,benchmark_100_d,10,2360,2016-12-21,2026-05-15,1.922304166731109,0.1213211201353086,0.1712626265657151,0.7547822126969029,0.8572220455514697,-0.36712958168088505,0.3304585797195794,0.0,0.0,
benchmark_100_d,benchmark_100_d,20,2360,2016-12-21,2026-05-15,1.922304166731109,0.1213211201353086,0.1712626265657151,0.7547822126969029,0.8572220455514697,-0.36712958168088505,0.3304585797195794,0.0,0.0,
benchmark_100_g,benchmark_100_g,0,2360,2016-12-21,2026-05-15,5.271562998048187,0.21658796651824663,0.22975927983669664,0.9686956984938683,1.1969702091526075,-0.3434553386295506,0.6306146452184208,0.0,1.0,
benchmark_100_g,benchmark_100_g,5,2360,2016-12-21,2026-05-15,5.271562998048187,0.21658796651824663,0.22975927983669664,0.9686956984938683,1.1969702091526075,-0.3434553386295506,0.6306146452184208,0.0,1.0,
benchmark_100_g,benchmark_100_g,10,2360,2016-12-21,2026-05-15,5.271562998048187,0.21658796651824663,0.22975927983669664,0.9686956984938683,1.1969702091526075,-0.3434553386295506,0.6306146452184208,0.0,1.0,
benchmark_100_g,benchmark_100_g,20,2360,2016-12-21,2026-05-15,5.271562998048187,0.21658796651824663,0.22975927983669664,0.9686956984938683,1.1969702091526075,-0.3434553386295506,0.6306146452184208,0.0,1.0,
benchmark_50_50_gd,benchmark_50_50_gd,0,2360,2016-12-21,2026-05-15,3.3901760110754324,0.17112702512395228,0.1889026629676304,0.9312542363648403,1.099618515463967,-0.33586755519100453,0.5095074605423976,0.0,0.5,
benchmark_50_50_gd,benchmark_50_50_gd,5,2360,2016-12-21,2026-05-15,3.3901760110754324,0.17112702512395228,0.1889026629676304,0.9312542363648403,1.099618515463967,-0.33586755519100453,0.5095074605423976,0.0,0.5,
benchmark_50_50_gd,benchmark_50_50_gd,10,2360,2016-12-21,2026-05-15,3.3901760110754324,0.17112702512395228,0.1889026629676304,0.9312542363648403,1.099618515463967,-0.33586755519100453,0.5095074605423976,0.0,0.5,
benchmark_50_50_gd,benchmark_50_50_gd,20,2360,2016-12-21,2026-05-15,3.3901760110754324,0.17112702512395228,0.1889026629676304,0.9312542363648403,1.099618515463967,-0.33586755519100453,0.5095074605423976,0.0,0.5,
benchmark_spy,benchmark_spy,0,4985,2006-05-23,2026-05-15,7.313501753700734,0.1130036870947595,0.20101748515743345,0.6325403711678526,0.7063047357226245,-0.5647367075689949,0.20009977318669983,0.0,,
benchmark_spy,benchmark_spy,5,4985,2006-05-23,2026-05-15,7.313501753700734,0.1130036870947595,0.20101748515743345,0.6325403711678526,0.7063047357226245,-0.5647367075689949,0.20009977318669983,0.0,,
