method,config_id,Q1,Q2,Q3,Q4,Q5,Q5_minus_Q1
supp_expanded_local_grid,local_a0.50_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.05,-0.010061666737046303,0.0017421435078642886,0.010034329785602427,0.03322348718306812,0.054787485301510834,0.06484915203855714
supp_extreme_tilt_base,extreme_a0.50_ls0.25_lc0.15_tilt0.50_tau1.0_eta0.05,-0.0034849696979887173,-0.00035599625970522,0.005050892991273334,0.03629347503939436,0.05222237696802561,0.05570734666601433
matched_smooth_tnx_only,tnx_tilt0.50_tau0.75_eta0.05,0.00038853094920366055,0.0066032756775659535,0.018966524949710475,0.025153935236177215,0.03861351222834207,0.03822498127913841
matched_smooth_core_only,core_a0.50_tilt0.50_tau0.75_eta0.05,0.00016239753124995467,-0.0025376846036458587,0.011574292464723203,0.024783131908991167,0.0557436417396809,0.05558124420843095
