scheme,train_start,train_end,test_start,test_end,selected_config_id,train_selection_score,train_cagr,train_sharpe,train_max_drawdown,train_turnover
expanding,2017-06-28,2024-04-02,2024-04-03,2024-07-02,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8055555555555556,0.1835554160321502,0.9423593742702254,-0.31692142478250285,4.256792758291887
expanding,2017-06-28,2024-07-02,2024-07-03,2024-10-01,local_a0.50_ls0.25_lc0.05_tilt0.50_tau1.00_eta0.05,0.8046296296296296,0.18338134731625022,0.9476084497007937,-0.3160508022827331,4.696597454402543
expanding,2017-06-28,2024-10-01,2024-10-02,2024-12-31,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8083333333333333,0.18345646084193445,0.9556046652702761,-0.31692142478250285,4.17370815926585
expanding,2017-06-28,2024-12-31,2025-01-02,2025-04-03,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8069444444444445,0.17975139816380525,0.9478737729402864,-0.31692142478250285,4.175635314844298
expanding,2017-06-28,2025-04-03,2025-04-04,2025-07-07,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8055555555555556,0.15934526800088067,0.8580624999609751,-0.31692142478250285,4.200421033052851
expanding,2017-06-28,2025-07-07,2025-07-08,2025-10-03,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8050925925925926,0.18037673086565853,0.9320677832006083,-0.31692142478250285,4.197302994786617
expanding,2017-06-28,2025-10-03,2025-10-06,2026-01-05,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8018518518518519,0.18507517352872394,0.9617352010482032,-0.31692142478250285,4.140699509928052
expanding,2017-06-28,2026-01-05,2026-01-06,2026-04-07,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8018518518518519,0.18356283896949344,0.9621085441495993,-0.31692142478250285,4.0876290356792
expanding,2017-06-28,2026-04-07,2026-04-08,2026-05-15,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8046296296296296,0.17795765945162212,0.9434748373680945,-0.31692142478250285,4.114198746657483
rolling,2017-06-28,2018-06-27,2018-06-28,2018-09-26,local_a0.50_ls0.50_lc0.25_tilt0.20_tau1.50_eta0.03,0.937962962962963,0.16903019549081133,1.2621794177157566,-0.09987433360641151,1.2705982001914864
rolling,2017-09-27,2018-09-26,2018-09-27,2018-12-27,local_a0.50_ls0.50_lc0.25_tilt0.30_tau1.50_eta0.03,0.9425925925925925,0.21668000635383788,1.575530759133275,-0.09975182265624671,1.7733655186262778
rolling,2017-12-27,2018-12-27,2018-12-28,2019-03-29,local_a0.50_ls0.50_lc0.25_tilt0.20_tau0.75_eta0.03,0.937962962962963,-0.03929083894816432,-0.13513142639988696,-0.19710958036691795,1.8777449535501234
rolling,2018-03-29,2019-03-29,2019-04-01,2019-06-28,local_a0.50_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.05,0.8425925925925926,0.17335222100972092,0.9918659963831,-0.19603230679657369,4.734050961559953
rolling,2018-06-28,2019-06-28,2019-07-01,2019-09-27,local_a0.67_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.03,0.8601851851851852,0.14935063218255595,0.8933961506345991,-0.1967469005395439,3.6695646263790413
rolling,2018-09-27,2019-09-27,2019-09-30,2019-12-27,local_a0.67_ls0.50_lc0.15_tilt0.50_tau0.75_eta0.03,0.8638888888888889,0.0735221162482016,0.4756239728016219,-0.196538670738443,4.2649236622178375
rolling,2018-12-28,2019-12-27,2019-12-30,2020-03-30,local_a0.50_ls0.50_lc0.25_tilt0.40_tau1.50_eta0.03,0.8245370370370371,0.3621121369912985,2.2910569130487395,-0.08215745086128579,2.2727810136530056
rolling,2019-04-01,2020-03-30,2020-03-31,2020-06-29,local_a0.67_ls0.25_lc0.05_tilt0.50_tau1.50_eta0.10,0.8106481481481482,-0.029517069475678226,0.05859634420750473,-0.3104785528102777,7.614330341294225
rolling,2019-07-01,2020-06-29,2020-06-30,2020-09-28,local_a0.67_ls0.50_lc0.05_tilt0.50_tau1.50_eta0.05,0.8217592592592593,0.12708609697633344,0.5235339923168495,-0.317477543897038,4.538618310749282
rolling,2019-09-30,2020-09-28,2020-09-29,2020-12-28,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.50_eta0.05,0.8287037037037038,0.23171726204544685,0.7837716138911371,-0.31828241560228754,3.3569207516443598
