date,Smooth Score Best Local,100% G Buy & Hold,Vol-Matched 100% G,50/50 G-D,100% D Buy & Hold,SPY Buy & Hold,Vol-Matched Static G/D (49% G),MaxDD-Matched Static G/D (87% G),Best Sharpe Static G/D (89% G),Best Calmar Static G/D (87% G),Best CAGR Static G/D under Smooth MaxDD (86% G)
2017-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-29,0.9885805496277569,0.9844522898504267,0.9872585542236509,0.9882853859471783,0.9921184820439298,0.9916605044776097,0.9883620478691133,0.9854488948355821,0.985295570991712,0.9854488948355821,0.9855255567575172
2017-06-30,0.9900643902869117,0.9852408198252209,0.9879066015358089,0.989724678673357,0.9942135617131848,0.9933037548268027,0.989814407097075,0.9864061397984955,0.9862268376961638,0.9864061397984955,0.9864957938641766
2017-07-03,0.9902651050792738,0.9790716166184107,0.9828372216071134,0.9890341860471774,0.9990517001237752,0.9954810615373618,0.9892339975917286,0.9816566036739985,0.9812586719112623,0.9816566036739985,0.981855602484585
2017-07-05,0.9927422150896035,0.9858601263698796,0.9884218445468393,0.992300841714309,0.998724140597166,0.997206474407315,0.9924294800870571,0.9875363591380598,0.9872785519066454,0.9875363591380598,0.9876652525341675
2017-07-06,0.9827907972426329,0.9769280283996694,0.9810829138623721,0.9825702803181249,0.9881856919158405,0.9883329225188439,0.9826828531523101,0.978397569692189,0.9781716027751497,0.978397569692189,0.9785105372572567
2017-07-07,0.9896605973443984,0.9873250216434459,0.9896395522552073,0.9902554664913968,0.993127102940785,0.9944951113306751,0.9903134763650776,0.9880925808408075,0.9879747526483412,0.9880925808408075,0.9881514597632493
2017-07-10,0.9901787340318644,0.9926166183016203,0.9939862146406524,0.9919322769729412,0.9911677559724577,0.9956043053137874,0.9919177709822533,0.9924464250381866,0.9924729628733965,0.9924464250381866,0.9924331078348689
2017-07-11,0.990085342013769,0.994485780697459,0.9955201184620381,0.9923503968553353,0.9901369171218003,0.994905923915616,0.9923068900970224,0.9939381355697864,0.9940227350566853,0.9939381355697864,0.9938957886330462
2017-07-12,0.9978686655387865,1.0061006185995987,1.0050484506809325,1.001122136198579,0.9960772178518877,1.0021362254548942,1.0010218841616036,1.004812683741514,1.0050111251461649,1.004812683741514,1.0047134225398215
2017-07-13,1.0002925348656968,1.0081937126072336,1.0067619604763773,1.003469441844067,0.9986759304570407,1.0039848820965578,1.003374245596489,1.006972139816871,1.0071603838290943,1.006972139816871,1.0068779756508632
2017-07-14,1.0056296237742288,1.0155404016155467,1.0127740680666946,1.0093515188933446,1.0031065548147802,1.0085859830752413,1.0092271636179584,1.0139367808431339,1.0141837447005277,1.0139367808431339,1.0138132645129427
2017-07-17,1.0064422156997361,1.0157649598266343,1.0129575936366921,1.010019926602376,1.0042132903997487,1.0086270643309065,1.009904392239924,1.014277266994498,1.0145064198055864,1.014277266994498,1.0141626529075827
2017-07-18,1.0051681197154059,1.0202740059580642,1.0166425724101318,1.0103799468675594,1.0004714238683072,1.0091200394366073,1.010181910290816,1.017703074023135,1.0180986744140292,1.017703074023135,1.0175052640884077
2017-07-19,1.0107907920646209,1.0261907836058402,1.0214741503925966,1.0161121697510727,1.0060215024911119,1.014542765589887,1.0159104666033918,1.0235716366076826,1.023974644165702,1.0235716366076826,1.0233701245270892
2017-07-20,1.011357037664608,1.0270226170798675,1.022152709897987,1.016766562274619,1.0065018062439346,1.0148714156587828,1.0165613444750128,1.0243570133930981,1.0247671534142393,1.0243570133930981,1.0241519370886782
2017-07-21,1.00978600679526,1.0263849134183496,1.0216325858164146,1.0154796595560152,1.0045789464163652,1.0140087092238061,1.0152615927972246,1.023549244935128,1.0239854905648964,1.023549244935128,1.0233311237646574
2017-07-24,1.008832020494581,1.0290075082909205,1.023771867433736,1.015600105781611,1.0022503762238892,1.0138443841917157,1.0153325381086507,1.0255161682452762,1.026053052547715,1.0255161682452762,1.025247759629796
2017-07-25,1.012263708136925,1.0277534873380307,1.0227494182906287,1.0176188475288512,1.0074562011540362,1.0162270971994602,1.0174158593141474,1.0251213388667175,1.0255264188713915,1.0251213388667175,1.024918780745331
2017-07-26,1.0121384465677565,1.0303549886542742,1.0248709845833395,1.0183237702848509,1.006301843167988,1.0164325034919306,1.0180832304155871,1.0272261506621656,1.0277074809330755,1.0272261506621656,1.0269854897137063
2017-07-27,1.012465080722206,1.0248223481240746,1.020361083169521,1.0168956799095206,1.0088828650334618,1.015528715801289,1.0167362572217622,1.0227698797208336,1.0230860349311965,1.0227698797208336,1.0226117489980648
2017-07-28,1.01026991487816,1.0237471972894996,1.0194838259120038,1.0150466496732735,1.0062723726744205,1.014255196776657,1.0148718754108395,1.0214923365690147,1.0218395751479254,1.0214923365690147,1.0213186715247289
2017-07-31,1.0105386715755538,1.0197045320134395,1.0161846332840117,1.0143361463185039,1.0088373085584958,1.0138443841917162,1.014227439124741,1.0183214494319297,1.0185348151596627,1.0183214494319297,1.0182146871077893
2017-08-01,1.0125609801485442,1.0231757887403112,1.0190195302739986,1.016704250289631,1.0101135781968407,1.0159395283862303,1.016573594073467,1.0215048214280347,1.0217624288967615,1.0215048214280347,1.021375944832822
2017-08-02,1.0122992660304875,1.0248741230938156,1.0204056722711654,1.016805813330718,1.0086387346979946,1.0164325034919308,1.0166434275505714,1.0227860674732014,1.0231077548537062,1.0227860674732014,1.0226251628887928
