date,WF Expanding,WF Rolling,Fixed Parameter,50/50 G-D,100% G,100% D,SPY
2018-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-29,1.0012905556347236,1.0012905556347236,1.0012905556347236,1.0013037053978526,1.0010835955671644,1.0015238152285406,1.0014396987708463
2018-07-02,1.0038289387418433,1.0038289387418433,1.0038289387418433,1.0035887439162383,1.008203272180555,0.9989720894320147,1.0035807892489668
2018-07-03,0.9992425897410289,0.9992425897410289,0.9992425897410289,0.9992906871764745,0.9983317456409493,1.0001966614493727,1.000036915352139
2018-07-05,1.0090274127066523,1.0090274127066523,1.0090274127066523,1.0089491564788382,1.0102968066275633,1.0075437010204058,1.0081952083869345
2018-07-06,1.0190850054992457,1.0190850054992457,1.0190850054992457,1.0188671445574917,1.0226141512043887,1.0150682666314468,1.016722654951437
2018-07-09,1.0270241141919023,1.0270241141919023,1.0270241141919023,1.0267487684795693,1.0314709301318006,1.0219813160864262,1.0258776625189359
2018-07-10,1.0307288435076776,1.0307288435076776,1.0307288435076776,1.0305567522175465,1.033500779233877,1.0275507463827143,1.0295691978284782
2018-07-11,1.023655019567894,1.023655019567894,1.023655019567894,1.0233710046293691,1.0285318619155024,1.0181614815193285,1.0220384657966788
2018-07-12,1.0340728584932644,1.0340728584932644,1.0340728584932644,1.0335224574162727,1.0437215616387183,1.0233244875951704,1.0313042194247535
2018-07-13,1.034844750278389,1.034844750278389,1.034844750278389,1.0343199330087973,1.044096158248299,1.0245364250793274,1.0321163571926033
2018-07-16,1.0328265926646478,1.0328265926646478,1.0328265926646478,1.0323450314279947,1.0412327799848942,1.0234337193650744,1.031193473364178
2018-07-17,1.0380205235221687,1.0380205235221687,1.0380205235221687,1.0374697010950829,1.0483351320841943,1.0266136423716212,1.0353649082640026
2018-07-18,1.038257841657765,1.038257841657765,1.038257841657765,1.0377398852673805,1.0477677120333615,1.0277040194295566,1.037542914098421
2018-07-19,1.03577609804125,1.03577609804125,1.03577609804125,1.0352905920549496,1.0441822682553374,1.026369592837476,1.033629886671886
2018-07-20,1.034158264297131,1.034158264297131,1.034158264297131,1.033655572182811,1.0438120338699584,1.023491649278004,1.032448595370171
2018-07-23,1.0360680290789057,1.0360680290789057,1.0360680290789057,1.0355560258995844,1.0467940705733285,1.0243311984554873,1.0343681937312994
2018-07-24,1.0397092738389666,1.0397092738389666,1.0397092738389666,1.0392043263181678,1.0501633943229467,1.0282516860279083,1.039573258520125
2018-07-25,1.0497691103607543,1.0497691103607543,1.0497691103607543,1.0492688995295971,1.0641735812796023,1.034450818601204,1.048432943262195
2018-07-26,1.0461205313979034,1.0461205313979034,1.0461205313979034,1.0455646746595213,1.0527034655053324,1.0382967443335294,1.045959614602348
2018-07-27,1.0366006017992182,1.0366006017992182,1.0366006017992182,1.0359760129618503,1.037648666250182,1.0341014939149467,1.038871866808692
2018-07-30,1.0293496815130265,1.0293496815130265,1.0293496815130265,1.0286082330196464,1.0227452408640294,1.034245075346705,1.0334453099028744
2018-07-31,1.0347568227413964,1.0347568227413964,1.0347568227413964,1.0340115250593422,1.0280933637506129,1.0397026225987451,1.0385396286311244
