method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,selection_score,final_wealth,ann_excess_vs_50_50,ann_excess_vs_100_g,max_dd_diff_vs_50_50,max_dd_diff_vs_100_g,alpha,lambda_stress,lambda_crowded,max_tilt,tau_weight,eta
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.03,0,2233,2017-06-28,2026-05-15,3.3886798495020267,0.18165063375071178,0.19239570525131602,0.9643168912208749,1.1516377144147438,-0.33041996634701853,0.5497568314619824,1.4273807838678347,0.4881190768884482,,4.388679849502027,0.008649034529762449,-0.03570349897227733,0.0054475888439865505,0.013035372282532154,0.5,0.25,0.05,0.2,0.75,0.03
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.03,5,2233,2017-06-28,2026-05-15,3.36101945492843,0.18080779855151996,0.19239694827762074,0.9606011926633061,1.1466441953313395,-0.3304858468114662,0.5470969492217506,1.4273807838678347,0.4881190768884482,,4.36101945492843,0.007935344137828534,-0.036417189364211254,0.005381708379538885,0.012969491818084489,0.5,0.25,0.05,0.2,0.75,0.03
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.03,10,2233,2017-06-28,2026-05-15,3.3335332826810866,0.17996556108010076,0.1923981959496947,0.9568855190121709,1.1412861523839828,-0.33055172108356645,0.5444399457070255,1.4273807838678347,0.4881190768884482,0.38119266055045875,4.333533282681087,0.00722165374589461,-0.03713087975614518,0.005315834107438633,0.012903617545984236,0.5,0.25,0.05,0.2,0.75,0.03
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.03,20,2233,2017-06-28,2026-05-15,3.2790792254428167,0.17828287763500872,0.19240070523078856,0.9494542475056835,1.1305817786401202,-0.3306834510529456,0.5391345622749774,1.4273807838678347,0.4881190768884482,,4.279079225442817,0.005794272962026779,-0.038558260540013004,0.0051841041380594755,0.012771887576605079,0.5,0.25,0.05,0.2,0.75,0.03
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.05,0,2233,2017-06-28,2026-05-15,3.4188869373197646,0.18256570229323832,0.192985305994584,0.9659596464515826,1.1554642471472383,-0.3275970474878839,0.5572873861141575,2.0800156866688564,0.4879624837843976,,4.418886937319765,0.009534624106444456,-0.03481790939559533,0.00827050770312121,0.015858291141666814,0.5,0.25,0.05,0.2,0.75,0.05
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.05,5,2233,2017-06-28,2026-05-15,3.378365598669374,0.18133690243030354,0.1929865677779587,0.9605643140865087,1.147683987175723,-0.32767136185090096,0.5534108974491844,2.0800156866688564,0.4879624837843976,,4.378365598669374,0.008494616263110027,-0.03585791723892975,0.00819619334010413,0.015783976778649733,0.5,0.25,0.05,0.2,0.75,0.05
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.05,10,2233,2017-06-28,2026-05-15,3.3382155872315318,0.18010937158701013,0.19298784168596106,0.9551689922630993,1.1399116941407577,-0.32774566838479846,0.5495400518170936,2.0800156866688564,0.4879624837843976,0.39449541284403666,4.338215587231532,0.007454608419775602,-0.03689792508226418,0.008121886806206624,0.015709670244752227,0.5,0.25,0.05,0.2,0.75,0.05
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.05,20,2233,2017-06-28,2026-05-15,3.259015975456216,0.17765811175066526,0.19299042587488618,0.9443783843126803,1.124572501255277,-0.32789425796837124,0.5418152573071353,2.0800156866688564,0.4879624837843976,,4.259015975456216,0.005374592733106738,-0.038977940768933045,0.007973297222633846,0.01556108066117945,0.5,0.25,0.05,0.2,0.75,0.05
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.10,0,2233,2017-06-28,2026-05-15,3.413819549127096,0.18241258318239817,0.19381859915107597,0.961956462345498,1.1509613780940153,-0.32500522393659304,0.5612604652102022,3.240522604979746,0.4878602877839779,,4.413819549127096,0.009563660133694819,-0.034788873368344964,0.01086233125441205,0.018450114692957653,0.5,0.25,0.05,0.2,0.75,0.1
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.10,5,2233,2017-06-28,2026-05-15,3.350942544571039,0.1804995678081971,0.19381827480615263,0.953598378989246,1.1391225715341982,-0.3250715913202058,0.5552609721296725,3.240522604979746,0.4878602877839779,,4.350942544571039,0.007943398831204951,-0.03640913467083483,0.010795963870799286,0.01838374730934489,0.5,0.25,0.05,0.2,0.75,0.1
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.10,10,2233,2017-06-28,2026-05-15,3.288960568961169,0.17858962625684627,0.1938179898116034,0.9452400757495703,1.1271173750861918,-0.3251379525445677,0.5492733925989967,3.240522604979746,0.4878602877839779,0.30045871559633025,4.288960568961169,0.006323137528715077,-0.0380293959733247,0.010729602646437408,0.01831738608498301,0.5,0.25,0.05,0.2,0.75,0.1
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.10,20,2233,2017-06-28,2026-05-15,3.1676309629646955,0.17477894501031388,0.19381753787429773,0.9285228299767543,1.1033394699080246,-0.3252706565176896,0.5373338833618663,3.240522604979746,0.4878602877839779,,4.1676309629646955,0.0030826149237353252,-0.04126991857830445,0.01059689867331548,0.018184682111861084,0.5,0.25,0.05,0.2,0.75,0.1
supp_expanded_local_grid,local_a0.50_ls0.25_lc0.05_tilt0.20_tau1.00_eta0.03,0,2233,2017-06-28,2026-05-15,3.358614950258202,0.1807343074307517,0.1925757631179601,0.9595675563000068,1.145098737258231,-0.3305182416282909,0.5468209758722183,1.2563078333291064,0.49211758940641076,,4.358614950258202,0.007908060575275568,-0.036444472926764206,0.005349313562714175,0.012937097001259779,0.5,0.25,0.05,0.2,1.0,0.03
