date,g_return,d_return,SPY,future_gd_return_63d,tnx_change_21d,spy_drawdown,vix_percentile_756d,vix_change_21d,gd_trailing_126d,z_tnx_change_21d,z_spy_drawdown,z_vix_percentile_756d,z_vix_change_21d,z_gd_trailing_126d,r,d,vh,vr,g126,high_vix_smooth,vix_relief_smooth,low_vix_smooth,growth_ext_smooth,rate_quiet_smooth,i1,i2,i3,i4,z_i1,z_i2,z_i3,z_i4,core_50_50,core_67_33
2006-05-22,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-23,,,-0.0076111947944271,,,-0.0076111947944271,,,,,-1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
2006-05-24,,,0.00798913477672,,,0.0,,,,,0.7071067811865475,,,,,-0.7071067811865475,,,,,,,,,,,,,,,,,,
2006-05-25,,,0.0123642704261055,,,0.0,,,,,0.5773502691896257,,,,,-0.5773502691896257,,,,,,,,,,,,,,,,,,
2006-05-26,,,0.0050888593083404,,,0.0,,,,,0.49999999999999994,,,,,-0.49999999999999994,,,,,,,,,,,,,,,,,,
2006-05-30,,,-0.0177597756600713,,,-0.0177597756600713,,,,,-2.0320090324869478,,,,,2.0320090324869478,,,,,,,,,,,,,,,,,,
2006-05-31,,,0.0111816019000927,,,-0.0067767565012444,,,,,-0.3506399908613733,,,,,0.3506399908613733,,,,,,,,,,,,,,,,,,
2006-06-01,,,0.009567877030649,,,0.0,,,,,0.6673390392366211,,,,,-0.6673390392366211,,,,,,,,,,,,,,,,,,
2006-06-02,,,0.0020974131950497,,,0.0,,,,,0.6141616514453019,,,,,-0.6141616514453019,,,,,,,,,,,,,,,,,,
2006-06-05,,,-0.014573643416146,,,-0.014573643416146,,,,,-1.5400452573602474,,,,,1.5400452573602474,,,,,,,,,,,,,,,,,,
2006-06-06,,,-0.002438640654225,,,-0.0169767441910563,,,,,-1.5804951499277489,,,,,1.5804951499277489,,,,,,,,,,,,,,,,,,
2006-06-07,,,-0.0074915227472444,,,-0.0243410852730192,,,,,-2.0011679352766185,,,,,2.0011679352766185,,,,,,,,,,,,,,,,,,
2006-06-08,,,-0.0008739869751727,,,-0.0251937984567017,,,,,-1.7443957049551977,,,,,1.7443957049551977,,,,,,,,,,,,,,,,,,
2006-06-09,,,-0.0031809145110062,,,-0.0282945736486097,,,,,-1.7470417576724426,,,,,1.7470417576724426,,,,,,,,,,,,,,,,,,
2006-06-12,,,-0.0108496210642,,,-0.0388372093105492,,,,,-2.171372899809038,,,,,2.171372899809038,,,,,,,,,,,,,,,,,,
2006-06-13,,,-0.0116138398188109,,,-0.0500000000014178,,,,,-2.360647094424679,,,,,2.360647094424679,,,,,,,,,,,,,,,,,,
2006-06-14,,,0.0077519379810251,,,-0.0426356589194548,,,,,-1.6538987766419257,,,,,1.6538987766419257,,,,,,,,,,,,,,,,,,
2006-06-15,,,0.0212145748982977,,,-0.0223255814006422,,,,,-0.377405627951289,,,,,0.377405627951289,,,,,,,,,,,,,,,,,,
2006-06-16,,,-0.0116555661264972,,,-0.0337209302368117,,,,,-1.041702753759836,,,,,1.041702753759836,,,,,,,,,,,,,,,,,,
2006-06-19,,,-0.0078620136407649,,,-0.0413178294640755,,,,,-1.4061523965555147,,,,,1.4061523965555147,,,,,,,,,,,,,,,,,,
2006-06-20,,,0.003396134880419,,,-0.0380620155054828,,,,,-1.1376086094947624,,,,,1.1376086094947624,,,,,,,,,,,,,,,,,,
2006-06-21,,,0.0074139737291505,,0.1200000000000001,-0.0309302325593683,,-2.1999999999999993,,,-0.6780438128552957,,,,,0.6780438128552957,,,,,,,,,,,,,,,,,,
2006-06-22,,,-0.0043996480364543,,0.1299999999999999,-0.0351937984588758,,-2.380000000000001,,1.0,-0.9038572597417902,,-1.0,,-1.0,0.9038572597417902,,1.0,,,1.3132616875182228,,,0.6065306597126334,,,,,,,,,-0.048071370129104896,-0.3717271042852093
2006-06-23,,,8.03471079942053e-05,,0.2000000000000001,-0.0351162790708071,,-1.4699999999999989,,1.4048787173725414,-0.8656596672039772,,1.3893316998203613,,-1.4048787173725414,0.8656596672039772,,-1.3893316998203613,,,0.2225368211599171,,,0.37275194578771076,,,,,,,,,-0.2696095250842821,-0.6556010504622903
2006-06-26,,,0.0041777134978213,,0.1799999999999997,-0.0310852713260531,,0.1199999999999992,,0.6726915834767351,-0.5973573666456512,,1.6253181242873576,,-0.6726915834767351,0.5973573666456512,,-1.6253181242873576,,,0.17969230565786737,,,0.7975131278216765,,,,,,,,,-0.03766710841554194,-0.25357542993634763
2006-06-27,,,-0.0086406912549835,,0.1500000000000003,-0.0394573643489308,,2.139999999999999,,-0.19955703157131208,-1.0784216694149598,,1.7084650943551454,,0.19955703157131208,1.0784216694149598,,-1.7084650943551454,,,0.16648313668561784,,,0.9802854203904925,,,,,,,,,0.6389893504931359,0.48958236205971584
2006-06-28,,,0.0067791138738149,,0.1600000000000001,-0.0329457364411979,,-2.870000000000001,,0.12126781251816843,-0.6508888016521149,,-1.0132248214319326,,-0.12126781251816843,0.6508888016521149,,1.0132248214319326,,,1.3229469649178116,,,0.9926740255600794,,,,,,,,,0.26481049456697325,0.1335438701580251
2006-06-29,,,0.0202004008040972,,0.0999999999999996,-0.013410852717999,,-3.410000000000002,,-1.5055453054181702,0.5770206339724464,,-1.0962563824225622,,1.5055453054181702,-0.5770206339724464,,1.0962563824225622,,,1.3845279519800968,,,0.3219582715376719,,,,,,,,,0.4642623357228619,0.8182985454192668
2006-06-30,,,-0.0003142924537242,,0.04,-0.013720930241916,,-1.4399999999999995,,-2.025406805378297,0.544472033949462,,-0.000743082541541199,,2.025406805378297,-0.544472033949462,,0.000743082541541199,,,0.6935187908521723,,,0.12858869701228798,,,,,,,,,0.7404673857144176,1.1773467884001367
2006-07-03,,,0.0044800754595992,,0.1500000000000003,-0.0093023255851764,,-1.2699999999999996,,0.29981267559835123,0.8090414924259672,,0.09452613441739745,,-0.29981267559835123,-0.8090414924259672,,-0.09452613441739745,,,0.6470005965388143,,,0.9560511910654687,,,,,,,,,-0.5544270840121592,-0.4678581851514645
2006-07-05,,,-0.0057120500831351,,0.2100000000000008,-0.0149612403186792,,-2.4999999999999982,,1.3870934606403664,0.4298906725781417,,-0.6312092877747258,,-1.3870934606403664,-0.4298906725781417,,0.6312092877747258,,,1.057749503116018,,,0.38212246441625713,,,,,,,,,-0.9084920666092541,-1.0712165405798324
2006-07-06,,,0.0029117809100094,,0.1800000000000006,-0.0120930232626197,,-3.689999999999999,,0.7033181986481145,0.6068858231437572,,-1.2327446131191606,,-0.7033181986481145,-0.6068858231437572,,1.2327446131191606,,,1.4885423245345217,,,0.7808843306480264,,,,,,,,,-0.6551020108959358,-0.6714955147316767
2006-07-07,,,-0.0065128688030584,,0.1200000000000001,-0.0185271317917364,,-3.83,,-0.5532833351724867,0.17275909854088947,,-1.1814026439081131,,0.5532833351724867,-0.17275909854088947,,1.1814026439081131,,,1.4490208040634847,,,0.8580771848652882,,,,,,,,,0.19026211831579865,0.3136893320470726
2006-07-10,,,0.0018955848754063,,0.1299999999999999,-0.0166666666671393,,-4.330000000000002,,-0.3176031029582673,0.29454314035742807,,-1.3211023495214027,,0.3176031029582673,-0.29454314035742807,,1.3211023495214027,,,1.5576287400181505,,,0.9508149067513985,,,,,,,,,0.011529981300419628,0.11559484266408784
2006-07-11,,,0.0044146629850914,,0.1199999999999992,-0.0123255813984681,,-4.98,,-0.5215427049568484,0.5825320104278353,,-1.494297670252446,,0.5215427049568484,-0.5825320104278353,,1.494297670252446,,,1.6967536265195995,,,0.8728396678428575,,,,,,,,,-0.030494652735493455,0.15719804887990277
2006-07-12,,,-0.0106742014001608,,0.1099999999999994,-0.0228682170604076,,-6.470000000000001,,-0.7178211306255444,-0.1494976108329483,,-1.9246431490364166,,0.7178211306255444,0.1494976108329483,,1.9246431490364166,,,2.0608577828409715,,,0.7728783723060894,,,,,,,,,0.4336593707292464,0.5302743690939877
2006-07-13,,,-0.0162633875384394,,0.1100000000000003,-0.0387596899224805,,-6.02,,-0.6840991742049504,-1.2276970489400518,,-1.5167335429236897,,0.6840991742049504,1.2276970489400518,,1.5167335429236897,,,1.7151150030055702,,,0.791365107909066,,,,,,,,,0.9558981115725012,0.8634864728675339
2006-07-14,,,-0.003870967749409,,0.0200000000000004,-0.0424806201622226,,-3.41,,-2.286922526297815,-1.4276655352963021,,-0.2826562694245564,,2.286922526297815,1.4276655352963021,,0.2826562694245564,,,0.8444290665817824,,,0.07316725306259562,,,,,,,,,1.8572940307970585,2.003367719267316
2006-07-17,,,-0.0014572538826649,,-0.0299999999999993,-0.0438759689962181,,2.74,,-2.538778909564262,-1.4614255587817617,,2.2045388326006483,,2.538778909564262,1.4614255587817617,,-2.2045388326006483,,,0.10463149286556946,,,0.03984735794976989,,,,,,,,,2.0001022341730117,2.183252303806037
2006-07-18,,,0.0051078320072235,,0.0,-0.0389922480677814,,0.4899999999999984,,-1.7972512677959749,-1.098077762138249,,1.1787073938542225,,1.7972512677959749,1.098077762138249,,-1.1787073938542225,,,0.2682516580151884,,,0.19887952098270686,,,,,,,,,1.447664514967112,1.5665240109289253
