model_id,sample_type,horizon_days,variable,focus_variable,coefficient,std_error_robust,t_robust,n,start_date,end_date,r2,adj_r2,rmse,robust_se
step1_bond_credit_main_effects,daily_hac,21,intercept,,0.04128779374166743,0.007235650141330873,5.706162257048163,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,r,,-0.005500237457268593,0.004856883640857714,-1.1324622667503856,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,d,,0.07144316127727325,0.012877321100450543,5.547983211723566,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,vh,,-0.006641703228695482,0.0032148968384563647,-2.065914883876803,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,vr,,0.0019198809991375788,0.0030387183320359063,0.6318061726541402,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,g63,,0.0003292908762663636,0.0032112944649478445,0.10254147661033997,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,g126,,-0.007809322316088219,0.004276521547080256,-1.826092124198448,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,cs,,0.022792812867654746,0.011215195151398828,2.0323153150671556,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,ce,,0.004622555884406911,0.004376990542021003,1.056103694999652,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,cg,,-0.005377902093987989,0.010964499091846906,-0.49048315376184803,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,hys,,-0.03597477243804486,0.006534493012357419,-5.505365507318281,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,hyr,,-0.008539918713591443,0.0038375733178145576,-2.2253434674323835,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
step1_bond_credit_main_effects,daily_hac,21,lqs,,0.0032415790026747255,0.0036706632769674258,0.8831044304757927,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
rate_only,daily_hac,21,intercept,,0.007317711930685124,0.0031122194127994533,2.35128407097198,2342,2016-12-20,2026-04-16,0.003677504151186395,0.0032517253068066188,0.04177704421114105,hac
rate_only,daily_hac,21,r,,0.002673029324461607,0.0034085087255680464,0.7842225265291443,2342,2016-12-20,2026-04-16,0.003677504151186395,0.0032517253068066188,0.04177704421114105,hac
step2_step3_interaction_with_main_controls,daily_hac,21,intercept,r_x_d,0.04075331762496899,0.007331291912048557,5.55881802469129,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r,r_x_d,-0.005500143341840006,0.0049075425843994646,-1.120753054558172,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,d,r_x_d,0.0711233390013182,0.013013534328096881,5.465336103794593,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,vh,r_x_d,-0.006417392602567776,0.0032978455715635194,-1.9459348424023595,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,vr,r_x_d,0.0019154241745153841,0.0030044426103463485,0.6375306247885282,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,g63,r_x_d,0.0005025762345375946,0.003157298765368884,0.15917918191656338,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,g126,r_x_d,-0.007933731034377261,0.00431479894630028,-1.8387255427463265,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,cs,r_x_d,0.02191517410322781,0.011260241985256245,1.946243618203121,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,ce,r_x_d,0.004750148059758395,0.004430314967891482,1.0721919534355662,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,cg,r_x_d,-0.00506059994724919,0.011015402756289186,-0.4594112497938278,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,hys,r_x_d,-0.03558986315646774,0.006442086283249451,-5.524586537905833,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,hyr,r_x_d,-0.008532611315744867,0.003870175177933762,-2.204709327989727,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,lqs,r_x_d,0.0030094006810594646,0.0036308946271210877,0.8288317316015306,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_d,r_x_d,0.0016547529957320702,0.0043540424938923565,0.38004980384396314,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step3_rate_residual_incremental,daily_hac,21,intercept,r_x_d,0.03199000213261581,0.007264471806488639,4.4036239639669725,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step3_rate_residual_incremental,daily_hac,21,d,r_x_d,0.06965090577023604,0.012951833245058483,5.377687038768042,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step3_rate_residual_incremental,daily_hac,21,vh,r_x_d,-0.006009551756368381,0.003309335579752387,-1.8159390643659146,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step3_rate_residual_incremental,daily_hac,21,vr,r_x_d,0.001620522139328249,0.002944265648891466,0.5503994314977609,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step3_rate_residual_incremental,daily_hac,21,g63,r_x_d,-0.0002703753577992041,0.003159848794624945,-0.08556591640053335,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step3_rate_residual_incremental,daily_hac,21,g126,r_x_d,-0.007502077915158157,0.004277758460426289,-1.7537404190910202,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step3_rate_residual_incremental,daily_hac,21,cs,r_x_d,0.01953647281061564,0.011240366187386953,1.7380637325266075,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
