date,Joint 2017-06-28,Joint 2018-01-02,Joint 2018-06-28,Joint 2019-01-02,Joint 2020-01-02,Joint 2021-01-04,Joint 2022-01-03,Joint 2018-07-30,Joint 2018-08-29,Joint 2018-09-28,Joint 2018-10-29
2022-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-04,1.0039816727822757,1.0039816727822757,1.0039816727822757,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0033413627200076,1.002849002736557,1.0039816727822755,1.0033413627200074
2022-01-05,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.9889831411546527,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.987684927022635,0.9866750763569928,0.9889831411546528,0.9876849270226351
2022-01-06,0.9897291666374429,0.9897291666374429,0.9897291666374429,0.9897291666374427,0.9897291666374428,0.9897291666374427,0.9897291666374427,0.9882958737740787,0.9871764813497645,0.9897291666374428,0.9882958737740787
2022-01-07,0.9890648879735793,0.9890648879735793,0.9890648879735793,0.9890648879735793,0.9890648879735793,0.9890648879735794,0.9890648879735792,0.9873277564948739,0.9859475593145908,0.9890648879735794,0.9873277564948739
2022-01-10,0.9892268468824555,0.9892268468824555,0.9892268468824555,0.9892268468824553,0.9892268468824553,0.9892268468824553,0.9892268468824552,0.987487313065511,0.9861067771041282,0.9892268468824553,0.9874873130655109
2022-01-11,0.9975630186913299,0.9975630186913299,0.9975630186913299,0.9975630186913297,0.9975630186913297,0.9975630186913299,0.9975630186913296,0.9959156616163826,0.9946241910656884,0.9975630186913298,0.9959156616163823
2022-01-12,0.9994319424389773,0.9994319424389773,0.9994319424389773,0.9994319424389772,0.999431942438977,0.9994319424389772,0.9994319424389772,0.9978312029391735,0.9965832489246245,0.9994319424389772,0.9978312029391734
2022-01-13,0.9907197842748556,0.9907197842748556,0.9907197842748556,0.9907197842748554,0.9907197842748553,0.9907197842748555,0.9907197842748554,0.9887541136957415,0.9871628960705466,0.9907197842748554,0.9887541136957413
2022-01-14,0.9919365034136792,0.9919365034136792,0.9919365034136792,0.9919365034136791,0.991936503413679,0.9919365034136791,0.991936503413679,0.9900427559560837,0.9885272076178575,0.9919365034136791,0.9900427559560835
2022-01-18,0.976784248169068,0.976784248169068,0.976784248169068,0.9767842481690678,0.9767842481690678,0.976784248169068,0.9767842481690677,0.9747626591419025,0.9731034884242767,0.9767842481690678,0.9747626591419027
2022-01-19,0.9665487369166457,0.9665487369166457,0.9665487369166457,0.9665487369166454,0.9665487369166457,0.9665487369166457,0.9665487369166456,0.964524057323953,0.9628562239344445,0.9665487369166457,0.964524057323953
2022-01-20,0.9544576959010992,0.9544576959010992,0.9544576959010992,0.954457695901099,0.9544576959010992,0.9544576959010993,0.9544576959010992,0.9524506570120795,0.9507964478227818,0.9544576959010993,0.9524506570120796
2022-01-21,0.9401940893711447,0.9401940893711447,0.9401940893711447,0.9401940893711446,0.9401940893711447,0.9401940893711447,0.9401940893711448,0.9381184042452153,0.9363503121823946,0.9401940893711449,0.9381184042452154
2022-01-24,0.9438653775875417,0.9438653775875417,0.9438653775875417,0.9438653775875415,0.9438653775875417,0.9438653775875417,0.9438653775875419,0.9417883856863433,0.9400451029786943,0.9438653775875419,0.9417883856863433
2022-01-25,0.9397548367598101,0.9397548367598101,0.9397548367598101,0.9397548367598099,0.93975483675981,0.9397548367598099,0.9397548367598101,0.9376032912244884,0.9355565302605536,0.9397548367598102,0.9376032912244884
2022-01-26,0.9364042376096999,0.9364042376096999,0.9364042376096999,0.9364042376096998,0.9364042376097,0.9364042376096997,0.9364042376096999,0.9342659868217834,0.9323244688545278,0.9364042376097002,0.9342659868217832
2022-01-27,0.9337008301043626,0.9337008301043626,0.9337008301043626,0.9337008301043623,0.9337008301043624,0.9337008301043624,0.9337008301043626,0.931564936839912,0.9295251564185626,0.9337008301043627,0.9315649368399119
2022-01-28,0.9504852304797993,0.9504852304797993,0.9504852304797993,0.9504852304797988,0.950485230479799,0.9504852304797989,0.9504852304797993,0.9483109419536612,0.9465667913874287,0.9504852304797993,0.9482671523270615
2022-01-31,0.9626415422051817,0.9626415422051817,0.9626415422051817,0.9626415422051817,0.9626415422051817,0.9626415422051817,0.9626415422051818,0.9604394454309435,0.9589490860144064,0.9626415422051818,0.960395095753189
2022-02-01,0.9710086494505293,0.9710086494505293,0.9710086494505293,0.9710086494505291,0.9710086494505292,0.9710086494505292,0.9710086494505293,0.9687874124469672,0.9672363672926234,0.9710086494505296,0.9687426772897855
2022-02-02,0.9784355093909983,0.9784355093909983,0.9784355093909983,0.9784355093909982,0.9784355093909982,0.9784355093909981,0.9784355093909983,0.9761972830268062,0.97463415860051,0.9784355093909984,0.9761522057081549
2022-02-03,0.9643875311970187,0.9643875311970187,0.9643875311970187,0.9643875311970186,0.9643875311970185,0.9643875311970185,0.9643875311970187,0.9621814403745722,0.960269260215289,0.9643875311970186,0.9621370102576865
2022-02-04,0.9649543756467127,0.9649543756467127,0.9649543756467127,0.9649543756467126,0.9649543756467126,0.9649543756467124,0.9649543756467127,0.9627469881356447,0.9610091386503402,0.9649543756467127,0.962702531903775
