requested_start_date,actual_start_date,start_group,display_name,method,config_id,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
2017-06-28,2018-06-28,annual,Joint Rolling,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,1981,2018-06-28,2026-05-15,3.1078102883961414,0.19689607800452302,0.19587133613766236,1.01610887579035,1.237444329642355,-0.33251474596433883,0.5921423948688264,3.0138578698265217,0.43909198934212457,4.107810288396141
2018-01-02,2018-06-28,annual,Joint Rolling,Joint Rolling start 2018-01-02,joint_rolling_start_20180102,1981,2018-06-28,2026-05-15,3.1078102883961414,0.19689607800452302,0.19587133613766236,1.01610887579035,1.237444329642355,-0.33251474596433883,0.5921423948688264,3.0138578698265217,0.43909198934212457,4.107810288396141
2018-06-28,2018-06-28,annual_block_phase_anchor,Joint Rolling,Joint Rolling start 2018-06-28,joint_rolling_start_20180628,1981,2018-06-28,2026-05-15,3.1078102883961414,0.19689607800452302,0.19587133613766236,1.01610887579035,1.237444329642355,-0.33251474596433883,0.5921423948688264,3.0138578698265217,0.43909198934212457,4.107810288396141
2018-07-30,2018-07-30,block_phase,Joint Rolling,Joint Rolling start 2018-07-30,joint_rolling_start_20180730,1960,2018-07-30,2026-05-15,2.935497101010668,0.19261412350520368,0.19648413508288348,0.9953182458776113,1.2085684526724485,-0.3325147459643386,0.5792649073249253,3.0180882549051167,0.43929151858814763,3.935497101010668
2018-08-29,2018-08-29,block_phase,Joint Rolling,Joint Rolling start 2018-08-29,joint_rolling_start_20180829,1938,2018-08-29,2026-05-15,2.594169268621878,0.1809867079435561,0.19711877413206214,0.9430165434245389,1.1350658473139201,-0.3325147459643384,0.5442967872557646,3.117423261952493,0.42434014051836483,3.594169268621878
2018-09-28,2018-09-28,block_phase,Joint Rolling,Joint Rolling start 2018-09-28,joint_rolling_start_20180928,1917,2018-09-28,2026-05-15,2.715659087259904,0.18832242141277677,0.19838100415255291,0.9694989641147744,1.1715648136914052,-0.33251474596433905,0.5663581050116004,3.01884219500066,0.4327367454439355,3.715659087259904
2018-10-29,2018-10-29,block_phase,Joint Rolling,Joint Rolling start 2018-10-29,joint_rolling_start_20181029,1896,2018-10-29,2026-05-15,3.1170444884241197,0.20693928232051406,0.19797152047823194,1.0496759678489886,1.2910815393614632,-0.33251474596433883,0.6223461811305886,3.0978930946547605,0.4374689033410853,4.11704448842412
2019-01-02,2019-01-02,annual,Joint Rolling,Joint Rolling start 2019-01-02,joint_rolling_start_20190102,1853,2019-01-02,2026-05-15,3.302071339038844,0.21948768477831004,0.1962598951135829,1.1098556802164776,1.3722862583048445,-0.3325147459643387,0.6600840637661509,3.0611183944591893,0.42969296483531294,4.302071339038844
2020-01-02,2020-01-02,annual,Joint Rolling,Joint Rolling start 2020-01-02,joint_rolling_start_20200102,1601,2020-01-02,2026-05-15,2.190301803773567,0.20033906028146653,0.20377360671972697,0.9986011811901754,1.2117600539040474,-0.3325147459643387,0.6024967695807161,3.2637461322550343,0.3999826170542558,3.190301803773567
2021-01-04,2021-01-04,annual,Joint Rolling,Joint Rolling start 2021-01-04,joint_rolling_start_20210104,1348,2021-01-04,2026-05-15,1.4967191735271355,0.18654914194173755,0.1651272759176113,1.118584757212454,1.57830592830411,-0.18686845266559104,0.998291253984829,3.1205678281828977,0.3806406708964719,2.4967191735271355
2022-01-03,2022-01-03,annual,Joint Rolling,Joint Rolling start 2022-01-03,joint_rolling_start_20220103,1096,2022-01-03,2026-05-15,0.8989650932451292,0.15888028874420246,0.17292935834424325,0.9391653257723519,1.2898462193993618,-0.18686845266559104,0.8502253134643621,3.128035145214961,0.39283719818133866,1.8989650932451292
