date,Joint 2017-06-28,Joint 2018-01-02,Joint 2018-06-28,Joint 2019-01-02,Joint 2020-01-02,Joint 2021-01-04,Joint 2022-01-03,Joint 2018-07-30,Joint 2018-08-29,Joint 2018-09-28,Joint 2018-10-29,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2022-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-04,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0039816727822755,1.0033413627200074,1.002849002736557,1.0039816727822755,1.0033413627200074,1.0001025974927973,0.9887009917734838,0.999665068766811
2022-01-05,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.9889831411546528,0.9876849270226351,0.9866750763569927,0.9889831411546528,0.9876849270226351,0.9805746481139685,0.9569137256366335,0.9804693223939399
2022-01-06,0.9897291666374427,0.9897291666374427,0.9897291666374427,0.9897291666374427,0.9897291666374427,0.9897291666374427,0.9897291666374427,0.9882958737740787,0.9871764813497645,0.9897291666374427,0.9882958737740787,0.9803059604727281,0.9540444197039342,0.9795482614993419
2022-01-07,0.9890648879735792,0.9890648879735792,0.9890648879735792,0.9890648879735792,0.9890648879735792,0.9890648879735792,0.9890648879735792,0.9873277564948738,0.9859475593145908,0.9890648879735792,0.9873277564948738,0.9769799303234918,0.9443382665036821,0.9756756190992297
2022-01-10,0.9892268468824552,0.9892268468824552,0.9892268468824552,0.9892268468824552,0.9892268468824552,0.9892268468824552,0.9892268468824552,0.9874873130655109,0.9861067771041281,0.9892268468824552,0.9874873130655109,0.9771707029473289,0.9445571423008662,0.9744614933750366
2022-01-11,0.9975630186913296,0.9975630186913296,0.9975630186913296,0.9975630186913296,0.9975630186913296,0.9975630186913296,0.9975630186913296,0.9959156616163825,0.9946241910656884,0.9975630186913296,0.9959156616163825,0.9866902189582453,0.9565633485073723,0.9833371710878281
2022-01-12,0.9994319424389772,0.9994319424389772,0.9994319424389772,0.9994319424389772,0.9994319424389772,0.9994319424389772,0.9994319424389772,0.9978312029391735,0.9965832489246245,0.9994319424389772,0.9978312029391735,0.9892346586764217,0.9604869819224241,0.9859956877615283
2022-01-13,0.9907197842748554,0.9907197842748554,0.9907197842748554,0.9907197842748554,0.9907197842748554,0.9907197842748554,0.9907197842748554,0.9887541136957414,0.9871628960705467,0.9907197842748554,0.9887541136957414,0.9751440826963781,0.9354872656703136,0.9724100395634332
2022-01-14,0.991936503413679,0.991936503413679,0.991936503413679,0.991936503413679,0.991936503413679,0.991936503413679,0.991936503413679,0.9900427559560834,0.9885272076178576,0.991936503413679,0.9900427559560834,0.9776482921520984,0.9404542620437001,0.9728077704053415
2022-01-18,0.9767842481690677,0.9767842481690677,0.9767842481690677,0.9767842481690677,0.9767842481690677,0.9767842481690677,0.9767842481690677,0.9747626591419024,0.9731034884242769,0.9767842481690677,0.9747626591419024,0.9597737675890573,0.9175678869359913,0.9555797450346671
2022-01-19,0.9665487369166456,0.9665487369166456,0.9665487369166456,0.9665487369166456,0.9665487369166456,0.9665487369166456,0.9665487369166456,0.9645240573239527,0.9628562239344447,0.9665487369166456,0.9645240573239527,0.949253688172032,0.9066234940092618,0.9456574072142767
2022-01-20,0.9544576959010992,0.9544576959010992,0.9544576959010992,0.9544576959010992,0.9544576959010992,0.9544576959010992,0.9544576959010992,0.9524506570120794,0.950796447822782,0.9544576959010992,0.9524506570120794,0.9372686028443915,0.8949504358485011,0.9351908061382903
2022-01-21,0.9401940893711448,0.9401940893711448,0.9401940893711448,0.9401940893711448,0.9401940893711448,0.9401940893711448,0.9401940893711448,0.9381184042452152,0.9363503121823947,0.9401940893711448,0.9381184042452152,0.9201527643374738,0.8732083536565372,0.9168323878506105
2022-01-24,0.9438653775875419,0.9438653775875419,0.9438653775875419,0.9438653775875419,0.9438653775875419,0.9438653775875419,0.9438653775875419,0.941788385686343,0.9400451029786943,0.9438653775875419,0.941788385686343,0.9243831982627788,0.8782936011161493,0.92072596345141
2022-01-25,0.9397548367598101,0.9397548367598101,0.9397548367598101,0.9397548367598101,0.9397548367598101,0.9397548367598101,0.9397548367598101,0.937603291224488,0.9355565302605536,0.9397548367598101,0.937603291224488,0.9140661582901521,0.8580242156737429,0.9094848338967325
2022-01-26,0.9364042376096999,0.9364042376096999,0.9364042376096999,0.9364042376096999,0.9364042376096999,0.9364042376096999,0.9364042376096999,0.9342659868217831,0.9323244688545277,0.9364042376096999,0.9342659868217831,0.9125722387464178,0.8594462103186595,0.9072031148620343
2022-01-27,0.9337008301043626,0.9337008301043626,0.9337008301043626,0.9337008301043626,0.9337008301043626,0.9337008301043626,0.9337008301043626,0.9315649368399117,0.9295251564185625,0.9337008301043626,0.9315649368399117,0.9079958651972687,0.8520557002496583,0.9027234095998256
2022-01-28,0.9504852304797993,0.9504852304797993,0.9504852304797993,0.9504852304797993,0.9504852304797993,0.9504852304797993,0.9504852304797993,0.9483109419536608,0.9465667913874286,0.9504852304797993,0.9482671523270612,0.9310948711273216,0.8841807428614661,0.9251428691048996
2022-01-31,0.9626415422051818,0.9626415422051818,0.9626415422051818,0.9626415422051818,0.9626415422051818,0.9626415422051818,0.9626415422051818,0.9604394454309434,0.9589490860144062,0.9626415422051818,0.9603950957531885,0.9487395127640594,0.9097989552379674,0.9418056980192903
2022-02-01,0.9710086494505293,0.9710086494505293,0.9710086494505293,0.9710086494505293,0.9710086494505293,0.9710086494505293,0.9710086494505293,0.9687874124469668,0.9672363672926232,0.9710086494505293,0.968742677289785,0.9559804872154367,0.9151838559255445,0.94816939147207
2022-02-02,0.9784355093909983,0.9784355093909983,0.9784355093909983,0.9784355093909983,0.9784355093909983,0.9784355093909983,0.9784355093909983,0.9761972830268061,0.9746341586005098,0.9784355093909983,0.9761522057081543,0.9633077712223843,0.9222070570279973,0.9573800004202694
2022-02-03,0.9643875311970187,0.9643875311970187,0.9643875311970187,0.9643875311970187,0.9643875311970187,0.9643875311970187,0.9643875311970187,0.9621814403745719,0.9602692602152889,0.9643875311970187,0.962137010257686,0.9417257978120307,0.8898691311447724,0.9348768081057889
2022-02-04,0.9649543756467127,0.9649543756467127,0.9649543756467127,0.9649543756467127,0.9649543756467127,0.9649543756467127,0.9649543756467127,0.9627469881356445,0.9610091386503401,0.9649543756467127,0.9627025319037746,0.9457797739802275,0.8989200400037856,0.9392727805585908
2022-02-07,0.9649693672819263,0.9649693672819263,0.9649693672819263,0.9649693672819263,0.9649693672819263,0.9649693672819263,0.9649693672819263,0.9627619454766477,0.9608884978769772,0.9649693672819263,0.962717488554101,0.9431682335917393,0.8925197831811232,0.9362583994487953
2022-02-08,0.97278256601336,0.97278256601336,0.97278256601336,0.97278256601336,0.97278256601336,0.97278256601336,0.97278256601336,0.9705572710756967,0.9687340133491985,0.97278256601336,0.970512454192738,0.9519342280273965,0.9024800228397819,0.9439618178409876
2022-02-09,0.9839487647019367,0.9839487647019367,0.9839487647019367,0.9839487647019367,0.9839487647019367,0.9839487647019367,0.9839487647019367,0.9816979264555395,0.9800708300953926,0.9839487647019367,0.9816525951367375,0.9665404038704483,0.9217420354411756,0.9577777312599585
2022-02-10,0.9684242525249686,0.9684242525249686,0.9684242525249686,0.9684242525249686,0.9684242525249686,0.9684242525249686,0.9684242525249686,0.9662089274750081,0.9644390712057684,0.9684242525249686,0.9661643113830918,0.9485973654259687,0.9006514669167968,0.9405706390921904
2022-02-11,0.9572453577657882,0.9572453577657882,0.9572453577657882,0.9572453577657882,0.9572453577657882,0.9572453577657882,0.9572453577657882,0.9550556050675386,0.9528559877107642,0.9572453577657882,0.955011503996384,0.930447944883591,0.8729901701792625,0.9220238219850098
2022-02-14,0.9498330975785352,0.9498330975785352,0.9498330975785352,0.9498330975785352,0.9498330975785352,0.9498330975785352,0.9498330975785352,0.947660300843157,0.9456915729804749,0.9498330975785352,0.9476165412608498,0.926277885702835,0.873378501733072,0.9190094408752144
2022-02-15,0.9622366608453529,0.9622366608453529,0.9622366608453529,0.9622366608453529,0.9622366608453529,0.9622366608453529,0.9622366608453529,0.9600354902600406,0.9583385757222381,0.9622366608453529,0.9599911592354989,0.942669122890003,0.8948533691852533,0.9338301479981899
