requested_start_date,actual_start_date,start_group,display_name,method,config_id,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
2017-06-28,2018-06-28,annual,Joint Rolling 2017-06-28,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,1096,2022-01-03,2026-05-15,0.9112871187876976,0.16060498023265035,0.17233454508695334,0.950442129037126,1.308531645131288,-0.1868684526655907,0.8594547551590209,3.2977754304595095,0.3919476230674888,1.9112871187876976
2018-01-02,2018-06-28,annual,Joint Rolling 2018-01-02,Joint Rolling start 2018-01-02,joint_rolling_start_20180102,1096,2022-01-03,2026-05-15,0.9112871187876976,0.16060498023265035,0.17233454508695334,0.950442129037126,1.308531645131288,-0.1868684526655907,0.8594547551590209,3.2977754304595095,0.3919476230674888,1.9112871187876976
2018-06-28,2018-06-28,annual_block_phase_anchor,Joint Rolling 2018-06-28,Joint Rolling start 2018-06-28,joint_rolling_start_20180628,1096,2022-01-03,2026-05-15,0.9112871187876976,0.16060498023265035,0.17233454508695334,0.950442129037126,1.308531645131288,-0.1868684526655907,0.8594547551590209,3.2977754304595095,0.3919476230674888,1.9112871187876976
2019-01-02,2019-01-02,annual,Joint Rolling 2019-01-02,Joint Rolling start 2019-01-02,joint_rolling_start_20190102,1096,2022-01-03,2026-05-15,0.8752835498254818,0.15554128159389347,0.17189340742281486,0.9269994717589908,1.269190166143648,-0.18688297933099074,0.8322923904076486,3.23453907780073,0.38419257326013795,1.8752835498254818
2020-01-02,2020-01-02,annual,Joint Rolling 2020-01-02,Joint Rolling start 2020-01-02,joint_rolling_start_20200102,1096,2022-01-03,2026-05-15,0.8752835498254818,0.15554128159389347,0.17189340742281486,0.9269994717589908,1.269190166143648,-0.18688297933099074,0.8322923904076486,3.23453907780073,0.38419257326013795,1.8752835498254818
2021-01-04,2021-01-04,annual,Joint Rolling 2021-01-04,Joint Rolling start 2021-01-04,joint_rolling_start_20210104,1096,2022-01-03,2026-05-15,0.8989650932451292,0.15888028874420246,0.17292935834424325,0.9391653257723519,1.2898462193993618,-0.18686845266559104,0.8502253134643621,3.128035145214961,0.39283719818133866,1.8989650932451292
2022-01-03,2022-01-03,annual,Joint Rolling 2022-01-03,Joint Rolling start 2022-01-03,joint_rolling_start_20220103,1096,2022-01-03,2026-05-15,0.8989650932451292,0.15888028874420246,0.17292935834424325,0.9391653257723519,1.2898462193993618,-0.18686845266559104,0.8502253134643621,3.128035145214961,0.39283719818133866,1.8989650932451292
2018-07-30,2018-07-30,block_phase,Joint Rolling 2018-07-30,Joint Rolling start 2018-07-30,joint_rolling_start_20180730,1096,2022-01-03,2026-05-15,0.9126730289807079,0.1607984273906029,0.17267724630917655,0.9498570399294396,1.3137716397587738,-0.18720952515874034,0.8589222543791898,3.2742729005172118,0.3996988484209019,1.912673028980708
2018-08-29,2018-08-29,block_phase,Joint Rolling 2018-08-29,Joint Rolling start 2018-08-29,joint_rolling_start_20180829,1096,2022-01-03,2026-05-15,0.8731468627333754,0.15523842289708867,0.1719058743343009,0.925408632374454,1.2708012617213458,-0.18916499713072543,0.820650888122863,3.3842897493565425,0.3917138591912105,1.8731468627333754
2018-09-28,2018-09-28,block_phase,Joint Rolling 2018-09-28,Joint Rolling start 2018-09-28,joint_rolling_start_20180928,1096,2022-01-03,2026-05-15,0.8767130988096405,0.15574376065331363,0.17184214628963518,0.9282476681401659,1.271079586866254,-0.187059075672255,0.8325913088878472,3.186396732289264,0.3847127298669611,1.8767130988096405
2018-10-29,2018-10-29,block_phase,Joint Rolling 2018-10-29,Joint Rolling start 2018-10-29,joint_rolling_start_20181029,1096,2022-01-03,2026-05-15,0.9105402139992456,0.16050068148722918,0.17271733124195904,0.9481912588563017,1.3105866597753182,-0.18783606764955774,0.854472112281824,3.2817099553781324,0.3996714347374933,1.9105402139992456
benchmark,2022-01-03,benchmark,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,1096,2022-01-03,2026-05-15,0.716626725917648,0.13229169107315308,0.18023831563740486,0.7794894902620099,1.0217669655156028,-0.2377622693909205,0.5564032149089377,0.0,0.5,1.716626725917648
benchmark,2022-01-03,benchmark,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,1096,2022-01-03,2026-05-15,0.8676191979560368,0.15445368337718812,0.23807471993790302,0.7222237421522808,0.9313453690268647,-0.33923625433193116,0.4552982807847549,0.0,1.0,1.8676191979560368
benchmark,2022-01-03,benchmark,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,1096,2022-01-03,2026-05-15,0.6505658825007821,0.12212095611892737,0.17677555422857796,0.740112249403653,0.9564240463571102,-0.2449633490418862,0.49852745970600665,0.0,,1.650565882500782
