date,method,config_id,cost_bps,g_weight,d_weight,daily_turnover,score,score_z,gross_return,net_return,requested_start_date,actual_start_date,start_group
2022-01-03,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.33843886198856604,0.6615611380114339,0.007976458109882234,-0.7124530197977408,-0.8633746211992238,0.00549109378331197,0.0054831173252020875,2017-06-28,2018-06-28,annual
2022-01-04,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.32906711187615817,0.6709328881238419,0.018743500224815746,-0.8585547392009316,-1.1214929164070988,0.004000416282500306,0.00398167278227549,2017-06-28,2018-06-28,annual
2022-01-05,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.3174115668912281,0.6825884331087719,0.023311089969860088,-0.778974504404426,-0.9794677322599747,-0.014915738131972745,-0.014939049221942604,2017-06-28,2018-06-28,annual
2022-01-06,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.3077201035919911,0.6922798964080089,0.01938292659847407,-0.8153603449509802,-1.043067208106345,0.0007737188214641758,0.0007543358948657018,2017-06-28,2018-06-28,annual
2022-01-07,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.29785668866033455,0.7021433113396655,0.01972682986331309,-0.7484956638378318,-0.923695581784974,-0.0006514453314263101,-0.0006711721612896232,2017-06-28,2018-06-28,annual
2022-01-10,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.2897728289954806,0.7102271710045194,0.01616771932970784,-0.7847756958270342,-0.9872106300889101,0.00017991724764211935,0.0001637495283124115,2017-06-28,2018-06-28,annual
2022-01-11,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.2813799271569145,0.7186200728430855,0.016785803677132227,-0.7760203550000588,-0.970853011698881,0.00844374250743603,0.008426956703758898,2017-06-28,2018-06-28,annual
2022-01-12,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.2735839583814101,0.7264160416185899,0.01559193755100885,-0.8584259509805596,-1.1159668163707255,0.0018890813438635977,0.001873489406312589,2017-06-28,2018-06-28,annual
2022-01-13,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.26475072376425945,0.7352492762357405,0.017666469234301263,-0.763201940090968,-0.9462521303896245,-0.008699443515124264,-0.008717109984358566,2017-06-28,2018-06-28,annual
2022-01-14,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.25806114751682663,0.7419388524831734,0.013379152494865654,-0.845631027926315,-1.0914501819549294,0.0012414954757336775,0.0012281163232388118,2017-06-28,2018-06-28,annual
2022-01-18,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.2502229194444295,0.7497770805555706,0.015676456144794293,-1.046668557799353,-1.4461403309030307,-0.015259752154926469,-0.015275428611071264,2017-06-28,2018-06-28,annual
2022-01-19,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.24033859744147373,0.7596614025585262,0.019768644005911495,-0.9913186228675775,-1.3463490076393436,-0.010459015459656907,-0.010478784103662818,2017-06-28,2018-06-28,annual
2022-01-20,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.2314919479160959,0.768508052083904,0.017693299050755673,-0.9312291646690369,-1.2384753325024682,-0.012491806277884786,-0.012509499576935541,2017-06-28,2018-06-28,annual
2022-01-21,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.22379184571356342,0.7762081542864365,0.015400204405064954,-0.7120166703006816,-0.8493736622211677,-0.014928799618394082,-0.014944199822799147,2017-06-28,2018-06-28,annual
2022-01-24,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.22033370055466886,0.7796662994453312,0.00691629031778912,-0.8800595203875615,-1.1460481810450214,0.0039117357929086,0.0039048195025908113,2017-06-28,2018-06-28,annual
2022-01-25,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.2139059983094676,0.7860940016905325,0.012855404490402511,-0.84448811839416,-1.081994836487518,-0.00434215212660266,-0.004355007531093062,2017-06-28,2018-06-28,annual
2022-01-26,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.20836225631874256,0.7916377436812574,0.011087483981450097,-0.9886544161762827,-1.335837441524032,-0.003554309595178671,-0.0035653970791601213,2017-06-28,2018-06-28,annual
2022-01-27,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.20117742306110672,0.7988225769388932,0.014369666515271662,-0.8552359320930576,-1.0984590820904896,-0.0028726393801740443,-0.002887009046689316,2017-06-28,2018-06-28,annual
2022-01-28,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.19611993093626012,0.8038800690637399,0.010114984249693204,-0.7632687292496373,-0.9348113388873429,0.017986323031061267,0.017976208046811572,2017-06-28,2018-06-28,annual
2022-01-31,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.1929932037842132,0.8070067962157867,0.006253454304093853,-0.8991765864144986,-1.174334529860848,0.012795838537331907,0.012789585083027813,2017-06-28,2018-06-28,annual
2022-02-01,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.18770212463584246,0.8122978753641575,0.010582158296741473,-0.9017033981869584,-1.1775961346026194,0.00870240240343225,0.008691820245135509,2017-06-28,2018-06-28,annual
2022-02-02,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.18264971576142036,0.8173502842385796,0.010104817748844197,-0.676626280199462,-0.7785155798547065,0.007658708097103496,0.007648603279354653,2017-06-28,2018-06-28,annual
2022-02-03,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.18222088342904408,0.8177791165709559,0.0008576646647525665,-0.6192858978924753,-0.6765416434359511,-0.01435673469492111,-0.014357592359585862,2017-06-28,2018-06-28,annual
2022-02-04,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.18337817672051435,0.8166218232794856,0.0023145865829405365,-0.7652190690755876,-0.9342947723953247,0.0005900912130501334,0.0005877766264671928,2017-06-28,2018-06-28,annual
2022-02-07,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.18089451830059888,0.8191054816994011,0.004967316839830926,-0.7121281782543162,-0.8396287379666068,2.0503424651652875e-05,1.5536107811821948e-05,2017-06-28,2018-06-28,annual
2022-02-08,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.17970948320290825,0.8202905167970918,0.0023700701953812686,-0.7311298485237518,-0.8726339643138348,0.00809920609043252,0.00809683602023714,2017-06-28,2018-06-28,annual
2022-02-09,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.17815626129804507,0.8218437387019549,0.003106443809726356,-0.7171236572391113,-0.8471916167815021,0.011481723638130877,0.011478617194321151,2017-06-28,2018-06-28,annual
2022-02-10,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.1770084618140943,0.8229915381859056,0.0022955989679015465,-0.9538999640417605,-1.2653745598401611,-0.015775469193156238,-0.01577776479212414,2017-06-28,2018-06-28,annual
2022-02-11,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.17184456220678254,0.8281554377932174,0.010327799214623512,-0.7910519357794191,-0.9760463289712418,-0.01153305799480452,-0.011543385794019144,2017-06-28,2018-06-28,annual
2022-02-14,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.1694686018147129,0.8305313981852871,0.004751920784139274,-0.9837720658390344,-1.31594741540407,-0.007738571279605506,-0.007743323200389645,2017-06-28,2018-06-28,annual
2022-02-15,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.16435085766827756,0.8356491423317225,0.010235488292870687,-0.9821828461294089,-1.3116052484345007,0.013068912110995246,0.013058676622702376,2017-06-28,2018-06-28,annual
2022-02-16,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.15951628922030772,0.8404837107796923,0.009669136895939678,-0.7462568744600814,-0.8931901304252065,0.0020883993314484155,0.0020787301945524757,2017-06-28,2018-06-28,annual
2022-02-17,Joint Rolling start 2017-06-28,joint_rolling_start_20170628,10,0.1587163291439393,0.8412836708560607,0.0015999201527368556,-0.7372030774087798,-0.8764962148596165,-0.01570314715383643,-0.015704747073989167,2017-06-28,2018-06-28,annual
