code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.QQQ,Invesco QQQ Trust,2006-05-22 00:00:00,32.754773666,32.71186367,32.943577651,32.411493694,0.0,0.42755,169606643,0.0,-0.9870941762296801,33.037979643
US.QQQ,Invesco QQQ Trust,2006-05-23 00:00:00,32.96074165,32.385747696,33.063811461,32.368583697,0.0,0.3596,142649419,0.0,-0.9969348652521968,32.71186367
US.QQQ,Invesco QQQ Trust,2006-05-24 00:00:00,32.3342557,32.608879678,32.771937665,32.076795721,0.0,0.59239,234998203,0.0,0.6889820302884575,32.385747696
US.QQQ,Invesco QQQ Trust,2006-05-25 00:00:00,32.806265662,33.046561643,33.063725641,32.58313368,0.0,0.3114,123529903,0.0,1.3422171179198275,32.608879678
US.QQQ,Invesco QQQ Trust,2006-05-26 00:00:00,33.123799636,33.158127634,33.235365627,32.934995652,0.0,0.23023,91329329,0.0,0.3376024174776391,33.046561643
US.QQQ,Invesco QQQ Trust,2006-05-30 00:00:00,33.003651646,32.428657692,33.020815645,32.402911694,0.0,0.26623,105610216,0.0,-2.199973261614478,33.158127634
US.QQQ,Invesco QQQ Trust,2006-05-31 00:00:00,32.497313687,32.58313368,32.789101663,32.342837699,0.0,0.34562,137104477,0.0,0.47635640508829946,32.428657692
US.QQQ,Invesco QQQ Trust,2006-06-01 00:00:00,32.660371674,33.372677616,33.372677616,32.600297679,0.0,0.30109,119438755,0.0,2.4231675926389715,32.58313368
US.QQQ,Invesco QQQ Trust,2006-06-02 00:00:00,33.570063601,33.288574023,33.595809599,33.003651646,0.0,0.32485,128865492,0.0,-0.25201332050045805,33.372677616
US.QQQ,Invesco QQQ Trust,2006-06-05 00:00:00,33.20961963,32.548805683,33.218201629,32.548805683,0.0,0.2604,103300548,0.0,-2.2222890637756914,33.288574023
US.QQQ,Invesco QQQ Trust,2006-06-06 00:00:00,32.608879678,32.523059685,32.694699671,32.179779712,0.0,0.32091,127304218,0.0,-0.0790996703557846,32.548805683
US.QQQ,Invesco QQQ Trust,2006-06-07 00:00:00,32.565969681,32.274181705,32.883503656,32.265599705,0.0,0.3299,130867576,0.0,-0.7652354434376557,32.523059685
US.QQQ,Invesco QQQ Trust,2006-06-08 00:00:00,32.111123718,32.222689709,32.360001698,31.441727772,0.0,0.70725,280562157,0.0,-0.15954547343958994,32.274181705
US.QQQ,Invesco QQQ Trust,2006-06-09 00:00:00,32.342837699,32.008139726,32.514477685,31.973811729,0.0,0.36337,144146189,0.0,-0.6658351147516793,32.222689709
US.QQQ,Invesco QQQ Trust,2006-06-12 00:00:00,32.051049723,31.364489778,32.102541719,31.355907779,0.0,0.36712,145634471,0.0,-2.010894583408642,32.008139726
US.QQQ,Invesco QQQ Trust,2006-06-13 00:00:00,31.471764769,31.235759788,31.70776975,31.158521794,0.0,0.52216,207140244,0.0,-0.4104322783860338,31.364489778
US.QQQ,Invesco QQQ Trust,2006-06-14 00:00:00,31.330161781,31.561875762,31.630531757,31.192849792,0.0,0.50892,201888252,0.0,1.0440468751628895,31.235759788
US.QQQ,Invesco QQQ Trust,2006-06-15 00:00:00,31.742097748,32.437239692,32.557387682,31.70776975,0.0,0.506,200727654,0.0,2.7734851268058134,31.561875762
US.QQQ,Invesco QQQ Trust,2006-06-16 00:00:00,32.373433021,32.193091118,32.485073246,32.072863183,0.0,0.30254,120017376,0.0,-0.7526798714016805,32.437239692
US.QQQ,Invesco QQQ Trust,2006-06-19 00:00:00,32.330494473,31.926872119,32.364845311,31.823819604,0.0,0.32636,129464799,0.0,-0.8269445081374912,32.193091118
US.QQQ,Invesco QQQ Trust,2006-06-20 00:00:00,31.978398377,31.969810668,32.313319053,31.849582733,0.0,0.25937,102888558,0.0,0.1344903091037506,31.926872119
US.QQQ,Invesco QQQ Trust,2006-06-21 00:00:00,32.021336925,32.485073246,32.751292245,32.012749216,0.0,0.32662,129566304,0.0,1.611716075990863,31.969810668
US.QQQ,Invesco QQQ Trust,2006-06-22 00:00:00,32.416371569,32.064275474,32.485073246,31.892521281,0.0,0.36257,143831509,0.0,-1.295357313229437,32.485073246
US.QQQ,Invesco QQQ Trust,2006-06-23 00:00:00,32.038512345,32.029924635,32.356257601,31.840995023,0.0,0.22196,88050200,0.0,-0.1071311872549634,32.064275474
US.QQQ,Invesco QQQ Trust,2006-06-26 00:00:00,32.047100054,32.115801732,32.236029666,31.961222958,0.0,0.16425,65157609,0.0,0.26811520157671737,32.029924635
US.QQQ,Invesco QQQ Trust,2006-06-27 00:00:00,32.14156486,31.497486637,32.184503409,31.463135799,0.0,0.32324,128227495,0.0,-1.9252675058829816,32.115801732
US.QQQ,Invesco QQQ Trust,2006-06-28 00:00:00,31.587657589,31.737942507,31.763705636,31.368670993,0.0,0.23086,91578394,0.0,0.7634128804345149,31.497486637
US.QQQ,Invesco QQQ Trust,2006-06-29 00:00:00,31.866758152,32.725529116,32.725529116,31.815231894,0.0,0.45988,182431073,0.0,3.111690711463665,31.737942507
US.QQQ,Invesco QQQ Trust,2006-06-30 00:00:00,32.86293247,32.562362633,32.880107889,32.485073246,0.0,0.20853,82721238,0.0,-0.4985908170396035,32.725529116
US.QQQ,Invesco QQQ Trust,2006-07-03 00:00:00,32.656827439,32.759879955,32.759879955,32.596713471,0.0,0.05445,21598542,0.0,0.6065816667732552,32.562362633
US.QQQ,Invesco QQQ Trust,2006-07-05 00:00:00,32.450722407,32.029924635,32.485073246,31.978398377,0.0,0.23628,93732118,0.0,-2.2281990074526874,32.759879955
US.QQQ,Invesco QQQ Trust,2006-07-06 00:00:00,32.124389441,31.995573797,32.313319053,31.9096967,0.0,0.17806,70634553,0.0,-0.10724607813302683,32.029924635
US.QQQ,Invesco QQQ Trust,2006-07-07 00:00:00,31.806644184,31.634889992,32.047100054,31.531837476,0.0,0.27243,108071595,0.0,-1.1272928164639322,31.995573797
US.QQQ,Invesco QQQ Trust,2006-07-10 00:00:00,31.720767088,31.351495574,31.840995023,31.18832909,0.0,0.26501,105125940,0.0,-0.895828681786681,31.634889992
US.QQQ,Invesco QQQ Trust,2006-07-11 00:00:00,31.282793896,31.591951443,31.67782854,31.111039704,0.0,0.34314,136121590,0.0,0.7669677780839573,31.351495574
US.QQQ,Invesco QQQ Trust,2006-07-12 00:00:00,31.523249766,30.982224059,31.591951443,30.904934672,0.0,0.38936,154458865,0.0,-1.9300086134283416,31.591951443
US.QQQ,Invesco QQQ Trust,2006-07-13 00:00:00,30.750355899,30.449786061,31.076688865,30.449786061,0.0,0.44807,177745415,0.0,-1.7185273626130513,30.982224059
US.QQQ,Invesco QQQ Trust,2006-07-14 00:00:00,30.449786061,30.132040805,30.509900029,30.00322516,0.0,0.43471,172448477,0.0,-1.043505709246901,30.449786061
US.QQQ,Invesco QQQ Trust,2006-07-17 00:00:00,30.144922369,30.209330191,30.398259804,30.071926837,0.0,0.33869,134358093,0.0,0.25650232753957786,30.132040805
US.QQQ,Invesco QQQ Trust,2006-07-18 00:00:00,30.372496675,30.312382707,30.466961481,29.788532419,0.0,0.5225,207274677,0.0,0.3411281062785804,30.209330191
US.QQQ,Invesco QQQ Trust,2006-07-19 00:00:00,30.269444159,30.71600506,30.896346963,30.260856449,0.0,0.48656,193014681,0.0,1.331542811732815,30.312382707
US.QQQ,Invesco QQQ Trust,2006-07-20 00:00:00,30.823351431,30.25226874,30.870583834,30.217917901,0.0,0.38404,152346656,0.0,-1.509754667295262,30.71600506
US.QQQ,Invesco QQQ Trust,2006-07-21 00:00:00,30.080514547,29.925935773,30.149216224,29.857234096,0.0,0.30094,119379886,0.0,-1.078705765192811,30.25226874
US.QQQ,Invesco QQQ Trust,2006-07-24 00:00:00,30.054751418,30.535663158,30.552924454,30.01181287,0.0,0.32847,130301523,0.0,2.0374547002473755,29.925935773
US.QQQ,Invesco QQQ Trust,2006-07-25 00:00:00,30.587189416,30.71600506,30.819057576,30.389672094,0.0,0.27444,108869562,0.0,0.5905943521411768,30.535663158
US.QQQ,Invesco QQQ Trust,2006-07-26 00:00:00,30.612952545,30.690241931,30.930697801,30.381084384,0.0,0.27022,107193127,0.0,-0.0838752596559226,30.71600506
US.QQQ,Invesco QQQ Trust,2006-07-27 00:00:00,30.810469866,30.4841369,31.076688865,30.398259804,0.0,0.25135,99707252,0.0,-0.6715653511737705,30.690241931
US.QQQ,Invesco QQQ Trust,2006-07-28 00:00:00,30.660184948,31.136802833,31.162565961,30.612952545,0.0,0.23588,93570326,0.0,2.1410018434866744,30.4841369
US.QQQ,Invesco QQQ Trust,2006-07-31 00:00:00,31.111039704,31.128215123,31.317144735,30.94787322,0.0,0.19687,78096497,0.0,-0.027580577383169474,31.136802833
US.QQQ,Invesco QQQ Trust,2006-08-01 00:00:00,30.861996124,30.595777125,30.870583834,30.406847513,0.0,0.24849,98573511,0.0,-1.7104674839084861,31.128215123
US.QQQ,Invesco QQQ Trust,2006-08-02 00:00:00,30.707417351,30.94787322,31.153978252,30.707417351,0.0,0.22032,87398979,0.0,1.1507996465051393,30.595777125
