code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-02-26 00:00:00,20.324100681,20.27530332,20.348499361,20.259037534,0.0,0.00116,9498,0.0,-0.24009604048862107,20.324100681
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-02-27 00:00:00,20.340366468,20.348499361,20.364765148,20.340366468,0.0,0.00019,1510,0.0,0.3610108309837074,20.27530332
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-02 00:00:00,20.364765148,20.364765148,20.364765148,20.364765148,0.0,8e-05,600,0.0,0.07993605185047144,20.348499361
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-05 00:00:00,20.283436214,20.299702001,20.299702001,20.27530332,0.0,0.0001,748,0.0,-0.3194888157420751,20.364765148
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-11 00:00:00,19.790582872,19.790582872,19.790582872,19.790582872,0.0,3e-05,175,0.0,-2.508012821936589,20.299702001
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-12 00:00:00,20.071980985,20.071980985,20.071980985,20.071980985,0.0,4e-05,250,0.0,1.4218788543015786,19.790582872
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-16 00:00:00,20.282622925,20.283436214,20.283436214,20.282622925,0.0,0.00336,27549,0.0,1.053484602033176,20.071980985
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-17 00:00:00,20.169575706,20.169575706,20.169575706,20.169575706,0.0,0.00102,8315,0.0,-0.5613472332730944,20.283436214
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-20 00:00:00,20.608751951,20.608751951,20.608751951,20.608751951,0.0,5e-05,400,0.0,2.177419353791134,20.169575706
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-23 00:00:00,20.690080885,20.608751951,20.698213779,20.608751951,0.0,0.00048,3881,0.0,0.0,20.608751951
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-24 00:00:00,20.917801901,20.738878246,20.917801901,20.625017738,0.0,0.00128,10460,0.0,0.6314127867101921,20.608751951
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-27 00:00:00,20.088246772,20.088246772,20.088246772,20.088246772,0.0,2e-05,100,0.0,-3.137254900107663,20.738878246
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-30 00:00:00,20.446094083,20.462359869,20.462359869,20.446094083,0.0,0.00069,5580,0.0,1.8623481742640482,20.088246772
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-03-31 00:00:00,20.372084752,20.372084752,20.372898042,20.372084752,0.0,0.00049,4009,0.0,-0.44117647025046025,20.462359869
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-01 00:00:00,20.161442812,20.161442812,20.161442812,20.142737158,0.0,9e-05,700,0.0,-1.0339734129533265,20.372084752
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-02 00:00:00,20.22650596,20.22650596,20.22650596,20.22650596,0.0,2e-05,100,0.0,0.32271077326507025,20.161442812
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-07 00:00:00,20.340366468,20.364765148,20.364765148,20.340366468,0.0,0.00836,68484,0.0,0.6835544817944387,20.22650596
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-08 00:00:00,20.291569107,20.307834894,20.307834894,20.25090464,0.0,0.00022,1800,0.0,-0.27955271561573597,20.364765148
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-09 00:00:00,20.755144033,20.755144033,20.755144033,20.291569107,0.0,7e-05,500,0.0,2.2026431736066563,20.307834894
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-10 00:00:00,20.470492763,20.470492763,20.470492763,20.470492763,0.0,3e-05,200,0.0,-1.371473354014865,20.755144033
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-14 00:00:00,20.356632255,20.372898042,20.372898042,20.356632255,0.0,5e-05,350,0.0,-0.47675804451762194,20.470492763
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-20 00:00:00,20.364765148,20.364765148,20.364765148,20.364765148,0.0,3e-05,200,0.0,-0.03992016247876321,20.372898042
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-04-29 00:00:00,20.25090464,20.25090464,20.25090464,20.25090464,0.0,8e-05,600,0.0,-0.5591054312314545,20.364765148
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-01 00:00:00,20.177708599,20.177708599,20.177708599,20.177708599,0.0,7e-05,500,0.0,-0.3614457837869842,20.25090464
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-04 00:00:00,20.323287392,20.323287392,20.340366468,20.323287392,0.0,0.00018,1400,0.0,0.7214832758919759,20.177708599
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-05 00:00:00,20.145177026,20.128911239,20.169575706,20.128911239,0.0,0.009,73733,0.0,-0.9564208252869266,20.323287392
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-06 00:00:00,19.99065205,19.99065205,19.99065205,19.99065205,0.0,0.00051,4170,0.0,-0.6868686903051197,20.128911239
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-08 00:00:00,20.364765148,20.389163829,20.389163829,20.364765148,0.0,0.00032,2592,0.0,1.993490647544934,19.99065205
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-13 00:00:00,20.381030935,20.27530332,20.381030935,20.267170427,0.0,0.00181,14780,0.0,-0.558436382947963,20.389163829
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-19 00:00:00,20.51115723,20.51115723,20.520103413,20.51115723,0.0,0.00018,1430,0.0,1.1632571226066346,20.27530332
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-20 00:00:00,20.551821697,20.551821697,20.551821697,20.551821697,0.0,2e-05,100,0.0,0.19825535216767826,20.51115723
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-21 00:00:00,20.559141301,20.559141301,20.559954591,20.559141301,0.0,0.00034,2750,0.0,0.03561535375264404,20.551821697
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-22 00:00:00,20.53555591,20.53555591,20.53555591,20.53555591,0.0,0.0001,750,0.0,-0.11471972809902237,20.559141301
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-05-26 00:00:00,20.291569107,20.27530332,20.299702001,20.27530332,0.0,0.00252,20660,0.0,-1.267326733888259,20.53555591
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-01 00:00:00,20.470492763,20.462359869,20.527423017,20.413562509,0.0,0.0001,800,0.0,0.9225832336401325,20.27530332
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-02 00:00:00,20.421695402,20.405429615,20.429828296,20.356632255,0.0,0.00037,3000,0.0,-0.2782193958295542,20.462359869
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-08 00:00:00,20.145177026,20.137044132,20.145177026,20.137044132,0.0,4e-05,300,0.0,-1.3152650449599437,20.405429615
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-19 00:00:00,20.584353271,20.584353271,20.584353271,20.584353271,0.0,2e-05,100,0.0,2.2213247190990537,20.137044132
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-23 00:00:00,20.738878246,20.559954591,20.738878246,20.559954591,0.0,4e-05,300,0.0,-0.1185302238004954,20.584353271
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-29 00:00:00,20.196419063,20.024708618,20.196419063,20.024708618,0.0,0.00026,2104,0.0,-2.603342194317408,20.559954591
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-06-30 00:00:00,20.041061993,20.041061993,20.041061993,20.041061993,0.0,5e-05,400,0.0,0.08166598232196727,20.024708618
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-07-08 00:00:00,20.000178554,20.000178554,20.000178554,20.000178554,0.0,2e-05,150,0.0,-0.2039983660261019,20.041061993
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-07-14 00:00:00,20.384482884,20.384482884,20.384482884,20.384482884,0.0,0.00022,1800,0.0,1.921504495384312,20.000178554
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-05 00:00:00,20.368129509,20.409012948,20.409012948,20.368129509,0.0,0.12518,1026409,0.0,0.12033694521264633,20.384482884
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-06 00:00:00,20.237302503,20.155535624,20.237302503,20.147358936,0.0,0.01578,129320,0.0,-1.2419871781444574,20.409012948
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-18 00:00:00,19.836644796,20.490779827,20.490779827,19.836644796,0.0,0.00016,1300,0.0,1.6632860036763966,20.155535624
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-19 00:00:00,20.278185942,20.278185942,20.278185942,20.278185942,0.0,2e-05,100,0.0,-1.0375099766572706,20.490779827
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-21 00:00:00,19.624050912,19.624050912,19.624050912,19.624050912,0.0,2e-05,100,0.0,-3.225806449703966,20.278185942
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-24 00:00:00,18.39754773,18.863618939,18.863618939,18.39754773,0.0,0.00026,2100,0.0,-3.8750000008153402,19.624050912
US.ROUS,Hartford Multifactor U.S. Equity ETF,2015-08-25 00:00:00,18.561081487,18.561081487,18.561081487,18.561081487,0.0,8e-05,600,0.0,-1.6038144800227683,18.863618939
