code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.ARKK,ARK Innovation ETF,2014-11-03 00:00:00,19.500216842,19.433598239,19.500216842,19.366979635,0.0,7e-05,2270,0.0,-0.3416300625771369,19.500216842
US.ARKK,ARK Innovation ETF,2014-11-04 00:00:00,19.224225486,19.243259372,19.290844089,19.224225486,0.0,0.00023,7893,0.0,-0.9794319335984794,19.433598239
US.ARKK,ARK Innovation ETF,2014-11-05 00:00:00,19.519250728,19.03388662,19.519250728,19.03388662,0.0,0.00042,14913,0.0,-1.0880316476150034,19.243259372
US.ARKK,ARK Innovation ETF,2014-11-06 00:00:00,19.119539109,19.167123826,19.167123826,19.100505223,0.0,6e-05,2000,0.0,0.6999999982137145,19.03388662
US.ARKK,ARK Innovation ETF,2014-11-07 00:00:00,19.176640769,19.148089939,19.176640769,19.110022166,0.0,5e-05,1450,0.0,-0.09930486792276767,19.167123826
US.ARKK,ARK Innovation ETF,2014-11-10 00:00:00,19.186157712,19.319394919,19.319394919,19.186157712,0.0,0.00011,3870,0.0,0.8946322089865246,19.148089939
US.ARKK,ARK Innovation ETF,2014-11-11 00:00:00,19.690555708,19.309877975,19.690555708,19.255631399,0.0,9e-05,2850,0.0,-0.04926108731615477,19.319394919
US.ARKK,ARK Innovation ETF,2014-11-12 00:00:00,19.281327146,19.281327146,19.376496579,19.262293259,0.0,7e-05,2300,0.0,-0.1478560819336316,19.309877975
US.ARKK,ARK Innovation ETF,2014-11-13 00:00:00,19.414564352,19.357462692,19.433598239,19.319394919,0.0,0.00034,11867,0.0,0.39486672998956085,19.281327146
US.ARKK,ARK Innovation ETF,2014-11-14 00:00:00,19.433598239,19.452632125,19.452632125,19.433598239,0.0,4e-05,1314,0.0,0.49164208405956905,19.357462692
US.ARKK,ARK Innovation ETF,2014-11-17 00:00:00,19.595386275,19.424081295,19.595386275,19.376496579,0.0,0.0001,3414,0.0,-0.14677103754667525,19.452632125
US.ARKK,ARK Innovation ETF,2014-11-18 00:00:00,19.604903218,19.604903218,19.604903218,19.604903218,0.0,3e-05,1000,0.0,0.9309162181407555,19.424081295
US.ARKK,ARK Innovation ETF,2014-11-19 00:00:00,19.309877975,19.309877975,19.309877975,19.309877975,0.0,3e-05,1060,0.0,-1.5048543709673992,19.604903218
US.ARKK,ARK Innovation ETF,2014-11-20 00:00:00,19.148089939,19.148089939,19.300361032,19.129056053,0.0,4e-05,1250,0.0,-0.8378511568507249,19.309877975
