code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-09-23 00:00:00,47.387491195,47.544585296,47.627671032,47.387491195,0.0,0.0,30111,1547430.0,0.33150963901750913,47.387491195
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-09-24 00:00:00,47.572743672,47.561535897,47.60062417,47.507256921,0.0,0.0,8406,431386.0,0.035652011463488086,47.544585296
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-09-27 00:00:00,47.864608951,47.760311806,47.864608951,47.760311806,0.0,0.0,1045,53964.0,0.41793416728692384,47.561535897
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-09-28 00:00:00,47.554311051,46.946312419,47.554311051,46.91055869,0.0,0.0,13544,688488.0,-1.7043426984028505,47.760311806
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-09-29 00:00:00,47.026341489,46.957334941,47.207611039,46.915190002,0.0,0.0,5506,279940.0,0.02347899426395954,46.946312419
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-09-30 00:00:00,46.915190002,46.257543706,46.915190002,46.252912394,0.0,0.0,38234,1918735.0,-1.490270339829249,46.957334941
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-01 00:00:00,46.209100183,46.621009068,46.850351635,45.961139742,0.0,0.0,12211,610952.0,0.7857428926838044,46.257543706
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-04 00:00:00,46.702149653,46.247632699,46.729937525,46.201875337,0.0,0.0,12993,649450.0,-0.800875777818115,46.621009068
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-05 00:00:00,46.748462772,46.738459139,47.035604113,46.64657391,0.0,0.0,9839,497962.0,1.0613006793115538,46.247632699
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-06 00:00:00,46.553947671,46.586552107,46.586552107,46.072105976,0.0,0.0,20528,1026122.0,-0.32501506211025477,46.738459139
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-07 00:00:00,47.387583821,47.060150066,47.387583821,47.060150066,0.0,0.0,4781,243722.0,1.0165980043172884,46.586552107
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-08 00:00:00,47.118967728,47.137492976,47.285694958,47.118967728,0.0,0.0,12491,636465.0,0.1643490509306246,47.060150066
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-11 00:00:00,47.424634316,46.776250644,47.43389694,46.776250644,0.0,0.0,16745,853231.0,-0.7663588137449786,47.137492976
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-12 00:00:00,46.905927378,46.675288044,46.915190002,46.675288044,0.0,0.0,16538,835075.0,-0.21584158330345582,46.776250644
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-13 00:00:00,46.424270936,46.747443884,46.831826387,46.415008312,0.0,0.0,36461,1840064.0,0.1545910973960794,46.675288044
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-14 00:00:00,47.160649535,47.511888233,47.511888233,47.160649535,0.0,0.0,12168,623219.0,1.635264488250755,46.747443884
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-15 00:00:00,48.128593732,47.913793484,48.128593732,47.795139272,0.0,0.0,21097,1093268.0,0.8459046060831019,47.511888233
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-18 00:00:00,47.795139272,48.148045242,48.165644228,47.795139272,0.0,0.0,38780,2015144.0,0.4889025496973509,47.913793484
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-19 00:00:00,48.174906851,48.465475363,48.531517871,48.174906851,0.0,0.0,4188,219015.0,0.6592793526809758,48.148045242
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-20 00:00:00,48.582462303,48.860341019,48.915916763,48.582462303,0.0,0.0,9295,490225.0,0.8147359600674682,48.465475363
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-21 00:00:00,48.749189533,48.915916763,48.915916763,48.749189533,0.0,0.0,9163,483417.0,0.11374407718190858,48.860341019
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-22 00:00:00,49.10116924,49.002614922,49.10116924,48.98001412,0.0,0.0,12545,663724.0,0.17723915800261436,48.915916763
US.AVLV,AVANTIS U.S. LARGE CAP VALUE ETF,2021-10-25 00:00:00,49.351260085,49.295962221,49.351260085,49.283272426,0.0,0.0,4520,240691.0,0.598636010480135,49.002614922
