code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-10-30 00:00:00,45.106628906,44.634892057,45.106628906,44.491686228,0.0,0.0004,48729,0.0,-1.0458259915257069,45.106628906
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-10-31 00:00:00,44.407447505,44.474838484,44.677011419,44.407447505,0.0,0.00023,27824,0.0,-0.3585839813292393,44.634892057
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-01 00:00:00,44.946575332,44.508533973,44.946575332,44.281089421,0.0,0.00012,14695,0.0,0.07576303849224307,44.474838484
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-04 00:00:00,45.039237927,44.710706908,45.039237927,44.525381717,0.0,0.00037,45232,0.0,0.4542340916522735,44.508533973
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-05 00:00:00,44.702283036,44.702283036,44.769674014,44.415871378,0.0,0.00045,54322,0.0,-0.018840838319410115,44.710706908
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-06 00:00:00,45.182443756,44.929727587,45.182443756,44.744402397,0.0,0.0004,49205,0.0,0.5087985121852445,44.702283036
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-07 00:00:00,44.997118566,44.348480399,44.997118566,44.272665549,0.0,0.00012,14312,0.0,-1.293680641340406,44.929727587
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-08 00:00:00,44.516957845,44.735978525,44.735978525,44.474838484,0.0,0.00025,30568,0.0,0.8737573926179768,44.348480399
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-11 00:00:00,44.946575332,44.887608226,44.946575332,44.778097886,0.0,0.00036,43467,0.0,0.33894352152208207,44.735978525
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-12 00:00:00,45.005542438,44.912879843,45.005542438,44.735978525,0.0,0.00042,50724,0.0,0.05629976289394591,44.887608226
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-13 00:00:00,44.837064992,45.334073457,45.334073457,44.837064992,0.0,0.00033,39428,0.0,0.9378013956627845,44.912879843
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-14 00:00:00,45.468855414,45.612061243,45.612061243,45.468855414,0.0,0.00018,21242,0.0,0.6131983402366706,45.334073457
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-15 00:00:00,45.906896773,45.82265805,45.906896773,45.586789626,0.0,0.00027,32657,0.0,0.4617129795517006,45.612061243
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-18 00:00:00,45.864777412,45.544670265,45.915320645,45.52782252,0.0,0.00027,32208,0.0,-0.60666010403995,45.82265805
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-19 00:00:00,45.696299966,45.603637371,45.738419327,45.519398648,0.0,0.00022,27028,0.0,0.12947092526282275,45.544670265
US.QUAL,iShares MSCI USA Quality Factor ETF,2013-11-20 00:00:00,45.628908987,45.443583797,45.696299966,45.325649585,0.0,0.00026,31505,0.0,-0.35096668429737116,45.603637371
