date,QQQ,XLK,VGT,SPYG,VUG,SCHD,VYM,VTV,FDVV,COWZ,mkt_rf,smb,hml,rmw,cma,mom,rf,g_return,d_return,gd_return,g_excess,d_excess,gd_excess,QQQ_excess,XLK_excess,VGT_excess,SPYG_excess,VUG_excess,SCHD_excess,VYM_excess,VTV_excess,FDVV_excess,COWZ_excess
2016-12-21,-0.0007514347290945578,-0.002238957876312342,-0.002907211533328291,-0.002433317742622232,-0.0018511988945432156,-0.00229646987245391,-0.0023586862680455845,-0.0017943846312367118,-0.0018875046902798731,-0.0023837902130976474,-0.0024,-0.0034999999999999,0.002,0.0014,0.0007,0.0034,0.0,-0.0020364241551801276,-0.0021441671350227454,0.00010774297984261771,-0.0020364241551801276,-0.0021441671350227454,0.00010774297984261771,-0.0007514347290945578,-0.002238957876312342,-0.002907211533328291,-0.002433317742622232,-0.0018511988945432156,-0.00229646987245391,-0.0023586862680455845,-0.0017943846312367118,-0.0018875046902798731,-0.0023837902130976474
2016-12-22,-0.0028408881413167775,-0.0020399836846742847,-0.0038065926392845117,-0.0033774275045932445,-0.0032120135507170966,-0.0009207023328121622,-0.0004372351987613765,-0.0005858853083851034,-0.0022692889530554483,-0.012345678999245657,-0.003,-0.0077,0.0025,-0.0021,0.0006,0.0029,0.0,-0.003055381104117183,-0.0033117581584519496,0.00025637705433476663,-0.003055381104117183,-0.0033117581584519496,0.00025637705433476663,-0.0028408881413167775,-0.0020399836846742847,-0.0038065926392845117,-0.0033774275045932445,-0.0032120135507170966,-0.0009207023328121622,-0.0004372351987613765,-0.0005858853083851034,-0.0022692889530554483,-0.012345678999245657
2016-12-23,0.0006703486572339212,0.0010220768848701045,0.0013821137724709942,0.0016944365890372293,0.001691294279522193,0.0006911630816899272,0.0013255376479377468,0.0007461095677561147,0.0015542077075423322,0.002016129012763601,0.0019,0.0053,-0.005,-0.0034999999999999,-0.0014,-0.0039,0.0,0.0012920540366268885,0.0012666294035379444,2.5424633088944135e-05,0.0012920540366268885,0.0012666294035379444,2.5424633088944135e-05,0.0006703486572339212,0.0010220768848701045,0.0013821137724709942,0.0016944365890372293,0.001691294279522193,0.0006911630816899272,0.0013255376479377468,0.0007461095677561147,0.0015542077075423322,0.002016129012763601
2016-12-27,0.005191721807530358,0.004084133151755154,0.005033693316196741,0.0034771168086504822,0.0033768772658420154,0.0016116000100503403,0.0013237829238346155,0.0012780913905336977,0.0020816774637941737,0.004426559371905059,0.0027,0.0024,0.0013,0.0018,0.0006,0.0028,0.0,0.00423270846999495,0.002144342232023577,0.002088366237971373,0.00423270846999495,0.002144342232023577,0.002088366237971373,0.005191721807530358,0.004084133151755154,0.005033693316196741,0.0034771168086504822,0.0033768772658420154,0.0016116000100503403,0.0013237829238346155,0.0012780913905336977,0.0020816774637941737,0.004426559371905059
2016-12-28,-0.007830665525415226,-0.008948545898805116,-0.010016964236034931,-0.008990447661115453,-0.007882384194497605,-0.0075853185387245725,-0.007932197018629683,-0.008296989693767576,-0.007177937229377984,-0.009500609386888459,-0.0087,-0.0029,0.0008,0.0017,-0.0016,-0.0013,0.0,-0.008733801503173665,-0.008098610373477654,-0.0006351911296960111,-0.008733801503173665,-0.008098610373477654,-0.0006351911296960111,-0.007830665525415226,-0.008948545898805116,-0.010016964236034931,-0.008990447661115453,-0.007882384194497605,-0.0075853185387245725,-0.007932197018629683,-0.008296989693767576,-0.007177937229377984,-0.009500609386888459
2016-12-29,-0.001427361379274128,0.00020521239978688044,0.0005711954311586886,0.0016065016194792836,0.0004463488950849914,0.0009264600418490421,0.0011993429767089836,-0.00042904644211694265,0.003006088278421082,0.0024301336789576133,-0.0004,0.001,-0.0033,0.0027,0.0003,0.0009,0.0,0.0002803793932471432,0.0014265957067639556,-0.0011462163135168124,0.0002803793932471432,0.0014265957067639556,-0.0011462163135168124,-0.001427361379274128,0.00020521239978688044,0.0005711954311586886,0.0016065016194792836,0.0004463488950849914,0.0009264600418490421,0.0011993429767089836,-0.00042904644211694265,0.003006088278421082,0.0024301336789576133
2016-12-30,-0.009669481770814947,-0.007796471034404062,-0.009133909651076633,-0.006227002563343631,-0.005264566782949731,-0.0034710094759308197,-0.0027951146562102958,-0.001931537708907749,-0.007928980585728551,-0.0044444444757199,-0.0052,-0.0006,0.0021,-0.0012,0.0004,-0.0027,0.0,-0.007618286360517801,-0.004114217380499463,-0.0035040689800183373,-0.007618286360517801,-0.004114217380499463,-0.0035040689800183373,-0.009669481770814947,-0.007796471034404062,-0.009133909651076633,-0.006227002563343631,-0.005264566782949731,-0.0034710094759308197,-0.0027951146562102958,-0.001931537708907749,-0.007928980585728551,-0.0044444444757199
2017-01-03,0.008320535384046535,0.008891645976195406,0.007901234588176154,0.006645779934159934,0.007176175098755566,0.005340752293973239,0.005338950889800964,0.006665949891350387,0.013001912036450625,0.011363636350249395,0.0083,-0.0009,0.0006,-0.002,0.0025,-0.0062,0.0,0.007787074196266719,0.008342240292364921,-0.0005551660960982025,0.007787074196266719,0.008342240292364921,-0.0005551660960982025,0.008320535384046535,0.008891645976195406,0.007901234588176154,0.006645779934159934,0.007176175098755566,0.005340752293973239,0.005338950889800964,0.006665949891350387,0.013001912036450625,0.011363636350249395
2017-01-04,0.005473182634953,0.003484320551697895,0.006042789469622445,0.005658775810007732,0.008371927290173442,0.00161681131646918,0.0029208288172417607,0.005446972123818172,0.006795016994896708,0.016051364395808454,0.0079,0.0097,-0.0015,-0.0046999999999999,-0.0005,-0.0037,0.0,0.005806199151290903,0.006566198729646855,-0.0007599995783559516,0.005806199151290903,0.006566198729646855,-0.0007599995783559516,0.005473182634953,0.003484320551697895,0.006042789469622445,0.005658775810007732,0.008371927290173442,0.00161681131646918,0.0029208288172417607,0.005446972123818172,0.006795016994896708,0.016051364395808454
2017-01-05,0.005694623349526529,0.0016339869227628423,0.0007305194713858043,0.0022507737167891673,0.002031443225097629,-0.0009224008461200528,-0.002250430960069272,-0.003717867001250985,-0.0033745782071550323,-0.00789889414538536,-0.0021,-0.0102,-0.0078,-0.0023,-0.0009,-0.0060999999999999,0.0,0.0024682693371123944,-0.0036328342319961403,0.006101103569108535,0.0024682693371123944,-0.0036328342319961403,0.006101103569108535,0.005694623349526529,0.0016339869227628423,0.0007305194713858043,0.0022507737167891673,0.002031443225097629,-0.0009224008461200528,-0.002250430960069272,-0.003717867001250985,-0.0033745782071550323,-0.00789889414538536
