date,g_return,d_return,SPY,future_gd_return_63d,tnx_change_21d,spy_drawdown,vix_percentile_756d,vix_change_21d,gd_trailing_126d,baa10y_spread,baa10y_change_21d,z_tnx_change_21d,z_spy_drawdown,z_vix_percentile_756d,z_vix_change_21d,z_gd_trailing_126d,z_baa10y_spread,z_baa10y_change_21d,r,d,vh,vr,g126,cs,ce,r_x_cs,z_r_x_cs,high_vix_smooth,vix_relief_smooth,low_vix_smooth,growth_ext_smooth,rate_quiet_smooth,old_i1,old_i2,old_i3,old_i4,z_old_i1,z_old_i2,z_old_i3,z_old_i4
2016-12-21,-0.0020364241551801,-0.0021441671350227,-0.0024737167567825,0.0629378489059029,0.2199999999999997,-0.0024737167567825,0.0171957671957671,-1.1500000000000004,,2.26,-0.26000000000000023,0.9149779105115458,0.8815575554641801,-1.390449039991904,-0.1872983133826213,,-0.7124870734267,-1.015349073260739,-0.9149779105115458,-0.8815575554641801,-1.390449039991904,0.1872983133826213,,-0.7124870734267,1.015349073260739,0.6519099337104483,0.1872088597593227,0.22231399530096352,0.7911750248274181,1.6127630352928675,,0.6579724035946775,1.2722301572845771,0.17588928075172233,,,0.8116425638167964,-0.5022599109826079,,
2016-12-22,-0.0030553811041171,-0.0033117581584519,-0.0016827561776955,0.0640610220178767,0.2399999999999997,-0.0041523102723237,0.0264550264550264,-0.9800000000000004,,2.27,-0.2599999999999998,0.9906235695358192,0.8689109179629108,-1.3614770970848935,-0.15858249861906884,,-0.7004016353113897,-1.014960073314087,-0.9906235695358192,-0.8689109179629108,-1.3614770970848935,0.15858249861906884,,-0.7004016353113897,1.014960073314087,0.6938343680808939,0.20882583985821945,0.22815652050082608,0.7755786925188459,1.5896336175857195,,0.6122175852144608,1.3487113017555024,0.17695333585967996,,,0.880368766237502,-0.49971812143713235,,
2016-12-23,0.0012920540366268,0.0012666294035379,0.0011533002133308,0.0637640284055667,0.1899999999999999,-0.0030037989193157,0.0277777777777777,-0.9900000000000002,,2.25,-0.2400000000000002,0.8003346642426565,0.8770735602963029,-1.356657161264655,-0.16023916237802693,,-0.7239771822639621,-0.9382287585582022,-0.8003346642426565,-0.8770735602963029,-1.356657161264655,0.16023916237802693,,-0.7239771822639621,0.9382287585582022,0.5794240350865727,0.14968200391501252,0.2291416770790866,0.7764729074726828,1.5857988383437416,,0.725954609549032,1.0857797536531433,0.17792230422476496,,,0.6427877853035148,-0.4973924849285843,,
2016-12-27,0.0042327084699949,0.0021443422320235,0.0021267168799983,0.0626819702381238,0.2099999999999999,-0.0008834702691831,0.082010582010582,-0.3499999999999996,,2.25,-0.22999999999999998,0.8760641942437507,0.8923823968247633,-1.191132717990292,-0.052198482761552145,,-0.7237707876371072,-0.8997215895965133,-0.8760641942437507,-0.8923823968247633,-1.191132717990292,0.052198482761552145,,-0.7237707876371072,0.8997215895965133,0.6340696718884672,0.17788757738245664,0.2653420282631949,0.7195869684819766,1.4564747462534868,,0.6813056582094617,1.043508724823534,0.19093666572877138,,,0.6044473644882619,-0.4677565579168702,,
2016-12-28,-0.0087338015031736,-0.0080986103734776,-0.0077372004572724,0.0613044317356819,0.1899999999999999,-0.0086138351398847,0.2473544973544973,-0.200000000000001,,2.26,-0.2100000000000004,0.7997919843216137,0.8351943822209081,-0.6881339513484741,-0.02686893097582177,,-0.7116770527737518,-0.8230583957729463,-0.7997919843216137,-0.8351943822209081,-0.6881339513484741,0.02686893097582177,,-0.7116770527737518,0.8230583957729463,0.5691936022340768,0.1443265078230035,0.4071389785618743,0.7066718857648943,1.0952729299103483,,0.7262698717235266,0.5503640184280689,0.2877136697487126,,,0.15905537050376928,-0.24816481125362988,,
2016-12-29,0.0002803793932471,0.0014265957067639,-0.0004901305549176,0.0632054504784052,0.1900000000000004,-0.0090997437910054,0.328042328042328,0.4699999999999988,,2.27,-0.18999999999999995,0.7995449460369424,0.8313508403974035,-0.44263682177449587,0.08625202643489308,,-0.6995879338692338,-0.7464318117372628,-0.7995449460369424,-0.8313508403974035,-0.44263682177449587,-0.08625202643489308,,-0.6995879338692338,0.7464318117372628,0.5593519968335725,0.1392118652154728,0.4961223274165655,0.6509508057389599,0.9387591491910614,,0.7264133595838324,0.35390803377965296,0.32295122877690136,,,-0.01839567563030667,-0.16817769118867718,,
2016-12-30,-0.0076182863605178,-0.0041142173804994,-0.0035663338109179,0.0703234066853613,0.08,-0.0126336248779708,0.451058201058201,0.7099999999999991,,2.28,-0.17000000000000037,0.38126870043730554,0.805076713679388,-0.06844460038989794,0.12676214953369272,,-0.6875032722513948,-0.6698351045872284,-0.38126870043730554,-0.805076713679388,-0.06844460038989794,-0.12676214953369272,,-0.6875032722513948,0.6698351045872284,0.26212347915768436,-0.014474304841409375,0.6595103490135479,0.6317733427529505,0.7279549494034459,,0.929895642992965,0.026095783842607086,0.4166610577764542,,,-0.31449185376513267,0.044476451965036204,,
2017-01-03,0.0077870741962667,0.0083422402923649,0.0076950608486388,0.0697577404391929,0.0,-0.0050357805415068,0.2261904761904762,-1.2200000000000006,,2.27,-0.1499999999999999,0.0770640643775938,0.860748520743708,-0.7523234396950327,-0.19922328407180875,,-0.699205331437893,-0.5932622341518274,-0.0770640643775938,-0.860748520743708,-0.7523234396950327,0.19922328407180875,,-0.699205331437893,0.5932622341518274,0.0538836046750866,-0.12214649531461066,0.38612618514535674,0.7977118792217867,1.1384496248403895,,0.9970349694023235,0.05797710198943081,0.308017444769042,,,-0.2856190696244093,-0.2020847266565107,,
2017-01-04,0.0058061991512909,0.0065661987296468,0.0057272242931629,0.0701375080322426,0.06,0.0,0.0687830687830687,-2.2699999999999996,,2.25,-0.16999999999999993,0.30518649942150794,0.8975308106841673,-1.2306135447075122,-0.3765452342692861,,-0.7227952251000476,-0.669510840590164,-0.30518649942150794,-0.8975308106841673,-1.2306135447075122,0.3765452342692861,,-0.7227952251000476,0.669510840590164,0.22058734454686438,-0.03590945091059462,0.2562790935593524,0.8990393610695115,1.4868926382668646,,0.9544983163606127,0.375566639849979,0.23040499252907376,,,0.001419952075026174,-0.37819897132124175,,
2017-01-05,0.0024682693371123,-0.0036328342319961,-0.0006621639553745,0.0621569890771176,-0.02,-0.0006621639553745,0.0489417989417989,-0.4700000000000006,,2.25,-0.16999999999999993,0.0008874192356463843,0.8923516163039401,-1.290267586720826,-0.07236319321430466,,-0.7225898594733065,-0.6693284507951253,-0.0008874192356463843,-0.8923516163039401,-1.290267586720826,0.07236319321430466,,-0.7225898594733065,0.6693284507951253,0.0006412401407796299,-0.1496728116070498,0.2431007816687179,0.729983188369823,1.5333683683895438,,0.9999996062436276,0.0011450082755871003,0.1774594836977269,,,-0.3369769813754589,-0.4982940791090903,,
