requested_start_date,actual_start_date,start_group,display_name,method,config_id,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
2017-06-28,2018-06-28,annual,Joint Expanding,Joint Expanding start 2017-06-28,joint_expanding_start_20170628,1981,2018-06-28,2026-05-15,2.9060798093741593,0.18925363578928844,0.19623353524602358,0.981942748679849,1.1855851196930585,-0.33251474596433883,0.569158625553362,2.804334090711931,0.4277225345867835,3.9060798093741593
2018-01-02,2018-06-28,annual,Joint Expanding,Joint Expanding start 2018-01-02,joint_expanding_start_20180102,1981,2018-06-28,2026-05-15,2.9060798093741593,0.18925363578928844,0.19623353524602358,0.981942748679849,1.1855851196930585,-0.33251474596433883,0.569158625553362,2.804334090711931,0.4277225345867835,3.9060798093741593
2018-06-28,2018-06-28,annual_block_phase_anchor,Joint Expanding,Joint Expanding start 2018-06-28,joint_expanding_start_20180628,1981,2018-06-28,2026-05-15,2.9060798093741593,0.18925363578928844,0.19623353524602358,0.981942748679849,1.1855851196930585,-0.33251474596433883,0.569158625553362,2.804334090711931,0.4277225345867835,3.9060798093741593
2018-07-30,2018-07-30,block_phase,Joint Expanding,Joint Expanding start 2018-07-30,joint_expanding_start_20180730,1960,2018-07-30,2026-05-15,2.8704394863380123,0.19006087971248942,0.19606261062060404,0.986116761276112,1.1911752061180043,-0.3325147459643386,0.5715863191609343,2.8567503306010673,0.4219640260745696,3.8704394863380123
2018-08-29,2018-08-29,block_phase,Joint Expanding,Joint Expanding start 2018-08-29,joint_expanding_start_20180829,1938,2018-08-29,2026-05-15,2.5668193889430917,0.1798142678693362,0.19701710388742577,0.9383680500756008,1.1246676969706755,-0.3325147459643384,0.5407708080670232,2.8934076788127023,0.41259487875790485,3.5668193889430917
2018-09-28,2018-09-28,block_phase,Joint Expanding,Joint Expanding start 2018-09-28,joint_expanding_start_20180928,1917,2018-09-28,2026-05-15,2.5792758615650007,0.18249514216300344,0.19898056277967024,0.9424600565082123,1.1314429937392252,-0.33251474596433905,0.5488332303391301,2.9125152394608707,0.4242208357762735,3.5792758615650007
2018-10-29,2018-10-29,block_phase,Joint Expanding,Joint Expanding start 2018-10-29,joint_expanding_start_20181029,1896,2018-10-29,2026-05-15,3.0273603666680042,0.2034113853927908,0.19714797534110065,1.0383965355323397,1.2696450021469663,-0.33251474596433883,0.6117364353357311,2.930139745064597,0.4163758765550584,4.027360366668004
2019-01-02,2019-01-02,annual,Joint Expanding,Joint Expanding start 2019-01-02,joint_expanding_start_20190102,1853,2019-01-02,2026-05-15,3.136552559655545,0.21299826632241703,0.19684908613368093,1.0800030602282482,1.3267844538702234,-0.3325147459643387,0.6405678812970914,2.9243057960790844,0.4212360073117184,4.136552559655545
2020-01-02,2020-01-02,annual,Joint Expanding,Joint Expanding start 2020-01-02,joint_expanding_start_20200102,1601,2020-01-02,2026-05-15,2.0675574746330563,0.19294923461252345,0.2044285904924304,0.9658335119661942,1.1626556262147942,-0.3325147459643387,0.5802727155842187,3.105399008708292,0.39019452068247523,3.0675574746330563
2021-01-04,2021-01-04,annual,Joint Expanding,Joint Expanding start 2021-01-04,joint_expanding_start_20210104,1348,2021-01-04,2026-05-15,1.3830925470172657,0.17626205333487222,0.1652241152806425,1.0653102326970747,1.481351457908728,-0.2003312186487336,0.879853147820835,3.011811585639705,0.3619382424391087,2.3830925470172657
2022-01-03,2022-01-03,annual,Joint Expanding,Joint Expanding start 2022-01-03,joint_expanding_start_20220103,1096,2022-01-03,2026-05-15,0.8149073248151668,0.14687907702219105,0.173085466434194,0.8783206204438387,1.1839098962096508,-0.20033121864873338,0.733181168731036,3.3168840357681555,0.3799680779690781,1.8149073248151668
