date,Expanding 2017-06-28,Expanding 2018-01-02,Expanding 2018-06-28,Expanding 2019-01-02,Expanding 2020-01-02,Expanding 2021-01-04,Expanding 2022-01-03,Expanding 2018-07-30,Expanding 2018-08-29,Expanding 2018-09-28,Expanding 2018-10-29
2022-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-04,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609685,1.0048640319609687,1.0048640319609685,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.004864031960969
2022-01-05,0.9904747634910723,0.9904747634910723,0.9904747634910723,0.990474763491072,0.9904747634910723,0.9904747634910721,0.9904747634910722,0.9904747634910723,0.9904747634910722,0.9904747634910723,0.9904747634910723
2022-01-06,0.9913064903306111,0.9913064903306111,0.9913064903306111,0.9913064903306108,0.991306490330611,0.9913064903306108,0.991306490330611,0.991306490330611,0.9913064903306109,0.9913064903306111,0.9913064903306114
2022-01-07,0.9907245425624792,0.9907245425624792,0.9907245425624792,0.990724542562479,0.9907245425624791,0.9907245425624789,0.9907245425624791,0.9907245425624792,0.9907245425624792,0.9907245425624792,0.9907245425624795
2022-01-10,0.9909012090459711,0.9909012090459711,0.9909012090459711,0.9909012090459709,0.990901209045971,0.9909012090459708,0.990901209045971,0.9909012090459708,0.990901209045971,0.990901209045971,0.9909012090459712
2022-01-11,0.9993294791416971,0.9993294791416971,0.9993294791416971,0.999329479141697,0.9993294791416969,0.9993294791416967,0.9993294791416968,0.9993294791416969,0.9993294791416969,0.999329479141697,0.9993294791416971
2022-01-12,1.0012699002983734,1.0012699002983734,1.0012699002983734,1.0012699002983731,1.0012699002983731,1.001269900298373,1.0012699002983731,1.001269900298373,1.0012699002983731,1.0012699002983731,1.0012699002983736
2022-01-13,0.9919398910728372,0.9919398910728372,0.9919398910728372,0.991939891072837,0.9919398910728371,0.9919398910728368,0.991939891072837,0.9919398910728369,0.9919398910728371,0.9919398910728371,0.9919398910728374
2022-01-14,0.9933427519061687,0.9933427519061687,0.9933427519061687,0.9933427519061686,0.9933427519061684,0.9933427519061683,0.9933427519061685,0.9933427519061683,0.9933427519061685,0.9933427519061685,0.9933427519061688
2022-01-18,0.9777258736805124,0.9777258736805124,0.9777258736805124,0.9777258736805122,0.9777258736805122,0.9777258736805123,0.9777258736805122,0.9777258736805122,0.9777258736805124,0.9777258736805123,0.9777258736805128
2022-01-19,0.9674092432100211,0.9674092432100211,0.9674092432100211,0.9674092432100208,0.9674092432100209,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100209,0.9674092432100209,0.967409243210021
2022-01-20,0.9552930637590503,0.9552930637590503,0.9552930637590503,0.9552930637590503,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590503,0.9552930637590501,0.9552930637590504
2022-01-21,0.9404546384855048,0.9404546384855048,0.9404546384855048,0.9404546384855048,0.9404546384855047,0.9404546384855048,0.9404546384855047,0.9404546384855047,0.9404546384855048,0.9404546384855047,0.940454638485505
2022-01-24,0.9442406998720787,0.9442406998720787,0.9442406998720787,0.9442406998720786,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720786
2022-01-25,0.9390326115806564,0.9390326115806564,0.9390326115806564,0.9390326115806563,0.9390326115806562,0.9390326115806563,0.9390326115806563,0.9390326115806562,0.9390326115806562,0.9390326115806562,0.9390326115806567
2022-01-26,0.9359766608071362,0.9359766608071362,0.9359766608071362,0.9359766608071359,0.9359766608071358,0.9359766608071359,0.9359766608071359,0.9359766608071358,0.9359766608071359,0.9359766608071359,0.9359766608071363
2022-01-27,0.9329570043584748,0.9329570043584748,0.9329570043584748,0.9329570043584745,0.9329570043584745,0.9329570043584746,0.9329570043584746,0.9329570043584745,0.9329570043584745,0.9329570043584745,0.9329570043584748
2022-01-28,0.9507990572980499,0.9507990572980499,0.9507990572980499,0.9507990572980497,0.9507990572980497,0.9507990572980499,0.9507990572980497,0.9510771994563795,0.9507990572980498,0.9507990572980497,0.9507990572980501
2022-01-31,0.9638353008478036,0.9638353008478036,0.9638353008478036,0.9638353008478031,0.9638353008478032,0.9638353008478033,0.9638353008478032,0.9643887207866303,0.9638353008478032,0.9638353008478032,0.9641066856790477
2022-02-01,0.9720603880948377,0.9720603880948377,0.9720603880948377,0.9720603880948373,0.9720603880948373,0.9720603880948374,0.9720603880948374,0.9725716907598356,0.9720603880948374,0.9720603880948374,0.9722872625458563
2022-02-02,0.9794990878355107,0.9794990878355107,0.9794990878355107,0.9794990878355104,0.9794990878355102,0.9794990878355104,0.9794990878355103,0.9800138142659245,0.9794990878355102,0.9794990878355103,0.9797272096058107
2022-02-03,0.9642597189916786,0.9642597189916786,0.9642597189916786,0.9642597189916784,0.9642597189916781,0.9642597189916783,0.9642597189916782,0.96441796704892,0.9642597189916781,0.9642597189916782,0.9641359233882798
2022-02-04,0.9653513272470053,0.9653513272470053,0.9653513272470053,0.9653513272470051,0.9653513272470048,0.965351327247005,0.9653513272470051,0.9656830575071738,0.9653513272470049,0.965351327247005,0.9654006438713193
2022-02-07,0.9649715492953019,0.9649715492953019,0.9649715492953019,0.9649715492953018,0.9649715492953016,0.9649715492953018,0.9649715492953018,0.9651729249042247,0.9649715492953016,0.9649715492953017,0.9648906604564522
2022-02-08,0.9729574707585367,0.9729574707585367,0.9729574707585367,0.9729574707585366,0.9729574707585363,0.9729574707585366,0.9729574707585367,0.9732148447404256,0.9729574707585364,0.9729574707585366,0.9729302284363143
2022-02-09,0.9846985139980307,0.9846985139980307,0.9846985139980307,0.9846985139980305,0.98469851399803,0.9846985139980304,0.9846985139980305,0.9851284376044062,0.9846985139980303,0.9846985139980304,0.9848403371746794
2022-02-10,0.9687401210817521,0.9687401210817521,0.9687401210817521,0.9687401210817519,0.9687401210817517,0.9687401210817519,0.968740121081752,0.969049064029889,0.9687401210817518,0.9687401210817518,0.9687656660067318
2022-02-11,0.9564277255671174,0.9564277255671174,0.9564277255671174,0.9564277255671172,0.9564277255671169,0.9564277255671171,0.9564277255671172,0.9564456587964754,0.9564277255671171,0.9564277255671172,0.9561659466342933
2022-02-14,0.9494794851544646,0.9494794851544646,0.9494794851544646,0.9494794851544645,0.9494794851544641,0.9494794851544643,0.9494794851544646,0.949622188249301,0.9494794851544643,0.9494794851544643,0.9493444716084356
2022-02-15,0.9625053364540541,0.9625053364540541,0.9625053364540541,0.962505336454054,0.9625053364540537,0.9625053364540538,0.9625053364540541,0.9628248729610515,0.9625053364540538,0.9625053364540539,0.9625432952001597
