date,Expanding 2017-06-28,Expanding 2018-01-02,Expanding 2018-06-28,Expanding 2019-01-02,Expanding 2020-01-02,Expanding 2021-01-04,Expanding 2022-01-03,Expanding 2018-07-30,Expanding 2018-08-29,Expanding 2018-09-28,Expanding 2018-10-29,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2022-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-04,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0048640319609687,1.0001025974927973,0.9887009917734838,0.999665068766811
2022-01-05,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9904747634910722,0.9805746481139685,0.9569137256366335,0.9804693223939399
2022-01-06,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.991306490330611,0.9803059604727281,0.9540444197039342,0.9795482614993419
2022-01-07,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9907245425624791,0.9769799303234918,0.9443382665036821,0.9756756190992297
2022-01-10,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.990901209045971,0.9771707029473289,0.9445571423008662,0.9744614933750366
2022-01-11,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9993294791416968,0.9866902189582453,0.9565633485073723,0.9833371710878281
2022-01-12,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,1.0012699002983731,0.9892346586764217,0.9604869819224241,0.9859956877615283
2022-01-13,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.991939891072837,0.9751440826963781,0.9354872656703136,0.9724100395634332
2022-01-14,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9933427519061685,0.9776482921520984,0.9404542620437001,0.9728077704053415
2022-01-18,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9777258736805122,0.9597737675890573,0.9175678869359913,0.9555797450346671
2022-01-19,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.9674092432100208,0.949253688172032,0.9066234940092618,0.9456574072142767
2022-01-20,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9552930637590501,0.9372686028443915,0.8949504358485011,0.9351908061382903
2022-01-21,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9404546384855047,0.9201527643374738,0.8732083536565372,0.9168323878506105
2022-01-24,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9442406998720785,0.9243831982627788,0.8782936011161493,0.92072596345141
2022-01-25,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9390326115806563,0.9140661582901521,0.8580242156737429,0.9094848338967325
2022-01-26,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9359766608071359,0.9125722387464178,0.8594462103186595,0.9072031148620343
2022-01-27,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9329570043584746,0.9079958651972687,0.8520557002496583,0.9027234095998256
2022-01-28,0.9507990572980497,0.9507990572980497,0.9507990572980497,0.9507990572980497,0.9507990572980497,0.9507990572980497,0.9507990572980497,0.9510771994563796,0.9507990572980497,0.9507990572980497,0.9507990572980497,0.9310948711273216,0.8841807428614661,0.9251428691048996
2022-01-31,0.9638353008478032,0.9638353008478032,0.9638353008478032,0.9638353008478032,0.9638353008478032,0.9638353008478032,0.9638353008478032,0.9643887207866304,0.9638353008478032,0.9638353008478032,0.9641066856790472,0.9487395127640594,0.9097989552379674,0.9418056980192903
2022-02-01,0.9720603880948374,0.9720603880948374,0.9720603880948374,0.9720603880948374,0.9720603880948374,0.9720603880948374,0.9720603880948374,0.9725716907598358,0.9720603880948374,0.9720603880948374,0.9722872625458557,0.9559804872154367,0.9151838559255445,0.94816939147207
2022-02-02,0.9794990878355103,0.9794990878355103,0.9794990878355103,0.9794990878355103,0.9794990878355103,0.9794990878355103,0.9794990878355103,0.9800138142659247,0.9794990878355103,0.9794990878355103,0.97972720960581,0.9633077712223843,0.9222070570279973,0.9573800004202694
