horizon_years,requested_start_date,actual_start_date,start_group,display_name,method,config_id,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
3,2017-06-28,2018-06-28,annual,Joint Expanding,Joint Expanding start 2017-06-28,joint_expanding_start_20170628,756,2018-06-28,2021-06-29,0.9349621292086132,0.246113180867642,0.23444177883916095,1.056952426022931,1.173647815091848,-0.33251474596433883,0.740157192589699,2.4419984493692968,0.51670216336141,1.9349621292086132
3,2017-06-28,2018-06-28,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-06-28,2021-06-29,0.7975046190242054,0.2158780128126696,0.23452651077904133,0.9518977766239682,1.0331074779725762,-0.33586755519100453,0.6427474445690413,0.0,0.5,1.7975046190242054
3,2017-06-28,2018-06-28,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-06-28,2021-06-29,1.1102274991732903,0.28265470747329147,0.2631017973056869,1.078986017755741,1.2637244282315534,-0.3080815076970511,0.9174672948927436,0.0,1.0,2.1102274991732903
3,2017-06-28,2018-06-28,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-06-28,2021-06-29,0.6762246044874498,0.18789322042260737,0.22486303920007705,0.8792529191456736,0.9277644669942285,-0.33717388442759144,0.5572591149566262,0.0,,1.6762246044874498
3,2018-01-02,2018-06-28,annual,Joint Expanding,Joint Expanding start 2018-01-02,joint_expanding_start_20180102,756,2018-06-28,2021-06-29,0.9349621292086132,0.246113180867642,0.23444177883916095,1.056952426022931,1.173647815091848,-0.33251474596433883,0.740157192589699,2.4419984493692968,0.51670216336141,1.9349621292086132
3,2018-01-02,2018-06-28,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-06-28,2021-06-29,0.7975046190242054,0.2158780128126696,0.23452651077904133,0.9518977766239682,1.0331074779725762,-0.33586755519100453,0.6427474445690413,0.0,0.5,1.7975046190242054
3,2018-01-02,2018-06-28,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-06-28,2021-06-29,1.1102274991732903,0.28265470747329147,0.2631017973056869,1.078986017755741,1.2637244282315534,-0.3080815076970511,0.9174672948927436,0.0,1.0,2.1102274991732903
3,2018-01-02,2018-06-28,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-06-28,2021-06-29,0.6762246044874498,0.18789322042260737,0.22486303920007705,0.8792529191456736,0.9277644669942285,-0.33717388442759144,0.5572591149566262,0.0,,1.6762246044874498
3,2018-06-28,2018-06-28,annual_block_phase_anchor,Joint Expanding,Joint Expanding start 2018-06-28,joint_expanding_start_20180628,756,2018-06-28,2021-06-29,0.9349621292086132,0.246113180867642,0.23444177883916095,1.056952426022931,1.173647815091848,-0.33251474596433883,0.740157192589699,2.4419984493692968,0.51670216336141,1.9349621292086132
3,2018-06-28,2018-06-28,annual_block_phase_anchor,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-06-28,2021-06-29,0.7975046190242054,0.2158780128126696,0.23452651077904133,0.9518977766239682,1.0331074779725762,-0.33586755519100453,0.6427474445690413,0.0,0.5,1.7975046190242054
3,2018-06-28,2018-06-28,annual_block_phase_anchor,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-06-28,2021-06-29,1.1102274991732903,0.28265470747329147,0.2631017973056869,1.078986017755741,1.2637244282315534,-0.3080815076970511,0.9174672948927436,0.0,1.0,2.1102274991732903
3,2018-06-28,2018-06-28,annual_block_phase_anchor,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-06-28,2021-06-29,0.6762246044874498,0.18789322042260737,0.22486303920007705,0.8792529191456736,0.9277644669942285,-0.33717388442759144,0.5572591149566262,0.0,,1.6762246044874498
3,2019-01-02,2019-01-02,annual,Joint Expanding,Joint Expanding start 2019-01-02,joint_expanding_start_20190102,756,2019-01-02,2021-12-30,1.294350635337516,0.3189244826869344,0.22695051794550924,1.334696979329756,1.5471331374833475,-0.3325147459643387,0.9591288403225827,2.3506991527698764,0.4814060792230649,2.294350635337516
3,2019-01-02,2019-01-02,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2019-01-02,2021-12-30,1.1615220444842973,0.29296436730813613,0.22780478091266204,1.2432485098902757,1.4212315313566868,-0.335867555191005,0.8722615887727823,0.0,0.5,2.1615220444842973
3,2019-01-02,2019-01-02,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2019-01-02,2021-12-30,1.632826577277159,0.38083170778323727,0.2534475232301504,1.4015709600300832,1.746571668844554,-0.30808150769705156,1.2361394574767006,0.0,1.0,2.632826577277159
3,2019-01-02,2019-01-02,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2019-01-02,2021-12-30,1.00395008388038,0.26074997005508105,0.2190319687248085,1.1687489696067186,1.303471670967818,-0.33717388442759155,0.7733397576082953,0.0,,2.00395008388038
3,2020-01-02,2020-01-02,annual,Joint Expanding,Joint Expanding start 2020-01-02,joint_expanding_start_20200102,756,2020-01-02,2022-12-30,0.4885062137923608,0.14178294253131063,0.25334953176259184,0.650876831674848,0.6884496034603343,-0.3325147459643387,0.42639595462186347,3.637858979249099,0.41392880289830214,1.4885062137923608
3,2020-01-02,2020-01-02,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2020-01-02,2022-12-30,0.3456750676634892,0.10402795091738071,0.25880829201133854,0.5126244153248087,0.501364926682804,-0.335867555191005,0.30972908609234645,0.0,0.5,1.3456750676634892
3,2020-01-02,2020-01-02,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2020-01-02,2022-12-30,0.2908261168760222,0.08881956120022227,0.30142763589777644,0.43372536805927875,0.39317347081848253,-0.3434553386295499,0.25860585412539716,0.0,1.0,1.2908261168760222
3,2020-01-02,2020-01-02,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2020-01-02,2022-12-30,0.24641867393369754,0.07618759654309204,0.24973861062425518,0.41967922790875467,0.3787011409273961,-0.33717388442759166,0.225959364179207,0.0,,1.2464186739336975
3,2021-01-04,2021-01-04,annual,Joint Expanding,Joint Expanding start 2021-01-04,joint_expanding_start_20210104,756,2021-01-04,2024-01-04,0.46268017095237557,0.1351409506109016,0.1740829403056279,0.8153884788624628,1.1370410351462747,-0.2003312186487336,0.674587573132381,3.325841226209306,0.363817035432763,1.4626801709523756
3,2021-01-04,2021-01-04,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2021-01-04,2024-01-04,0.3655369693188997,0.10943318985456907,0.18182562862918292,0.6622250752439486,0.8834985503533348,-0.23776226939092004,0.46026306080820173,0.0,0.5,1.3655369693188997
3,2021-01-04,2021-01-04,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2021-01-04,2024-01-04,0.29109769033902433,0.08889591379349193,0.23469607163903694,0.48030697556416907,0.5680899552235164,-0.3434553386295507,0.2588281613213608,0.0,1.0,1.2910976903390243
3,2021-01-04,2021-01-04,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2021-01-04,2024-01-04,0.30659334408259054,0.09323488242655587,0.17568978378002306,0.5953881772842118,0.7688820071876191,-0.24496334904188433,0.38060747777666276,0.0,,1.3065933440825905
3,2022-01-03,2022-01-03,annual,Joint Expanding,Joint Expanding start 2022-01-03,joint_expanding_start_20220103,756,2022-01-03,2025-01-06,0.3591009006082042,0.10768744540197894,0.17292145984406723,0.6780664983140987,0.8999159510865237,-0.20033121864873338,0.5375469990566036,3.5631617643898714,0.36619070326476166,1.3591009006082042
3,2022-01-03,2022-01-03,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2022-01-03,2025-01-06,0.3239576261888035,0.09805652040132484,0.18130225739471897,0.6067603153580627,0.7784458620938899,-0.2377622693909205,0.4124141338847322,0.0,0.5,1.3239576261888035
3,2022-01-03,2022-01-03,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2022-01-03,2025-01-06,0.362834852658666,0.10870092664854991,0.23754746114194142,0.5533327621510368,0.6728245069752556,-0.33923625433193116,0.3204283895381941,0.0,1.0,1.362834852658666
3,2022-01-03,2022-01-03,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2022-01-03,2025-01-06,0.30978205680507553,0.09412349860978853,0.17469751858050683,0.602444267884833,0.7647552440028862,-0.2449633490418862,0.38423502527185965,0.0,,1.3097820568050755
3,2018-07-30,2018-07-30,block_phase,Joint Expanding,Joint Expanding start 2018-07-30,joint_expanding_start_20180730,756,2018-07-30,2021-07-29,0.8943570677511821,0.23733495175294994,0.23388779090202588,1.028695291852249,1.132951428544161,-0.3325147459643386,0.713757674308987,2.4270537617885544,0.5035288070307523,1.894357067751182
3,2018-07-30,2018-07-30,block_phase,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-07-30,2021-07-29,0.7716655592444044,0.21002380465528514,0.23476654742892,0.9305883527050456,1.0060130572857067,-0.33586755519100475,0.6253173353878929,0.0,0.5,1.7716655592444044
3,2018-07-30,2018-07-30,block_phase,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-07-30,2021-07-29,1.0876196026280378,0.278057682940402,0.26293361534562953,1.0658380376122247,1.2423168891942464,-0.3080815076970512,0.9025458393102489,0.0,1.0,2.087619602628038
3,2018-07-30,2018-07-30,block_phase,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-07-30,2021-07-29,0.6529082850900474,0.18235960980738808,0.22518918599830934,0.8575552693099765,0.9018026748662068,-0.3371738844275918,0.5408473735057315,0.0,,1.6529082850900474
3,2018-08-29,2018-08-29,block_phase,Joint Expanding,Joint Expanding start 2018-08-29,joint_expanding_start_20180829,756,2018-08-29,2021-08-30,0.8256570706987763,0.22219283814860558,0.2340435725154205,0.975508937024812,1.066114915472688,-0.3325147459643384,0.6682195025793994,2.48303058728537,0.4823817192777067,1.8256570706987763
3,2018-08-29,2018-08-29,block_phase,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-08-29,2021-08-30,0.7577167979164849,0.2068398282924142,0.23489515828445207,0.9189809455767682,0.9908060070799373,-0.33586755519100464,0.6158374784810232,0.0,0.5,1.757716797916485
3,2018-08-29,2018-08-29,block_phase,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-08-29,2021-08-30,1.0765611546275693,0.2757969959188564,0.26302011075661286,1.0588336406039986,1.2372434259508582,-0.3080815076970511,0.8952078882646168,0.0,1.0,2.0765611546275693
3,2018-08-29,2018-08-29,block_phase,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-08-29,2021-08-30,0.6466114610838551,0.18085628288228617,0.22531275008469545,0.8515577308426912,0.893376813656574,-0.33717388442759144,0.5363887632914385,0.0,,1.6466114610838551
3,2018-09-28,2018-09-28,block_phase,Joint Expanding,Joint Expanding start 2018-09-28,joint_expanding_start_20180928,756,2018-09-28,2021-09-29,0.8156314525054007,0.21995150136539565,0.2355485781006553,0.9629316970528676,1.0542964158094172,-0.33251474596433905,0.6614789390091729,2.4643027929547894,0.5006452621428262,1.8156314525054007
3,2018-09-28,2018-09-28,block_phase,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-09-28,2021-09-29,0.6879041723361778,0.19064583080972652,0.2356438601544886,0.8594380922018703,0.9134545272486906,-0.33586755519100486,0.5676220517974948,0.0,0.5,1.6879041723361778
3,2018-09-28,2018-09-28,block_phase,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-09-28,2021-09-29,0.9466552172914697,0.24861825287153283,0.2637965721417668,0.9747908202909488,1.1145320456607697,-0.3080815076970511,0.8069885619879824,0.0,1.0,1.9466552172914697
3,2018-09-28,2018-09-28,block_phase,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-09-28,2021-09-29,0.5756069779105104,0.16363282869111573,0.22608357807376292,0.7843936420358621,0.8107104514109656,-0.33717388442759155,0.485306947686383,0.0,,1.5756069779105104
3,2018-10-29,2018-10-29,block_phase,Joint Expanding,Joint Expanding start 2018-10-29,joint_expanding_start_20181029,756,2018-10-29,2021-10-28,1.055811778547762,0.27153343171908184,0.23222733460554157,1.1518727870340728,1.304697716682918,-0.33251474596433883,0.8166056844534737,2.426637530483468,0.4859449165847671,2.055811778547762
3,2018-10-29,2018-10-29,block_phase,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,756,2018-10-29,2021-10-28,0.9430133098481686,0.24783910601660897,0.23304560494627333,1.0678713342786121,1.190991840011361,-0.335867555191005,0.7379072559588705,0.0,0.5,1.9430133098481686
3,2018-10-29,2018-10-29,block_phase,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,756,2018-10-29,2021-10-28,1.3165704069309387,0.32316854491874025,0.25979364330849447,1.2091940990382537,1.4587897646648915,-0.3080815076970509,1.0489709276433594,0.0,1.0,2.3165704069309387
3,2018-10-29,2018-10-29,block_phase,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,756,2018-10-29,2021-10-28,0.8210448333452156,0.22116274378563805,0.22384334076383366,1.005710954345223,1.0989029434766473,-0.33717388442759144,0.6559308238272916,0.0,,1.8210448333452156
5,2017-06-28,2018-06-28,annual,Joint Expanding,Joint Expanding start 2017-06-28,joint_expanding_start_20170628,1260,2018-06-28,2023-06-30,1.226316317202,0.1735926309168352,0.21974690765229657,0.8390464865777756,0.9705470784967847,-0.33251474596433883,0.5220599477878568,3.0952267756891123,0.47749574494481756,2.226316317202
5,2017-06-28,2018-06-28,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,1260,2018-06-28,2023-06-30,0.9652237992268302,0.14467554073772426,0.222384712533119,0.7195126570555241,0.801707307208815,-0.33586755519100453,0.43075176063210013,0.0,0.5,1.9652237992268302
