date,Joint Local Best,Old Best + Bond/Credit Incremental,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2017-06-28,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-29,0.9882701744715607,0.9882443449242696,0.9885805496277569,0.9882853859471783,0.9844522898504267,0.9916605044776097
2017-06-30,0.9897062261298738,0.9896175901824998,0.9900643902869115,0.989724678673357,0.9852408198252209,0.9933037548268027
2017-07-03,0.9893135716954672,0.9885245261959283,0.9902651050792736,0.9890341860471774,0.9790716166184107,0.9954810615373618
2017-07-05,0.9921960544600559,0.9921310231753544,0.9927422150896033,0.992300841714309,0.9858601263698796,0.997206474407315
2017-07-06,0.9823292391911655,0.9824083587329454,0.9827907972426327,0.9825702803181249,0.9769280283996694,0.9883329225188439
2017-07-07,0.9894992422897435,0.9900738950510655,0.9896605973443983,0.9902554664913968,0.9873250216434459,0.9944951113306751
2017-07-10,0.9903834354986069,0.9917322155122259,0.9901787340318643,0.9919322769729412,0.9926166183016203,0.9956043053137874
2017-07-11,0.9904217305017547,0.9920668194353055,0.9900853420137689,0.9923503968553353,0.994485780697459,0.994905923915616
2017-07-12,0.9984135792249372,1.0007608120843212,0.9978686655387865,1.001122136198579,1.0061006185995987,1.0021362254548942
2017-07-13,1.00080102744273,1.0030779344161596,1.0002925348656968,1.003469441844067,1.0081937126072336,1.0039848820965578
2017-07-14,1.0061754599327708,1.0087505848596843,1.0056296237742288,1.0093515188933446,1.0155404016155467,1.0085859830752413
2017-07-17,1.0069674130143267,1.00944466869106,1.006442215699736,1.010019926602376,1.0157649598266343,1.0086270643309065
2017-07-18,1.0057216473691009,1.0089518418552952,1.0051681197154059,1.0103799468675594,1.0202740059580642,1.0091200394366073
2017-07-19,1.0113456275195074,1.014605348253401,1.0107907920646206,1.0161121697510727,1.0261907836058402,1.014542765589887
2017-07-20,1.011899690062287,1.0151740949293313,1.0113570376646077,1.016766562274619,1.0270226170798675,1.0148714156587828
2017-07-21,1.0103094626554394,1.01365946489323,1.0097860067952598,1.0154796595560152,1.0263849134183496,1.0140087092238061
2017-07-24,1.0092668926224737,1.0129174743130918,1.0088320204945809,1.015600105781611,1.0290075082909205,1.0138443841917157
2017-07-25,1.0128177514216896,1.0160868150377427,1.0122637081369248,1.0176188475288512,1.0277534873380307,1.0162270971994602
2017-07-26,1.0126218369052116,1.0161464218203642,1.0121384465677563,1.0183237702848509,1.0303549886542742,1.0164325034919306
2017-07-27,1.0131582056886295,1.0159794648327567,1.0124650807222058,1.0168956799095206,1.0248223481240746,1.015528715801289
