display_name,method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
Joint Local Best,Joint Local Best,joint_local_best,10,2233,2017-06-28,2026-05-15,3.991442665715252,0.19893785957495846,0.19201746563953898,1.041495822181294,1.2661298972205846,-0.3194788030053112,0.6226950198372041,3.701723631227431,0.4645586559410141,4.991442665715252
Old Best + Bond/Credit Incremental,old_best_plus_bond_credit_incremental,old_plus_credit_lc0.10_li0.50,10,2233,2017-06-28,2026-05-15,3.957445537458679,0.19801350117751948,0.19137535992414276,1.0402895099796317,1.2648181352381607,-0.31917774348739336,0.6203863058056254,4.1023152434017565,0.43719128577818117,4.957445537458679
Existing Smooth Score Best Local,Existing Smooth Score Best Local,existing_best_local_tilt50,10,2233,2017-06-28,2026-05-15,3.755299574027454,0.1923982455385458,0.19285345955581826,1.009383729358962,1.2211665202702426,-0.31633260287297826,0.608215036297736,4.696744327984456,0.4506068304555957,4.755299574027454
50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,10,2233,2017-06-28,2026-05-15,3.057628844611277,0.17123799374651671,0.1934381833734724,0.9144078524606916,1.0812440057999224,-0.3358675551910051,0.5098378545350565,0.0,0.5,4.057628844611277
100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,10,2233,2017-06-28,2026-05-15,4.550778639891888,0.21339533785367792,0.2353288428289731,0.9401054485499574,1.1666062690287695,-0.3434553386295507,0.6213190300234207,0.0,1.0,5.550778639891888
SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,10,2233,2017-06-28,2026-05-15,2.5162248904066207,0.15246091192246225,0.18735714601628745,0.8515387799389373,0.984752042782056,-0.3371738844275918,0.4521729557474173,0.0,,3.5162248904066207
