date,Joint WF Expanding,Joint WF Rolling,Old+Credit WF Expanding,Old+Credit WF Rolling,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2018-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-29,1.001258777225291,1.001258777225291,1.0013232156887295,1.0013232156887295,1.0011754700299154,1.0013037053978526,1.0010835955671644,1.0014396987708463
2018-07-02,1.004516961709173,1.004516961709173,1.003098535002051,1.003098535002051,1.0061735242700298,1.0035887439162383,1.008203272180555,1.0035807892489668
2018-07-03,0.9991087347391613,0.9991087347391613,0.9994052734561188,0.9994052734561188,0.9987441983286033,0.9992906871764745,0.9983317456409493,1.000036915352139
2018-07-05,1.009234219914981,1.009234219914981,1.008828329356549,1.008828329356549,1.0097227208675184,1.0089491564788382,1.0102968066275633,1.0081952083869345
2018-07-06,1.0196428145473335,1.0196428145473335,1.018532550399215,1.018532550399215,1.0210409934285614,1.0188671445574917,1.0226141512043887,1.016722654951437
2018-07-09,1.0277205384171935,1.0277205384171935,1.0263320576677493,1.0263320576677493,1.0294938519449846,1.0267487684795693,1.0314709301318006,1.0258776625189359
2018-07-10,1.0311750538961708,1.0311750538961708,1.0303061250714873,1.0303061250714873,1.032251987707973,1.0305567522175465,1.033500779233877,1.0295691978284782
2018-07-11,1.0243919353156994,1.0243919353156994,1.0228360397837202,1.0228360397837202,1.0263129071493873,1.0233710046293691,1.0285318619155024,1.0220384657966788
2018-07-12,1.0354722237847582,1.0354722237847582,1.0324281581932069,1.0324281581932069,1.0393572926382666,1.0335224574162727,1.0437215616387183,1.0313042194247535
2018-07-13,1.0361868061585864,1.0361868061585864,1.0332599158846538,1.0332599158846538,1.039906730120746,1.0343199330087973,1.044096158248299,1.0321163571926033
2018-07-16,1.034054427070109,1.034054427070109,1.0313933729753748,1.0313933729753748,1.0374278723368666,1.0323450314279947,1.0412327799848942,1.031193473364178
2018-07-17,1.0394848788793947,1.0394848788793947,1.0361687283049317,1.0361687283049317,1.043634622860447,1.0374697010950829,1.0483351320841943,1.0353649082640026
2018-07-18,1.0396201167902859,1.0396201167902859,1.036572772220587,1.036572772220587,1.0434365947004747,1.0377398852673805,1.0477677120333615,1.037542914098421
2018-07-19,1.0370059556707858,1.0370059556707858,1.0343487783370762,1.0343487783370762,1.04039445415027,1.0352905920549496,1.0441822682553374,1.033629886671886
2018-07-20,1.0355251926314157,1.0355251926314157,1.0324325927523659,1.0324325927523659,1.0393549481224298,1.033655572182811,1.0438120338699584,1.032448595370171
2018-07-23,1.037549582592917,1.037549582592917,1.0340871784473096,1.0340871784473096,1.041743261945144,1.0355560258995844,1.0467940705733285,1.0343681937312994
2018-07-24,1.041160706362043,1.041160706362043,1.0378007168911416,1.0378007168911416,1.0452393435498861,1.0392043263181678,1.0501633943229467,1.039573258520125
2018-07-25,1.0516329208052182,1.0516329208052182,1.047020625315597,1.047020625315597,1.0568251216872713,1.0492688995295971,1.0641735812796023,1.048432943262195
2018-07-26,1.0471632838123117,1.0471632838123117,1.0446928234830504,1.0446928234830504,1.0503061530360869,1.0455646746595213,1.0527034655053324,1.045959614602348
2018-07-27,1.0370577227802933,1.0370577227802933,1.0358898841874022,1.0358898841874022,1.0389063778590555,1.0359760129618503,1.037648666250182,1.038871866808692
2018-07-30,1.0289716445844206,1.0289716445844206,1.0292400751375426,1.0292400751375426,1.0292322075235507,1.0286082330196464,1.0227452408640294,1.0334453099028744
2018-07-31,1.0343724998852415,1.0343724998852415,1.0345979839651052,1.0345979839651052,1.0346098302173787,1.0340115250593422,1.0280933637506129,1.0385396286311244
2018-08-01,1.0348892610802074,1.0348892610802074,1.0343944192830594,1.0343944192830594,1.036132997824538,1.033917425181524,1.0343247226506578,1.0368046070348493
2018-08-02,1.0433154899796362,1.0433154899796362,1.042523066108987,1.042523066108987,1.0450538907725082,1.0419844168677195,1.046157355926154,1.0424526560576592
2018-08-03,1.0479073881553524,1.0479073881553524,1.0471409085047856,1.0471409085047856,1.0494546593934606,1.0467170808478217,1.0493168887895128,1.0469194137829123
2018-08-06,1.0518417611919295,1.0518417611919295,1.0510370568900738,1.0510370568900738,1.0534983620623082,1.05051610785886,1.0548294498636495,1.0507586105051692
2018-08-07,1.0554264893709844,1.0554264893709844,1.0546284541232465,1.0546284541232465,1.0570612366919598,1.0540985318729712,1.0585505793682175,1.0542286536977197
2018-08-08,1.055610475819608,1.055610475819608,1.0547975032395343,1.0547975032395343,1.0572369123400052,1.054216458642874,1.0599234008297485,1.0537856694595766
2018-08-09,1.054803877479013,1.054803877479013,1.0539442730869997,1.0539442730869997,1.0563956986989407,1.0533819371450164,1.059937018949555,1.0523459706887304
2018-08-10,1.047773649590359,1.047773649590359,1.0469244030144242,1.0469244030144242,1.0493465525991104,1.0463927261658,1.0523916115759098,1.0452951382472133
2018-08-13,1.0446716042305473,1.0446716042305473,1.0437289355016084,1.0437289355016084,1.0461984839357485,1.0432584406075431,1.050587506056874,1.0413821108206784
2018-08-14,1.0513303722415255,1.0513303722415255,1.050365685071981,1.050365685071981,1.0528658689734054,1.0499170489572447,1.0572058449663633,1.0480268743761914
2018-08-15,1.0432901043157636,1.0432901043157636,1.0425281038880032,1.0425281038880032,1.0448894784131435,1.041933485985654,1.0470727042283456,1.0402008195189634
2018-08-16,1.0513075737667184,1.0513075737667184,1.0508598774938986,1.0508598774938986,1.0529885986057883,1.0499931166491385,1.0521756901621642,1.048617520027049
2018-08-17,1.0552436947418622,1.0552436947418622,1.055036627064483,1.055036627064483,1.0569556331567624,1.0539570855934606,1.0540366274263382,1.0523090553365912
2018-08-20,1.0569850044212896,1.0569850044212896,1.0570030875862166,1.0570030875862166,1.0587269364805,1.0557179995643406,1.0539955996226336,1.0545608918752873
2018-08-21,1.0594893833254704,1.0594893833254704,1.0594854951988075,1.0594854951988075,1.061215082016102,1.0582189301979248,1.0566492385679385,1.057034220530976
2018-08-22,1.059462302947017,1.059462302947017,1.0590523951785038,1.0590523951785038,1.0612754723618547,1.0581589256994048,1.060000081515183,1.0564066595279795
2018-08-23,1.0584073223221608,1.0584073223221608,1.0577883403445962,1.0577883403445962,1.0602853303682365,1.0570936009354956,1.0604304714044392,1.055003876113431
2018-08-24,1.065411858475933,1.065411858475933,1.0643404800516756,1.0643404800516756,1.0675465180862624,1.0640654982573428,1.070494680873833,1.061353316843515
2018-08-27,1.0729838970155445,1.0729838970155445,1.0715921077564274,1.0715921077564274,1.0753163360979476,1.0716212459443124,1.0798836279209418,1.0697331019953031
2018-08-28,1.073865542654054,1.073865542654054,1.0722157600186437,1.0722157600186437,1.0763590705137904,1.0725013026076777,1.0820607188314642,1.0702499169418829
2018-08-29,1.0799859131912923,1.0799859131912923,1.0774947260697072,1.0774947260697072,1.083130548181992,1.078599788538815,1.0923860898056876,1.0760087120252682
2018-08-30,1.076136752726656,1.076136752726656,1.073438642385329,1.073438642385329,1.0794192668132856,1.0747615965792083,1.0893899303937025,1.0716527003564318
2018-08-31,1.0770389893468473,1.0770389893468473,1.0740916165336365,1.0740916165336365,1.0805168861914285,1.0756635690594083,1.0914463891739519,1.0716896157127296
2018-09-04,1.0747710082189939,1.0747710082189939,1.071725727702304,1.071725727702304,1.0782943826758256,1.0733975271139304,1.0894945046737559,1.069843848055879
2018-09-05,1.0700838387377924,1.0700838387377924,1.069131693427034,1.069131693427034,1.071815133495943,1.0687231715998338,1.0767257039686564,1.0669644505141866
2018-09-06,1.065793350157024,1.065793350157024,1.065413295777931,1.065413295777931,1.0670363869173924,1.0644366256529263,1.07036000058963,1.0637528147949264
2018-09-07,1.0624016211227254,1.0624016211227254,1.0619178778671967,1.0619178778671967,1.0636962781747688,1.061052365762821,1.06726278745017,1.0616855550210833
2018-09-10,1.0655194755293298,1.0655194755293298,1.065047489467221,1.065047489467221,1.066791023043765,1.064168037206845,1.0702953053153041,1.0635313226779337
2018-09-11,1.0688547760099112,1.0688547760099112,1.0670123113630094,1.0670123113630094,1.071121046842396,1.0675158338857316,1.077600029534871,1.067038281222623
2018-09-12,1.0686348132450862,1.0686348132450862,1.0675045842648392,1.0675045842648392,1.0704099717100755,1.0672836990035401,1.0753141338574093,1.067296688691754
2018-09-13,1.0758165631758119,1.0758165631758119,1.0735410567195083,1.0735410567195083,1.078281330197012,1.0744864769683433,1.0858948861705768,1.0736092140738578
2018-09-14,1.0758210933324288,1.0758210933324288,1.0738817747602525,1.0738817747602525,1.078072006372812,1.0744820846897583,1.0848721659681702,1.0737937908387112
2018-09-17,1.0686126599264907,1.0686126599264907,1.0687169193658703,1.0687169193658703,1.0698271983332486,1.067180139054939,1.071277812178093,1.0681088264596037
2018-09-18,1.07459874968429,1.07459874968429,1.0741951557987237,1.0741951557987237,1.0760039342418315,1.0731956918584218,1.0788631207638728,1.0739045368951277
