comparison,annualized_excess_return,max_dd_diff,sharpe_diff,turnover_diff
Joint WF Expanding - Old+Credit WF Expanding,-0.009024444956230226,-0.008867754508811942,-0.033636838180928774,-1.0800792329295157
Joint WF Rolling - Old+Credit WF Rolling,-0.005538334540699186,-0.008867754508811942,-0.016317123930450927,-1.0192214277437524
Joint WF Rolling - Existing Smooth Score Best Local,-0.0024410513032919745,-0.016182143091360568,0.0036602118175328435,-1.4802019866647003
Joint WF Rolling - 50/50 G-D Buy & Hold,0.025893019331328482,0.0033528092266656984,0.12635517247128225,3.0138578698265217
Joint WF Rolling - 100% G Buy & Hold,-0.014437364891457527,0.01094059266521119,0.10732494670321735,3.0138578698265217
